player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Simone Pafundi,1133119,Udinese,2695,italy,2425,113,9,0,6.66,0,0,0,0.07,0.34,3,2,14.29,17,3,75.0,36,19,53,86.89,0,0.0,2,0,0,0,3,1,0,0,0,1,9,0,0,1,3,9,0,0,1,0,0.0,0,3,3,0,0,0,,10,58.82,0,0,0,8,0,3,0,0,,0,0,0,0,0.0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,1,1,1,1,33.33,0,3,3,100.0,3,4,3,14,10,52.63,4,55,20,61,59.9,2,0,101,6,0,0
Oier Zarraga,1009661,Udinese,2695,italy,2425,896,22,9,6.66,1,0,1,0.4,0.6,8,6,30.0,68,9,47.37,145,92,231,87.5,6,35.29,11,0,0,0,25,1,0,2,0,8,20,0,0,4,12,41,0,0,12,0,16.67,1,13,12,1,1,0,,27,47.37,0,0,1,33,2,7,0,0,,0,1,0,0,0.0,0,0,0,0,66,3,0,0,1,0,0,0,0,0,0,896.0,0.0,0,2,4,3,1,2,50.0,0,19,13,68.42,6,15,4,20,33,44.59,19,181,103,264,133.1,6,0,372,6,0,0
Pasquale Mazzocchi,377512,Napoli,2714,italy,2425,735,20,7,6.66,0,0,0,0.27,0.55,3,3,23.08,58,5,35.71,101,101,199,83.97,5,38.46,8,0,0,0,31,0,0,2,1,23,20,0,0,11,7,37,0,0,9,0,0.0,0,7,4,3,0,0,,30,50.85,0,0,0,38,5,5,0,1,,0,0,0,0,0.0,0,0,0,0,89,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,10,71.43,0,15,7,46.67,5,11,14,13,35,48.61,14,139,111,237,133.1,3,0,415,5,3,0
Karol Linetty,189135,Torino,2696,italy,2425,1559,28,18,6.65,1,0,1,1.07,0.92,18,1,25.0,97,32,65.31,246,231,476,85.15,9,39.13,14,0,0,0,63,1,1,7,3,31,26,0,0,9,21,95,1,0,39,0,5.88,0,19,16,3,0,1,,58,41.73,0,0,0,83,12,10,0,0,,0,0,0,0,0.0,0,0,0,0,125,4,0,0,1,0,0,0,0,0,0,1559.0,0.0,0,6,11,6,4,7,36.84,0,39,23,58.97,10,32,19,4,67,41.36,49,310,253,559,173.0,17,0,774,13,6,0
Junior Sambia,603738,Empoli,2705,italy,2425,394,17,2,6.65,0,0,0,0.39,0.3,2,8,28.57,32,6,40.0,64,27,83,72.17,7,43.75,9,0,0,0,18,0,1,3,0,4,17,0,0,6,0,26,0,0,6,0,0.0,0,7,5,2,0,0,,30,63.83,0,0,0,32,2,6,0,0,,0,0,0,0,0.0,0,0,0,0,80,2,0,0,0,0,0,0,0,0,0,0.0,0.0,4,3,7,6,1,7,46.67,0,14,10,71.43,6,8,15,28,37,58.73,15,106,37,115,113.1,10,0,266,9,0,0
Antoine Makoumbou,920391,Cagliari,2719,italy,2425,2164,33,27,6.65,0,3,3,0.3,0.96,25,3,42.86,199,38,43.68,423,626,1046,89.33,4,18.18,18,0,0,0,109,2,0,5,3,24,33,0,0,24,6,82,0,0,27,0,0.0,0,39,36,3,0,0,,67,51.15,0,0,0,125,17,8,0,0,,0,0,0,1,0.0,0,0,0,0,181,7,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,6,1,1,10,55.56,0,42,23,54.76,8,55,18,7,71,46.41,87,515,663,1171,219.5,7,0,1424,15,2,1
Ismael Konate,1397346,Empoli,2705,italy,2425,136,12,0,6.65,0,1,1,0.2,0.02,0,0,0.0,7,1,50.0,11,4,15,46.88,5,38.46,8,0,0,0,3,0,0,0,0,0,10,0,0,1,1,15,0,0,5,0,0.0,0,2,2,0,0,0,,8,53.33,0,0,0,17,0,2,0,0,,0,0,0,0,0.0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,1,2,2,100.0,0,4,2,50.0,2,1,2,1,13,46.43,2,25,8,32,66.5,3,0,57,2,0,0
Marco Sportiello,176301,Milan,2692,italy,2425,125,2,1,6.65,0,0,0,,0.0,2,0,0.0,2,8,50.0,3,40,43,82.69,0,0.0,0,0,0,0,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0,14,2,1,1,0,0,-0.2,0,0.0,0,1,0,9,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,10,0,0,0,0,1,1,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,2,0,0,0,0.0,16,9,43,52,13.3,0,0,67,0,0,0
Tyronne Ebuehi,580512,Empoli,2705,italy,2425,74,4,0,6.65,0,0,0,,0.06,1,2,100.0,11,0,0.0,14,6,18,64.29,3,60.0,2,0,0,0,6,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0.0,0,1,1,0,0,0,,6,75.0,0,0,0,10,2,0,0,0,,0,0,0,0,0.0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,3,2,66.67,0,3,1,2,9,69.23,1,22,8,28,26.6,0,0,64,2,0,0
Cyril Ngonge,877037,Napoli,2714,italy,2425,238,18,1,6.65,0,0,0,0.69,0.24,2,2,18.18,27,1,50.0,49,19,66,86.84,4,40.0,6,0,0,0,8,0,0,5,0,4,16,0,0,7,3,34,0,0,8,0,0.0,0,2,2,0,0,0,,29,50.88,0,0,0,10,2,3,0,1,,0,0,0,0,0.0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,7,2,6,7,41.18,0,8,5,62.5,3,3,17,11,33,49.25,2,65,22,76,106.4,13,0,171,14,2,0
