player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Gaëtan Laborde,149730,Montpellier,1642,france,2021,3270,38,38,7.12,16,8,24,,,19,11,20.0,202,12,37.5,367,204,560,66.99,136,50.37,134,0,0,0,,9,9,22,4,21,38,0,0,31,44,295,0,1,62,0,16.16,,58,54,4,16,0,,104,39.25,7,0,4,276,16,37,4,6,,0,0,0,0,0.0,0,0,0,0,502,13,0,0,5,0,0,0,0,0,0,204.38,0.0,0,92,7,36,41,33,47.14,0,43,22,51.16,37,43,70,55,240,44.86,32,637,254,836,270.6,99,5,1434,30,3,0
Léo Dubois,552680,Olympique Lyonnais,1649,france,2021,2915,37,35,7.12,2,4,6,,,55,63,29.72,441,71,44.94,863,650,1450,83.05,37,62.71,22,0,0,0,,7,1,9,5,50,37,0,0,15,18,98,0,2,21,0,10.0,,33,28,5,2,0,,95,55.56,0,0,1,296,31,67,1,2,,0,0,0,1,0.0,0,0,0,1,585,12,0,0,1,0,0,0,0,0,0,1457.5,0.0,0,8,12,8,3,30,56.6,0,38,26,68.42,67,128,53,212,132,57.39,158,1246,712,1746,263.4,20,4,2682,32,3,0
Boubakar Kouyaté,848537,Metz,1651,france,2021,1966,25,21,7.12,1,0,1,,,26,0,0.0,25,36,36.0,120,585,705,80.85,99,69.72,43,0,0,0,,0,1,3,7,130,24,0,0,5,26,110,1,0,39,0,7.69,,28,26,2,1,0,,92,57.86,0,0,1,167,60,3,1,4,,0,0,0,2,0.0,0,0,0,0,186,1,0,0,0,0,0,0,0,0,0,1966.0,0.0,0,13,0,6,4,2,66.67,0,60,35,58.33,3,62,3,0,191,63.46,100,206,666,872,170.8,13,7,1260,30,10,0
Vincent Pajot,122921,Metz,1651,france,2021,917,12,11,7.12,0,0,0,,,23,2,18.18,55,31,73.81,163,285,446,88.84,12,54.55,10,0,0,0,,0,2,0,1,9,12,0,0,3,8,41,0,0,16,0,0.0,,11,10,1,0,0,,51,62.2,0,0,0,56,42,5,0,1,,0,1,0,1,0.0,0,0,0,0,81,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6,0,4,2,4,50.0,0,35,20,57.14,4,36,8,11,63,60.58,42,211,302,502,85.4,6,1,662,12,3,0
Kevin Volland,117373,AS Monaco,1653,france,2021,2781,35,34,7.11,16,7,23,,,32,6,21.43,210,19,50.0,350,168,512,67.81,57,45.6,68,0,0,0,,10,7,13,6,3,35,0,0,40,26,215,0,0,60,0,28.57,,32,30,2,16,0,,94,39.0,2,0,2,243,4,33,10,13,,0,1,0,0,0.0,0,0,0,2,421,23,0,0,4,0,0,0,0,0,0,173.81,0.0,2,50,6,13,30,17,40.48,0,33,16,48.48,32,55,42,28,151,41.26,38,568,215,755,249.0,56,4,1194,45,4,0
Rafinha Alcântara,96367,Paris Saint-Germain,1644,france,2021,1368,23,15,7.11,0,4,4,,,20,7,30.43,330,29,76.32,665,389,1047,90.89,7,38.89,11,0,0,0,,5,1,6,1,2,22,0,0,35,21,103,0,0,22,0,0.0,,8,7,1,0,0,,123,57.21,0,0,0,105,13,23,0,1,,0,0,0,0,0.0,0,0,0,1,209,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0,13,11,10,8,29,67.44,0,54,26,48.15,23,36,43,23,130,55.79,38,769,406,1152,156.5,24,2,1489,40,2,0
Ibrahima Niane,880775,Metz,1651,france,2021,668,10,9,7.11,6,0,6,,,7,0,0.0,46,4,80.0,74,32,106,73.1,23,42.59,31,0,0,0,,0,2,4,0,8,10,0,0,9,1,57,0,0,11,0,26.09,,7,7,0,5,1,,19,42.22,3,0,0,39,0,3,0,3,,0,0,1,0,100.0,0,1,0,1,98,1,0,0,3,0,0,0,0,0,0,111.33,0.0,1,16,7,10,9,6,46.15,0,1,1,100.0,3,10,13,3,42,42.42,5,106,42,145,71.1,23,2,269,12,0,0
Yohann Pelé,6054,Olympique de Marseille,1641,france,2021,90,1,1,7.1,0,0,0,,,0,0,0.0,0,0,0.0,0,15,15,93.75,0,0.0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,,2,2,0,0,0,,0,0.0,0,0,0,1,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,3,0,4,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,0,0,16,16,7.1,0,0,29,0,0,0
Wesley Fofana,923894,Saint-Étienne,1678,france,2021,315,4,3,7.1,0,0,0,,,4,0,0.0,8,9,37.5,33,113,146,82.95,8,50.0,8,0,0,0,,0,0,0,3,13,4,0,0,1,1,16,0,1,6,0,0.0,,2,2,0,0,0,,12,60.0,0,0,0,30,8,1,0,1,,0,0,0,0,0.0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,2,66.67,0,6,4,66.67,1,9,3,0,20,55.56,24,49,127,176,28.4,1,0,232,5,1,0
Mahdi Camara,916041,Saint-Étienne,1678,france,2021,3295,37,37,7.09,3,2,5,,,54,12,35.29,221,71,68.27,587,796,1371,86.39,48,61.54,30,0,0,0,,2,5,6,11,50,37,0,0,21,27,146,0,0,48,0,13.04,,52,44,8,3,0,,168,59.15,0,0,0,216,78,24,1,0,,0,0,0,0,0.0,0,0,0,0,337,21,0,0,2,0,0,0,0,0,0,1098.33,0.0,0,14,9,8,9,31,56.36,0,99,67,67.68,24,92,55,34,216,59.67,104,758,863,1587,262.5,23,2,2217,41,4,0
