player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Yusuf Demir,962283,Barcelona,2817,spain,2122,196,6,2,6.53,0,0,0,,,0,0,0.0,38,0,0.0,52,16,68,90.67,0,0.0,0,0,0,0,,0,0,1,0,1,6,0,0,5,3,12,0,0,0,0,0.0,,1,1,0,0,0,,12,50.0,0,0,0,7,2,0,0,0,,0,0,0,0,0.0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,5,55.56,0,3,1,33.33,0,2,9,2,12,50.0,0,60,17,75,39.2,1,0,127,4,0,0
Pere Pons,263505,Deportivo Alavés,2885,spain,2122,1381,27,17,6.53,1,0,1,,,8,2,25.0,65,10,47.62,131,134,263,73.06,17,33.33,34,0,0,0,,0,4,2,0,11,25,0,0,10,14,86,0,0,25,0,6.67,,26,22,4,1,0,,47,47.47,0,0,0,97,6,12,1,2,,0,0,0,0,0.0,0,0,0,0,158,8,0,0,0,0,0,0,0,0,0,1381.0,0.0,0,12,3,9,4,4,50.0,0,26,18,69.23,12,16,8,8,64,42.67,21,207,161,360,163.3,15,0,545,17,2,0
Milutin Osmajić,928047,Cádiz,4488,spain,2122,256,10,2,6.53,0,0,0,,,0,0,0.0,13,0,0.0,15,10,25,54.35,12,35.29,22,0,0,0,,0,0,2,0,3,10,0,0,3,0,31,0,0,3,0,0.0,,5,5,0,0,0,,10,52.63,0,0,0,21,1,0,0,5,,0,0,0,0,0.0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,0,2,0,2,40.0,0,1,1,100.0,0,0,5,2,22,41.51,1,34,14,46,65.3,4,0,97,7,0,0
Landry Dimata,826944,Espanyol,2814,spain,2122,554,17,4,6.53,0,0,0,,,1,0,0.0,28,2,66.67,45,22,67,72.83,18,41.86,25,0,0,0,,0,3,2,0,7,15,0,0,10,3,54,0,0,14,0,0.0,,10,10,0,0,0,,27,48.21,0,0,0,25,1,5,0,3,,0,0,0,0,0.0,0,0,0,0,64,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,1,6,0,6,60.0,0,2,2,100.0,5,1,10,0,45,45.45,3,65,27,92,97.9,8,0,196,20,0,0
Alejandro Balde,997035,Barcelona,2817,spain,2122,187,5,2,6.53,0,0,0,,,0,2,33.33,30,0,0.0,82,53,133,95.68,0,0.0,2,0,0,0,,0,0,0,0,0,4,0,0,3,0,13,0,0,4,0,0.0,,4,3,1,0,0,,7,38.89,0,0,0,6,1,1,0,0,,0,0,0,0,0.0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,1,20.0,0,2,1,50.0,1,1,5,6,7,35.0,3,91,54,139,26.1,1,0,185,4,0,0
Isma Ruiz,1009873,Granada,33779,spain,2122,286,8,3,6.53,0,0,0,,,1,0,0.0,16,7,63.64,55,48,103,83.74,3,33.33,6,0,0,0,,0,1,1,0,2,8,0,0,1,7,16,0,0,2,0,0.0,,5,3,2,0,0,,8,44.44,0,0,0,20,3,2,0,1,,0,0,0,0,0.0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,2,1,2,100.0,0,3,1,33.33,2,6,2,1,11,40.74,11,71,53,123,52.2,4,0,155,3,1,0
Santiago Arzamendia,887429,Cádiz,4488,spain,2122,467,14,5,6.52,1,0,1,,,3,5,27.78,16,5,20.83,45,50,90,66.18,12,38.71,19,0,0,0,,0,0,2,1,6,14,0,0,6,7,44,0,0,6,0,14.29,,7,6,1,0,1,,21,45.65,0,0,0,46,4,1,1,1,,0,0,0,0,0.0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,467.0,0.0,0,2,5,4,1,3,30.0,0,14,6,42.86,1,14,10,18,33,42.86,24,89,65,136,91.3,7,0,259,4,2,0
Aitor Ruibal,893062,Real Betis,2816,spain,2122,870,19,9,6.52,0,0,0,,,3,2,11.76,89,5,31.25,171,66,235,79.66,5,26.32,14,0,0,0,,2,2,7,0,5,19,0,0,11,24,83,0,0,23,0,0.0,,11,11,0,0,0,,49,41.53,0,0,0,60,8,11,0,1,,0,0,0,0,0.0,0,0,0,0,136,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,12,8,10,3,13,50.0,0,21,15,71.43,11,10,26,17,54,39.42,16,239,73,295,123.8,20,0,508,15,6,0
Augusto Solari,291279,Celta Vigo,2821,spain,2122,707,26,4,6.51,0,0,0,,,8,8,16.33,75,10,32.26,156,109,257,69.27,4,26.67,11,0,0,0,,1,0,1,0,8,23,0,0,14,20,76,0,1,23,0,0.0,,13,12,1,0,0,,44,40.37,0,0,0,114,7,6,0,1,,0,0,0,0,0.0,0,0,0,0,202,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,2,5,1,9,45.0,0,24,12,50.0,6,29,20,49,48,38.71,31,271,149,371,149.8,7,0,597,11,5,0
Anthony Martial,191176,Sevilla,2833,spain,2122,495,9,7,6.51,0,1,1,,,5,1,16.67,50,5,100.0,85,43,127,84.11,6,40.0,9,0,0,0,,0,1,1,0,3,9,0,0,13,4,38,0,0,5,0,0.0,,2,0,2,0,0,,20,40.82,0,0,0,24,0,2,0,0,,0,0,0,0,0.0,0,0,0,0,72,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,3,3,3,7,43.75,0,2,1,50.0,2,6,16,6,26,40.63,5,107,50,151,58.6,7,0,250,11,1,0
