player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Seny Koumbassa,2077075,Toulouse,1681,france,2526,170,5,1,6.66,0,0,0,0.01,0.01,0,0,0.0,3,0,0.0,21,52,73,87.95,1,50.0,1,0,0,0,9,0,0,0,1,11,5,0,0,0,20260326,0,2,0,0,1,0,0.0,2,2,2,0,0,0,,3,75.0,0,0,0,10,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0.0,0,3,3,100.0,0,3,0,0,4,66.67,7,29,54,83,33.3,1,0,106,0,0,0
Mahdi Camara,916041,Stade Rennais,1658,france,2526,2041,25,24,6.66,3,1,4,2.54,2.1,10,4,16.0,262,12,57.14,488,310,798,88.77,23,62.16,14,0,0,0,77,3,3,5,6,31,25,0,1,16,20260326,14,99,0,1,28,0,14.29,0,28,25,3,2,1,,90,51.43,1,0,1,101,24,19,0,3,4.0,0,0,0,0,0.0,0,0,0,1,211,10,0,1,2,0,0,0,0,0,0,680.33,0,0,12,9,7,9,21,41.18,0,46,25,54.35,19,16,51,25,113,53.3,21,556,343,899,166.4,21,2,1258,24,4,0
Melvin Bard,906075,Nice,1661,france,2526,1896,23,20,6.65,2,1,3,1.07,1.13,35,14,20.59,139,32,30.77,342,426,768,81.53,24,51.06,23,0,0,0,111,4,0,2,3,57,23,0,0,17,20260326,19,85,0,3,21,0,13.33,4,44,40,4,2,0,,70,53.03,0,0,0,174,30,13,2,3,13.0,0,0,0,1,0.0,0,0,0,0,311,6,0,0,0,0,0,0,0,0,0,948.0,0,0,8,7,8,5,15,65.22,0,36,19,52.78,13,96,23,68,94,52.51,104,465,477,942,153.0,15,1,1440,19,3,0
Bahereba Guirassy,1406007,Nantes,1647,france,2526,788,18,9,6.65,2,1,3,1.63,0.39,7,4,19.05,39,3,50.0,72,57,129,66.15,13,37.14,22,0,0,0,45,2,2,3,0,10,18,0,0,12,20260326,6,79,0,0,14,0,15.38,0,10,10,0,2,0,,38,40.0,0,0,2,66,5,7,0,3,1.0,0,0,0,0,0.0,0,0,0,0,152,4,0,0,2,0,0,0,0,0,0,394.0,0,0,12,1,4,6,9,24.32,0,21,14,66.67,7,11,37,21,51,39.23,6,115,80,195,119.7,13,0,390,8,2,0
Gabriel Osho,920680,Auxerre,1646,france,2526,134,2,2,6.65,0,0,0,,0.01,1,0,0.0,6,1,25.0,18,51,69,93.24,2,40.0,3,0,0,0,3,0,0,0,1,2,2,0,0,0,20260326,0,5,0,1,2,0,0.0,0,2,2,0,0,0,,4,66.67,0,0,0,5,1,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3,2,66.67,0,3,0,2,6,54.55,4,21,53,74,13.3,0,0,91,1,0,0
Radosław Majecki,849114,Stade Brestois,1715,france,2526,865,10,10,6.65,0,0,0,,0.02,19,0,0.0,17,83,46.89,63,139,202,67.79,2,100.0,0,0,0,0,75,0,0,0,3,5,10,0,1,0,20260326,1,2,2,0,1,0,0.0,61,15,14,1,0,0,-2.79,1,33.33,0,7,0,96,0,0,0,0,0.0,0,0,0,1,0.0,1,0,0,0,98,0,3,1,0,3,16,10,26,0,7,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,25,0,0,3,60.0,177,135,163,298,66.5,0,0,386,1,0,0
Facundo Medina,860307,Olympique de Marseille,1641,france,2526,836,11,10,6.65,0,0,0,0.13,0.24,22,0,0.0,101,21,47.73,276,348,624,92.44,6,66.67,3,0,0,0,44,0,0,0,2,27,11,0,0,2,20260326,4,22,0,0,14,0,0.0,11,15,15,0,0,0,,21,52.5,0,0,0,51,12,1,0,0,3.0,1,0,0,0,0.0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,3,0,2,100.0,0,12,9,75.0,1,45,2,3,27,55.1,44,312,363,675,73.1,3,0,797,7,3,0
Francis Coquelin,40672,Nantes,1647,france,2526,432,12,5,6.64,0,0,0,0.11,0.16,8,0,0.0,28,10,76.92,76,100,176,87.56,8,61.54,5,0,0,0,15,0,0,2,0,5,12,0,0,4,20260326,3,23,1,1,9,0,0.0,0,6,4,2,0,0,,20,52.63,0,0,0,25,4,2,0,0,4.0,0,0,0,0,0.0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,1,1,5,71.43,0,10,7,70.0,2,14,7,0,28,54.9,13,88,113,201,79.7,4,0,267,5,1,0
Florent Hanin,170129,Angers,1684,france,2526,772,19,8,6.64,0,0,0,0.03,0.5,20,7,35.0,48,15,53.57,99,140,239,77.35,9,40.91,13,0,0,0,43,1,0,2,1,25,17,0,0,2,20260326,9,35,0,0,6,0,0.0,0,13,11,2,0,0,,23,51.11,0,0,0,70,10,7,0,0,4.0,0,0,0,0,0.0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,3,33.33,0,13,7,53.85,7,38,9,20,32,47.76,28,141,168,309,112.9,2,0,495,7,0,0
Vincent Marchetti,795508,Paris FC,6070,france,2526,775,19,9,6.64,2,0,2,2.12,0.29,13,1,100.0,69,8,32.0,137,187,324,87.33,11,52.38,10,0,0,0,30,0,1,8,0,21,18,0,0,9,20260326,6,39,0,0,12,0,8.7,0,19,16,3,1,1,,30,50.85,0,0,1,47,3,3,0,1,2.0,0,0,0,1,0.0,0,0,0,0,75,2,0,0,2,0,0,0,0,0,0,387.5,0,0,9,14,8,7,10,83.33,0,16,14,87.5,3,22,12,1,41,51.25,25,177,194,371,119.5,23,0,500,4,1,0
