player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Nikola Boranijašević,150667,Konyaspor,3085,turkey,2425,1441,22,16,6.73,0,0,0,0.34,0.71,26,12,30.0,97,33,32.67,194,201,383,70.15,21,44.68,26,0,0,0,69,1,0,0,5,56,22,0,0,9,26,93,0,1,30,0,0.0,0,22,17,5,0,0,,72,51.8,0,0,0,163,22,10,0,0,,0,0,0,2,0.0,0,0,0,0,255,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,5,7,1,15,71.43,0,40,28,70.0,10,62,21,40,93,50.0,101,336,250,546,148.1,8,1,981,17,6,0
Halil Akbunar,217782,Eyüpspor,7040,turkey,2425,1242,29,13,6.73,3,2,5,2.41,2.01,2,3,13.04,111,6,54.55,179,76,252,77.3,22,32.35,46,0,0,0,55,3,3,1,0,11,28,0,0,25,22,133,0,1,24,0,20.0,0,20,20,0,3,0,,61,41.22,0,0,1,74,7,8,1,5,,0,0,0,0,0.0,0,0,0,1,175,8,0,0,2,0,0,0,0,0,0,414.0,0.0,0,11,4,7,7,15,42.86,0,31,22,70.97,8,13,35,23,83,38.43,11,263,86,326,188.4,15,0,573,15,3,0
Bruno Viana,804703,Gaziantep FK,5138,turkey,2425,2373,28,27,6.73,0,1,1,0.42,0.47,34,0,0.0,62,72,44.72,265,683,948,83.89,49,49.0,51,0,0,0,81,3,1,1,4,126,28,0,2,3,10,98,0,1,35,0,0.0,29,44,39,5,0,0,,40,45.98,0,0,0,182,41,7,0,0,,0,0,0,2,0.0,0,0,0,0,198,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,5,1,4,1,0,0.0,0,30,22,73.33,7,71,1,0,89,47.59,161,383,747,1130,188.4,6,2,1451,10,7,1
Quentin Daubin,826605,Gaziantep FK,5138,turkey,2425,792,19,8,6.73,0,0,0,0.14,0.94,10,0,0.0,53,9,56.25,127,123,250,86.21,17,70.83,7,0,0,0,49,1,0,0,0,17,18,0,0,6,8,38,0,0,15,0,0.0,0,13,11,2,0,0,,42,57.53,0,0,0,40,12,4,0,0,,0,0,0,0,0.0,0,0,0,0,62,2,0,1,0,0,0,0,0,0,0,0.0,0.0,0,2,1,3,0,5,62.5,0,29,18,62.07,4,15,8,0,59,60.82,16,145,145,290,121.1,3,0,428,8,2,1
Arif Kocaman,1173638,Kayserispor,3072,turkey,2425,542,8,6,6.73,1,0,1,0.63,0.02,2,0,0.0,7,12,40.0,35,196,231,87.17,25,59.52,17,0,0,0,14,0,0,0,2,35,8,0,0,0,2,25,1,1,6,0,100.0,10,10,10,0,1,0,,3,27.27,0,0,0,34,6,1,1,0,,0,0,0,0,0.0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,542.0,0.0,0,1,0,0,1,0,0.0,0,2,1,50.0,1,5,0,0,28,52.83,30,55,210,265,53.8,1,0,331,2,1,0
Murat Uğur Eser,1550761,Adana Demirspor,3101,turkey,2425,419,8,4,6.73,0,0,0,,0.0,6,0,0.0,2,30,36.59,12,60,72,57.6,0,0.0,0,0,0,0,31,0,0,0,0,5,8,0,0,0,0,1,2,0,1,0,0.0,57,10,9,1,0,0,0.84,1,50.0,0,1,0,53,0,0,0,0,,0,0,0,1,0.0,1,0,0,0,53,0,2,0,0,5,15,7,23,0,3,0.0,0.0,0,0,0,0,0,0,0.0,5,0,0,0.0,0,12,0,0,1,50.0,82,45,80,125,53.8,0,0,179,0,2,0
Jhon Espinoza,929098,Kasımpaşa,6063,turkey,2425,1024,22,9,6.72,0,0,0,0.39,1.15,11,6,15.38,89,18,43.9,167,148,309,78.63,14,41.18,20,0,0,0,47,2,0,6,1,36,22,0,0,4,17,61,0,0,12,0,0.0,0,12,10,2,0,0,,44,51.76,0,0,0,84,12,7,0,1,,0,1,0,0,0.0,0,0,0,0,159,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,9,4,2,9,50.0,0,21,10,47.62,6,26,18,39,58,48.74,41,264,168,393,147.9,12,0,677,15,3,0
Cemali Sertel,929956,Hatayspor,3091,turkey,2425,2391,31,28,6.72,2,0,2,0.84,0.67,12,12,25.53,129,25,31.25,286,352,626,80.88,20,45.45,24,0,0,0,118,0,0,6,1,78,31,0,0,19,38,146,0,0,36,0,13.33,1,48,47,1,2,0,,147,54.65,1,0,0,148,26,11,0,2,,0,0,0,2,0.0,0,0,0,1,338,4,0,0,1,0,0,0,0,0,0,1195.5,0.0,0,5,10,4,5,39,55.71,0,75,51,68.0,11,42,70,47,167,53.35,80,414,407,774,208.4,15,1,1481,34,5,0
Bünyamin Balcı,967214,Antalyaspor,3056,turkey,2425,1373,20,16,6.72,0,1,1,0.28,0.9,21,3,12.5,102,34,58.62,228,325,550,84.62,6,28.57,15,0,0,0,63,2,0,0,1,38,20,0,0,12,16,60,0,0,11,0,0.0,0,31,28,3,0,0,,56,55.45,0,0,0,100,21,8,0,1,,0,0,0,1,0.0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,1,2,5,45.45,0,38,28,73.68,8,34,11,24,62,50.82,58,298,376,650,134.4,3,0,1031,14,2,0
Oleksandr Petrusenko,906673,Antalyaspor,3056,turkey,2425,1070,21,12,6.72,0,0,0,0.12,0.24,18,0,0.0,66,28,68.29,189,347,536,89.48,12,57.14,9,0,0,0,72,0,0,2,1,19,21,0,0,9,14,51,1,0,20,0,0.0,0,23,23,0,0,0,,43,50.59,0,0,0,63,17,2,0,0,,0,0,0,0,0.0,0,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,1,0,10,90.91,0,18,13,72.22,2,30,11,0,55,51.89,41,231,368,599,141.1,3,0,742,15,2,0
