player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Robin Gosens,377118,Fiorentina,2693,italy,2526,1396,19,17,6.85,2,1,3,2.66,1.42,13,9,25.71,106,14,37.84,224,225,449,80.32,25,40.98,36,0,0,0,37,1,3,4,3,45,19,0,0,7,20260326,10,70,0,0,15,0,14.29,0,20,16,4,2,0,,37,52.11,0,0,0,110,14,11,2,4,6,0,0,0,0,0.0,0,0,0,0,171,2,0,0,0,0,0,0,0,0,0,698.0,0.0,0,10,4,4,6,0,0.0,0,23,11,47.83,11,24,3,35,62,46.97,37,300,259,559,130.1,14,0,901,17,2,0
Luca Mazzitelli,369866,Cagliari,2719,italy,2526,754,17,8,6.85,2,2,4,0.73,0.29,20,2,22.22,48,31,47.69,123,149,272,75.98,10,37.04,17,0,0,0,27,1,0,4,1,26,17,0,0,3,20260326,12,56,0,0,22,0,13.33,0,9,9,0,2,0,,32,45.07,0,0,0,86,11,5,1,0,3,0,0,0,0,0.0,0,0,0,0,115,1,0,0,1,0,0,0,0,0,0,377.0,0.0,1,9,6,6,5,2,40.0,0,19,10,52.63,5,40,5,9,42,42.86,65,182,176,358,116.4,15,2,508,11,3,0
Kristian Thorstvedt,924973,Sassuolo,2793,italy,2526,1738,24,19,6.85,3,3,6,4.03,1.46,20,6,46.15,212,9,26.47,364,216,580,80.56,19,32.2,40,0,0,0,66,3,7,9,3,32,24,0,0,13,20260326,4,93,0,0,23,0,9.38,0,26,23,3,2,1,,76,58.91,1,0,0,140,23,26,2,1,10,0,0,0,0,0.0,0,0,0,0,220,6,0,0,0,0,0,0,0,0,0,579.33,0.0,0,26,6,12,11,9,39.13,0,28,11,39.29,26,42,23,13,95,50.53,34,465,255,720,164.3,32,2,1057,39,6,0
Federico Bernardeschi,294597,Bologna,2685,italy,2526,836,22,7,6.85,2,1,3,2.17,1.67,35,13,33.33,144,41,82.0,229,105,334,87.21,5,41.67,7,0,0,0,38,3,0,6,0,8,22,0,0,12,20260326,3,47,0,1,11,0,8.0,0,5,5,0,2,0,,32,44.44,0,0,0,49,4,25,2,1,2,0,1,1,1,100.0,0,1,0,0,139,7,0,0,0,0,0,0,0,0,0,418.0,0.0,3,8,17,11,8,16,48.48,0,6,5,83.33,24,48,33,39,37,44.05,50,270,113,383,150.6,25,0,586,10,2,0
Assane Diao,1493689,Como,2704,italy,2526,449,9,5,6.84,1,1,2,0.71,0.31,0,2,22.22,46,1,33.33,93,28,121,80.13,1,14.29,6,0,0,0,19,2,1,3,1,2,9,0,0,9,20260326,2,35,0,0,5,0,9.09,0,4,3,1,1,0,,35,54.69,0,0,0,30,1,4,1,0,0,0,0,0,0,0.0,0,0,0,0,72,2,0,0,0,0,0,0,0,0,0,449.0,0.0,0,7,4,3,5,15,51.72,0,3,0,0.0,4,3,29,9,36,50.7,3,116,35,151,61.6,11,1,259,18,0,0
Ardon Jashari,1034082,Milan,2692,italy,2526,465,9,4,6.84,0,1,1,0.2,0.5,11,3,37.5,81,15,78.95,171,121,292,92.41,1,14.29,6,0,0,0,31,2,0,1,0,2,9,0,0,3,20260326,3,25,0,0,7,0,0.0,0,3,2,1,0,0,,20,51.28,0,0,0,24,5,8,0,0,0,0,0,0,0,0.0,0,0,0,0,52,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,5,3,2,4,36.36,0,11,8,72.73,8,16,11,8,21,45.65,19,189,127,316,61.6,6,0,393,5,0,0
Justin Bijlow,556696,Genoa,2713,italy,2526,810,9,9,6.84,0,0,0,,0.04,17,0,0.0,15,44,33.08,34,210,244,73.27,5,100.0,0,0,0,0,62,0,0,0,3,9,9,0,0,0,20260326,0,0,0,0,0,0,0.0,22,13,11,2,0,0,-0.84,0,0.0,0,5,0,89,0,0,0,0,0,0,0,0,0,0.0,4,0,0,0,90,0,6,0,0,3,15,7,23,1,3,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,34,0,0,5,100.0,133,112,221,333,61.6,0,1,408,1,0,0
Zeki Çelik,893008,Roma,2702,italy,2526,2082,26,24,6.84,1,2,3,1.33,1.53,26,11,18.03,292,30,40.54,511,368,879,85.09,32,59.26,22,0,0,0,92,2,2,7,6,49,26,0,1,10,20260326,14,95,0,0,30,0,5.56,1,20,15,5,1,0,,65,47.1,0,0,0,154,13,18,0,2,5,0,0,0,0,0.0,0,0,0,0,292,6,0,1,1,0,0,0,0,0,0,2082.0,0.0,0,15,3,8,3,8,27.59,0,46,27,58.7,18,54,29,61,97,50.52,74,608,425,1033,177.9,18,2,1542,12,1,0
Jamil Siebert,1014287,Lecce,2689,italy,2526,987,13,10,6.84,1,0,1,0.37,0.08,10,1,50.0,20,33,42.86,76,186,262,76.61,17,50.0,17,0,0,0,23,0,0,2,1,79,12,0,0,2,20260326,7,45,1,0,17,0,25.0,16,19,17,2,1,0,,23,45.1,1,0,0,80,7,2,0,0,17,0,0,0,0,0.0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,987.0,0.0,0,4,0,0,2,3,60.0,0,17,10,58.82,2,33,5,2,40,47.06,77,138,204,342,82.1,4,0,518,3,2,0
Christian Kabasele,58351,Udinese,2695,italy,2526,1728,23,21,6.84,3,0,3,1.19,0.06,15,0,0.0,18,40,50.63,90,432,522,86.86,57,62.64,34,0,0,0,38,0,0,1,5,133,23,0,0,4,20260326,4,63,0,1,25,0,37.5,4,24,21,3,3,0,,31,51.67,2,0,0,79,28,1,0,1,16,0,0,0,0,0.0,0,0,0,0,92,0,0,0,1,0,0,0,0,0,0,576.0,0.0,0,7,1,2,5,3,100.0,0,11,7,63.64,1,32,3,0,88,58.28,79,142,459,601,157.3,8,3,863,18,4,0
Alberto Moreno,229740,Como,2704,italy,2526,910,13,10,6.84,1,1,2,0.92,0.32,18,5,25.0,106,16,48.48,218,252,470,89.87,10,62.5,6,0,0,0,33,1,2,2,4,28,13,0,0,3,20260326,4,29,0,1,12,0,14.29,0,6,6,0,1,0,,18,43.9,1,0,0,53,3,12,0,2,1,0,0,0,0,0.0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,910.0,0.0,0,5,2,2,3,1,16.67,0,13,7,53.85,12,32,6,20,28,49.12,33,254,269,523,88.9,7,0,731,4,1,0
