player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Julian Chabot,Stuttgart,D,27,Germany,germany,2526,54423.0,2830000.0
Kevin Diks,Monchengladbach,D,29,Indonesia,germany,2526,54423.0,2830000.0
Mattias Svanberg,Wolfsburg,M,27,Sweden,germany,2526,54423.0,2830000.0
Victor Boniface,Bayer Leverkusen,F,24,Nigeria,germany,2526,54423.0,2830000.0
Adam Hlozek,Hoffenheim,F,23,Czech Republic,germany,2526,54423.0,2830000.0
Ozan Kabak,Hoffenheim,D,25,Turkey,germany,2526,54423.0,2830000.0
Hugo Larsson,Eintracht Frankfurt,M,21,Sweden,germany,2526,54423.0,2830000.0
Mitchell Weiser,Werder Bremen,D,31,Germany,germany,2526,54423.0,2830000.0
Bilal El Khannouss,Stuttgart,F,21,Morocco,germany,2526,54423.0,2830000.0
Nadiem Amiri,Mainz,M,29,Germany,germany,2526,54423.0,2830000.0
Atakan Karazor,Stuttgart,M,29,Turkey,germany,2526,54423.0,2830000.0
Christian Günter,Freiburg,D,32,Germany,germany,2526,54423.0,2830000.0
Tom Bischof,Bayern Munich,M,20,Germany,germany,2526,54423.0,2830000.0
Fábio Vieira,Hamburg,F,25,Portugal,germany,2526,54423.0,2830000.0
Ragnar Ache,Koln,F,27,Germany,germany,2526,54423.0,2830000.0
Kevin Stöger,Monchengladbach,F,32,Austria,germany,2526,54423.0,2830000.0
Danilho Doekhi,Union Berlin,D,27,Netherlands,germany,2526,54423.0,2830000.0
Josha Vagnoman,Stuttgart,D,25,Germany,germany,2526,54423.0,2830000.0
Victor Boniface,Werder Bremen,F,25,Nigeria,germany,2526,54423.0,2830000.0
Yussuf Poulsen,Hamburg,F,31,Denmark,germany,2526,50769.0,2640000.0
Niklas Stark,Werder Bremen,D,30,Germany,germany,2526,50769.0,2640000.0
Timo Hübers,Koln,D,29,Germany,germany,2526,50769.0,2640000.0
Alessio Castro-Montes,Koln,M,28,Belgium,germany,2526,50769.0,2640000.0
Jae-sung Lee,Mainz,F,33,South Korea,germany,2526,50769.0,2640000.0
Leonardo Bittencourt,Werder Bremen,M,32,Germany,germany,2526,50769.0,2640000.0
Senne Lynen,Werder Bremen,M,26,Belgium,germany,2526,50769.0,2640000.0
Robin Zentner,Mainz,K,31,Germany,germany,2526,47115.0,2450000.0
Ezequiel Fernández,Bayer Leverkusen,M,23,Argentina,germany,2526,47115.0,2450000.0
Daniel Svensson,Borussia Dortmund,D,23,Sweden,germany,2526,47115.0,2450000.0
Philipp Treu,Freiburg,D,25,Germany,germany,2526,47115.0,2450000.0
Valentin Gendrey,Hoffenheim,D,25,France,germany,2526,47115.0,2450000.0
Andreas Hanche-Olsen,Mainz,D,29,Norway,germany,2526,47115.0,2450000.0
Yukinari Sugawara,Werder Bremen,D,25,Japan,germany,2526,45385.0,2360000.0
Nathaniel Brown,Eintracht Frankfurt,D,22,Germany,germany,2526,43462.0,2260000.0
Chrislain Matsima,Augsburg,D,23,France,germany,2526,43462.0,2260000.0
Finn Dahmen,Augsburg,K,27,Germany,germany,2526,43462.0,2260000.0
Jeffrey Gouweleeuw,Augsburg,D,34,Netherlands,germany,2526,43462.0,2260000.0
Kristijan Jakic,Augsburg,M,28,Croatia,germany,2526,43462.0,2260000.0
Marius Wolf,Augsburg,D,30,Germany,germany,2526,43462.0,2260000.0
Josip Juranovic,Union Berlin,D,30,Croatia,germany,2526,43462.0,2260000.0
Alex Král,Union Berlin,M,27,Czech Republic,germany,2526,43462.0,2260000.0
Lorenz Assignon,Stuttgart,D,25,France,germany,2526,43462.0,2260000.0
Dan-Axel Zagadou,Stuttgart,D,26,France,germany,2526,43462.0,2260000.0
Maximilian Philipp,Freiburg,F,31,Germany,germany,2526,43462.0,2260000.0
Shuto Machino,Monchengladbach,F,26,Japan,germany,2526,43462.0,2260000.0
Nicolás Capaldo,Hamburg,M,27,Argentina,germany,2526,43462.0,2260000.0
Robert Glatzel,Hamburg,F,32,Germany,germany,2526,43462.0,2260000.0
Dominik Kohr,Mainz,D,32,Germany,germany,2526,43462.0,2260000.0
Benedict Hollerbach,Mainz,F,24,Germany,germany,2526,43462.0,2260000.0
Ihlas Bebou,Hoffenheim,F,31,Togo,germany,2526,43462.0,2260000.0
Conrad Harder,Leipzig,F,20,Denmark,germany,2526,43462.0,2260000.0
Antonio Nusa,Leipzig,F,20,Norway,germany,2526,43462.0,2260000.0
Marvin Schwäbe,Koln,K,30,Germany,germany,2526,43462.0,2260000.0
Silvan Widmer,Mainz,D,32,Switzerland,germany,2526,40000.0,2080000.0
Robert Skov,Union Berlin,M,29,Denmark,germany,2526,40000.0,2080000.0
Cédric Zesiger,Augsburg,D,27,Switzerland,germany,2526,40000.0,2080000.0
Marvin Friedrich,Monchengladbach,D,30,Germany,germany,2526,40000.0,2080000.0
Jordan Torunarigha,Hamburg,D,28,Nigeria,germany,2526,40000.0,2080000.0
Keven Schlotterbeck,Augsburg,D,28,Germany,germany,2526,40000.0,2080000.0
Samuel Mbangula,Werder Bremen,F,22,Belgium,germany,2526,40000.0,2080000.0
Jonas Wind,Wolfsburg,F,26,Denmark,germany,2526,40000.0,2080000.0
Maximilian Wöber,Werder Bremen,D,28,Austria,germany,2526,40000.0,2080000.0
Alexander Prass,Hoffenheim,M,24,Austria,germany,2526,40000.0,2080000.0
Jackson Irvine,St Pauli,M,32,Australia,germany,2526,40000.0,2080000.0
Lennart Karl,Bayern Munich,F,18,Germany,germany,2526,38462.0,2000000.0
Rani Khedira,Union Berlin,M,32,Germany,germany,2526,36346.0,1890000.0
Tiago Tomás,Stuttgart,F,23,Portugal,germany,2526,36346.0,1890000.0
Frederik Rönnow,Union Berlin,K,33,Denmark,germany,2526,36346.0,1890000.0
Fisnik Asllani,Hoffenheim,F,23,Kosovo,germany,2526,36346.0,1890000.0
Patrick Wimmer,Wolfsburg,F,24,Austria,germany,2526,36346.0,1890000.0
Jean-Luc Dompé,Hamburg,F,30,France,germany,2526,36346.0,1890000.0
Maarten Vandevoordt,Leipzig,K,23,Belgium,germany,2526,36346.0,1890000.0
Miro Muheim,Hamburg,D,27,Switzerland,germany,2526,36346.0,1890000.0
Farès Chaïbi,Eintracht Frankfurt,M,23,Algeria,germany,2526,36346.0,1890000.0
Andreas Skov Olsen,Wolfsburg,F,26,Denmark,germany,2526,36346.0,1890000.0
Anthony Caci,Mainz,D,28,France,germany,2526,36346.0,1890000.0
Patrick Mainka,Heidenheim,D,31,Germany,germany,2526,36346.0,1890000.0
Rogério,Wolfsburg,D,28,Brazil,germany,2526,36346.0,1890000.0
Phillipp Mwene,Mainz,D,32,Austria,germany,2526,36346.0,1890000.0
Sven Ulreich,Bayern Munich,K,37,Germany,germany,2526,36346.0,1890000.0
Haris Tabakovic,Monchengladbach,F,31,Bosnia-Herzegovina,germany,2526,36346.0,1890000.0
Budu Zivzivadze,Heidenheim,F,31,Georgia,germany,2526,36346.0,1890000.0
Lukas Kübler,Freiburg,D,33,Germany,germany,2526,36346.0,1890000.0
Christopher Trimmel,Union Berlin,D,38,Austria,germany,2526,36346.0,1890000.0
Elye Wahi,Eintracht Frankfurt,F,22,France,germany,2526,36346.0,1890000.0
Eric Smith,St Pauli,D,29,Sweden,germany,2526,36346.0,1890000.0
Arnaud Kalimuendo,Eintracht Frankfurt,F,24,France,germany,2526,34423.0,1790000.0
Felix Agu,Werder Bremen,D,26,Nigeria,germany,2526,32692.0,1700000.0
Nikola Vasilj,St Pauli,K,30,Bosnia-Herzegovina,germany,2526,32692.0,1700000.0
Patrick Osterhage,Freiburg,M,26,Germany,germany,2526,32692.0,1700000.0
Derrick Köhn,Union Berlin,D,27,Ghana,germany,2526,32692.0,1700000.0
Manolis Saliakas,St Pauli,D,29,Greece,germany,2526,32692.0,1700000.0
Hauke Wahl,St Pauli,D,31,Germany,germany,2526,32692.0,1700000.0
Daniel Elfadli,Hamburg,D,28,Libya,germany,2526,32692.0,1700000.0
