player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Attila Szalai,Fenerbahce,D,25,Hungary,turkey,2223,19231.0,1000000.0
Jayden Oosterwolde,Fenerbahce,D,21,Netherlands,turkey,2223,19231.0,1000000.0
Edgar Ié,Basaksehir,D,28,Portugal,turkey,2223,18846.0,980000.0
Cherif Ndiaye,Adana Demirspor,F,27,Senegal,turkey,2223,18462.0,960000.0
Irfan Can Kahveci,Fenerbahce,F,27,Turkey,turkey,2223,18462.0,960000.0
Simon Deli,Adana Demirspor,D,31,Cote d'Ivoire,turkey,2223,18462.0,960000.0
Deniz Türüc,Basaksehir,M,30,Turkey,turkey,2223,18462.0,960000.0
Diego Rossi,Fenerbahce,F,24,Uruguay,turkey,2223,18462.0,960000.0
Serdar Aziz,Fenerbahce,D,32,Turkey,turkey,2223,18462.0,960000.0
Rúnar Alex Rúnarsson,Alanyaspor,K,28,Iceland,turkey,2223,18462.0,960000.0
Dorukhan Toköz,Trabzonspor,M,26,Turkey,turkey,2223,18462.0,960000.0
Mauro Icardi,Galatasaray,F,30,Argentina,turkey,2223,18077.0,940000.0
Francisco Montero,Besiktas,D,23,Spain,turkey,2223,18077.0,940000.0
Samet Akaydin,Fenerbahce,D,28,Turkey,turkey,2223,18077.0,940000.0
Zinedine Ferhat,Alanyaspor,F,29,Algeria,turkey,2223,17500.0,910000.0
Ramón Arias,Giresunspor,D,30,Uruguay,turkey,2223,17308.0,900000.0
Mauricio Lemos,Fenerbahce,D,26,Uruguay,turkey,2223,17308.0,900000.0
Famara Diédhiou,Alanyaspor,F,29,Senegal,turkey,2223,17308.0,900000.0
Alexander Merkel,Gaziantep BB,M,30,Kazakhstan,turkey,2223,17308.0,900000.0
Salih Ucan,Besiktas,M,29,Turkey,turkey,2223,17115.0,890000.0
Ryan Donk,Kasimpasa,D,36,Suriname,turkey,2223,17115.0,890000.0
Ahmed Musa,Sivasspor,F,30,Nigeria,turkey,2223,17115.0,890000.0
Serdar Gürler,Basaksehir,F,31,Turkey,turkey,2223,16923.0,880000.0
Davide Biraschi,Karagumrukspor,D,28,Italy,turkey,2223,16923.0,880000.0
Ersin Destanoglu,Besiktas,K,22,Turkey,turkey,2223,16923.0,880000.0
Leke James,Sivasspor,F,30,Nigeria,turkey,2223,16346.0,850000.0
Vukan Savicevic,Giresunspor,M,29,Montenegro,turkey,2223,16154.0,840000.0
Emre Akbaba,Adana Demirspor,F,30,Turkey,turkey,2223,15962.0,830000.0
Ahmed Hassan,Alanyaspor,F,29,Egypt,turkey,2223,15962.0,830000.0
João Figueiredo,Basaksehir,F,26,Brazil,turkey,2223,15962.0,830000.0
Hasan Ali Kaldirim,Ankaragucu,D,33,Turkey,turkey,2223,15962.0,830000.0
Gökhan Inler,Adana Demirspor,M,38,Switzerland,turkey,2223,15962.0,830000.0
Yusuf Demir,Galatasaray,F,19,Austria,turkey,2223,15577.0,810000.0
Serdar Dursun,Fenerbahce,F,31,Turkey,turkey,2223,15577.0,810000.0
Abdulkadir Parmak,Trabzonspor,M,28,Turkey,turkey,2223,15577.0,810000.0
Abdulkadir Parmak,Gaziantep BB,M,27,Turkey,turkey,2223,15577.0,810000.0
Andrea Bertolacci,Kayserispor,M,31,Italy,turkey,2223,15577.0,810000.0
Marko Jevtovic,Gaziantep BB,M,29,Serbia,turkey,2223,15385.0,800000.0
Gustavo Campanharo,Kayserispor,M,30,Brazil,turkey,2223,15192.0,790000.0
João Figueiredo,Gaziantep BB,F,26,Brazil,turkey,2223,15000.0,780000.0
Leroy Fer,Alanyaspor,M,33,Netherlands,turkey,2223,15000.0,780000.0
Yunus Malli,Kasimpasa,F,30,Turkey,turkey,2223,14615.0,760000.0
Ognjen Vranjes,Hatayspor,D,33,Bosnia-Herzegovina,turkey,2223,14615.0,760000.0
Idrissa Doumbia,Alanyaspor,M,24,Cote d'Ivoire,turkey,2223,14615.0,760000.0
Alexandru Epureanu,Basaksehir,D,35,Moldova,turkey,2223,14615.0,760000.0
