player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Gabriel Paulista,Valencia,D,32,Brazil,spain,2324,102500.0,5330000.0
Fran García,Real Madrid,D,24,Spain,spain,2324,100192.0,5210000.0
Adnan Januzaj,Sevilla,F,28,Belgium,spain,2324,100192.0,5210000.0
Mariano Díaz,Sevilla,F,30,Dominican Republic,spain,2324,100192.0,5210000.0
Takefusa Kubo,Real Sociedad,F,22,Japan,spain,2324,100000.0,5200000.0
Arda Güler,Real Madrid,F,18,Turkey,spain,2324,100000.0,5200000.0
Brais Méndez,Real Sociedad,F,27,Spain,spain,2324,100000.0,5200000.0
Sergi Roberto,Barcelona,M,31,Spain,spain,2324,96154.0,5000000.0
André Silva,Real Sociedad,F,28,Portugal,spain,2324,96154.0,5000000.0
Boubakary Soumaré,Sevilla,M,24,France,spain,2324,93269.0,4850000.0
Borja Mayoral,Getafe,F,26,Spain,spain,2324,92115.0,4790000.0
Vedat Muriqi,Mallorca,F,29,Kosovo,spain,2324,88077.0,4580000.0
José Gayà,Valencia,D,28,Spain,spain,2324,88077.0,4580000.0
Stefan Savic,Atletico Madrid,D,33,Montenegro,spain,2324,86538.0,4500000.0
Marcão,Sevilla,D,27,Brazil,spain,2324,84231.0,4380000.0
Yuri Berchiche,Athletic Club,D,34,Spain,spain,2324,82308.0,4280000.0
Djibril Sow,Sevilla,M,26,Switzerland,spain,2324,80192.0,4170000.0
Tanguy Nianzou,Sevilla,D,21,France,spain,2324,80192.0,4170000.0
Jonathan Bamba,Celta Vigo,F,27,Cote d'Ivoire,spain,2324,80000.0,4160000.0
Oihan Sancet,Athletic Club,F,23,Spain,spain,2324,80000.0,4160000.0
Álex Remiro,Real Sociedad,K,28,Spain,spain,2324,80000.0,4160000.0
Pau Cubarsí,Barcelona,D,17,Spain,spain,2324,76923.0,4000000.0
Mouctar Diakhaby,Valencia,D,27,Guinea,spain,2324,76923.0,4000000.0
Nemanja Gudelj,Sevilla,D,32,Serbia,spain,2324,76154.0,3960000.0
Diadié Samassékou,Cadiz,M,28,Mali,spain,2324,75000.0,3900000.0
Nahuel Molina,Atletico Madrid,D,25,Argentina,spain,2324,72308.0,3760000.0
Gerard Moreno,Villarreal,F,31,Spain,spain,2324,72115.0,3750000.0
David López,Girona,D,34,Spain,spain,2324,72115.0,3750000.0
Dani Parejo,Villarreal,M,34,Spain,spain,2324,72115.0,3750000.0
Mauro Arambarri,Getafe,M,28,Uruguay,spain,2324,71923.0,3740000.0
Francis Coquelin,Villarreal,M,32,France,spain,2324,71923.0,3740000.0
Maxi Gómez,Cadiz,F,27,Uruguay,spain,2324,70192.0,3650000.0
Alexander Sörloth,Villarreal,F,28,Norway,spain,2324,69231.0,3600000.0
Joan Jordán,Sevilla,M,29,Spain,spain,2324,68077.0,3540000.0
Vitor Roque,Barcelona,F,18,Brazil,spain,2324,67308.0,3500000.0
Ángel Correa,Atletico Madrid,F,28,Argentina,spain,2324,67308.0,3500000.0
Bertrand Traoré,Villarreal,F,28,Burkina Faso,spain,2324,67308.0,3500000.0
Oriol Romeu,Barcelona,M,32,Spain,spain,2324,67308.0,3500000.0
Alfonso Pedraza,Villarreal,D,27,Spain,spain,2324,64231.0,3340000.0
Lamine Yamal,Barcelona,F,16,Spain,spain,2324,64038.0,3330000.0
Daley Blind,Girona,D,34,Netherlands,spain,2324,64038.0,3330000.0
Loïc Badé,Sevilla,D,23,France,spain,2324,63462.0,3300000.0
Erik Lamela,Sevilla,F,31,Argentina,spain,2324,63462.0,3300000.0
Javi Galán,Real Sociedad,D,29,Spain,spain,2324,62500.0,3250000.0
Thomas Lemar,Atletico Madrid,F,28,France,spain,2324,62500.0,3250000.0
Iñaki Peña,Barcelona,K,24,Spain,spain,2324,62500.0,3250000.0
Mikel Merino,Real Sociedad,M,27,Spain,spain,2324,61538.0,3200000.0
Arthur Vermeeren,Atletico Madrid,M,18,Belgium,spain,2324,60192.0,3130000.0
Dani Vivian,Athletic Club,D,24,Spain,spain,2324,60192.0,3130000.0
Denis Suárez,Villarreal,F,30,Spain,spain,2324,60192.0,3130000.0
Eric Bailly,Villarreal,D,29,Cote d'Ivoire,spain,2324,60192.0,3130000.0
Jesús Navas,Sevilla,D,38,Spain,spain,2324,60192.0,3130000.0
Isaac Romero,Sevilla,F,24,Spain,spain,2324,60192.0,3130000.0
Pablo Fornals,Real Betis,F,27,Spain,spain,2324,60000.0,3120000.0
Ander Barrenetxea,Real Sociedad,F,22,Spain,spain,2324,60000.0,3120000.0
Héctor Bellerín,Real Betis,D,28,Spain,spain,2324,60000.0,3120000.0
Javi Galán,Atletico Madrid,D,28,Spain,spain,2324,60000.0,3120000.0
Igor Zubeldia,Real Sociedad,D,26,Spain,spain,2324,60000.0,3120000.0
Djené,Getafe,D,32,Togo,spain,2324,60000.0,3120000.0
Raúl de Tomás,Rayo Vallecano,F,29,Spain,spain,2324,59615.0,3100000.0
Marc Roca,Real Betis,M,27,Spain,spain,2324,58269.0,3030000.0
Youssef En-Nesyri,Sevilla,F,26,Morocco,spain,2324,57692.0,3000000.0
Martín Zubimendi,Real Sociedad,M,25,Spain,spain,2324,57692.0,3000000.0
Sergiño Dest,Barcelona,D,22,United States,spain,2324,57692.0,3000000.0
Dodi Lukébakio,Sevilla,F,26,Belgium,spain,2324,57692.0,3000000.0
Ander Herrera,Athletic Club,M,34,Spain,spain,2324,57692.0,3000000.0
Clément Lenglet,Barcelona,D,28,France,spain,2324,57692.0,3000000.0
Iago Aspas,Celta Vigo,F,36,Spain,spain,2324,56154.0,2920000.0
Marcos Acuña,Sevilla,D,32,Argentina,spain,2324,55769.0,2900000.0
Raúl Albiol,Villarreal,D,38,Spain,spain,2324,54615.0,2840000.0
Andriy Lunin,Real Madrid,K,24,Ukraine,spain,2324,54038.0,2810000.0
Suso,Sevilla,F,30,Spain,spain,2324,53846.0,2800000.0
Robin Le Normand,Real Sociedad,D,27,Spain,spain,2324,53846.0,2800000.0
Fernando,Sevilla,M,36,Brazil,spain,2324,53846.0,2800000.0
Dani García,Athletic Club,M,33,Spain,spain,2324,53269.0,2770000.0
Ansu Fati,Barcelona,F,20,Spain,spain,2324,52115.0,2710000.0
Sergi Darder,Mallorca,M,30,Spain,spain,2324,51923.0,2700000.0
Cédric Bakambu,Real Betis,F,32,Democratic Republic of the Congo,spain,2324,51923.0,2700000.0
Álvaro Odriozola,Real Sociedad,D,28,Spain,spain,2324,51923.0,2700000.0
Viktor Tsyhankov,Girona,F,26,Ukraine,spain,2324,51923.0,2700000.0
Roman Yaremchuk,Valencia,F,28,Ukraine,spain,2324,50000.0,2600000.0
Gabriel Paulista,Atletico Madrid,D,33,Brazil,spain,2324,50000.0,2600000.0
Carles Pérez,Celta Vigo,F,25,Spain,spain,2324,49231.0,2560000.0
Joselu,Real Madrid,F,33,Spain,spain,2324,48077.0,2500000.0
David Soria,Getafe,K,30,Spain,spain,2324,48077.0,2500000.0
Çağlar Söyüncü,Atletico Madrid,D,27,Turkey,spain,2324,48077.0,2500000.0
Germán Pezzella,Real Betis,D,32,Argentina,spain,2324,48077.0,2500000.0
Artem Dovbyk,Girona,F,26,Ukraine,spain,2324,48077.0,2500000.0
Yeray Álvarez,Athletic Club,D,29,Spain,spain,2324,46154.0,2400000.0
