accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
7,1,50.0,58,3,50.0,103,37,139,57.68,69,54.33,58,23,0,0,0,0,25.0,0,4,8,1,10,22,0,0,18,8,121,0,0,0.53,4.02,33,0,9.38,0.0,3,3,12,10,2,3,0,,32,33.68,2,0,1,102,4,7,0,8,968,10,,0,0,1,0,100.0,0,1,0,0,173,8,0,6.75,0,1,0,0,0,0,0,0,322.67,0.0,0,25,7,13,11,8,57.14,0,12,7,58.33,7,10,14,2,101,45.5,6,193,50,241,148.6,32,0,433,12,0,0,Ercan Kara,Samsunspor,843039,3053,turkey,2324
10,1,25.0,87,13,72.22,155,126,280,88.61,4,50.0,4,11,0,0,0,0,29.0,1,4,4,0,4,11,0,0,6,4,23,0,0,0.51,1.46,8,0,0.0,0.0,0,0,8,5,3,0,0,,16,45.71,0,0,0,36,4,9,0,4,534,0,,0,2,0,0,0.0,0,0,0,0,52,4,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,1,6,6,6,2,1,33.33,0,11,6,54.55,7,17,3,4,20,46.51,18,188,132,316,74.3,12,0,385,4,1,0,Miha Zajc,Fenerbahçe,139256,3052,turkey,2324
17,16,31.37,147,13,48.15,228,100,312,71.56,11,24.44,34,30,4,0,0,0,77.0,5,5,12,0,2,30,0,0,23,24,138,0,1,3.08,3.04,20,0,5.41,0.0,2,6,29,23,6,2,0,,77,42.54,0,0,2,124,7,31,0,22,1919,10,,0,0,0,0,0.0,0,0,0,1,310,14,0,6.75,0,2,0,0,0,0,0,0,959.5,0.0,3,23,14,15,10,27,40.91,0,18,13,72.22,31,32,66,51,88,38.94,27,351,136,436,202.6,37,0,823,32,4,0,Valon Ethemi,Konyaspor,904945,3085,turkey,2324
20,0,0.0,16,23,43.4,72,314,386,82.13,26,61.9,16,21,0,0,0,0,61.0,0,1,0,3,63,19,0,0,0,6,30,0,0,0.1,0.7,9,0,0.0,0.0,0,0,21,19,2,0,0,,32,69.57,0,0,0,84,20,0,0,15,1299,1,,1,0,0,0,0.0,0,0,0,0,91,2,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,9,0,5,4,0,0.0,0,15,13,86.67,0,37,0,0,58,65.91,53,123,347,470,128.3,9,0,631,17,6,0,Sadık Çiftpınar,Kasımpaşa,111811,6063,turkey,2324
9,11,39.29,80,8,38.1,176,126,291,78.86,12,42.86,16,21,0,0,0,0,49.0,3,2,3,2,11,21,0,0,7,9,52,0,0,2.36,1.3,12,0,5.56,0.0,1,1,19,12,7,0,1,,43,54.43,0,0,0,78,3,19,0,11,1030,5,,0,0,0,0,0.0,0,0,0,0,136,7,0,6.75,0,1,0,0,0,0,0,0,1030.0,0.0,0,10,8,9,6,17,65.38,0,7,5,71.43,19,22,26,28,55,51.4,21,253,144,369,141.8,18,0,562,20,2,0,Serdar Gürler,Başakşehir FK,96520,3086,turkey,2324
33,7,20.0,292,30,47.62,490,186,669,80.02,25,43.1,33,27,0,0,0,0,92.0,3,4,18,2,1,27,0,0,34,15,123,0,0,1.94,6.23,24,0,12.0,0.0,6,6,28,26,2,6,0,,51,36.17,0,0,1,167,7,14,0,19,1872,2,,0,0,4,0,100.0,0,4,0,0,315,12,0,6.75,0,6,0,0,0,0,0,0,312.0,0.0,1,17,33,17,15,23,53.49,0,14,6,42.86,14,64,43,35,76,38.19,63,655,216,836,182.3,50,0,1158,14,5,0,Olivier Ntcham,Samsunspor,352676,3053,turkey,2324
3,0,0.0,21,1,16.67,40,24,64,57.66,11,42.31,15,8,0,0,0,0,14.0,0,0,0,0,6,8,0,0,3,0,27,0,0,0.18,0.42,8,0,66.67,0.0,2,2,5,5,0,2,0,,13,52.0,0,0,0,47,1,4,1,6,458,1,,0,0,0,0,0.0,0,0,0,0,76,1,0,6.75,0,1,0,0,0,0,0,0,229.0,0.0,0,3,0,0,3,0,0.0,0,5,4,80.0,4,11,3,2,24,47.06,6,74,39,111,54.0,3,0,176,9,2,0,İbrahim Yilmaz,İstanbulspor,135689,3066,turkey,2324
1,1,100.0,2,1,33.33,7,5,11,64.71,0,0.0,1,2,0,0,0,0,2.0,0,0,0,0,1,2,0,0,2,0,5,0,0,0.03,,1,0,0.0,0.0,0,0,0,0,0,0,0,,6,60.0,0,0,0,6,2,0,0,0,46,0,,0,0,0,0,0.0,0,0,0,0,10,0,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5,3,60.0,0,1,1,1,6,54.55,3,12,6,17,13.5,0,0,33,1,0,0,Efe Sayhan,Pendikspor,1412859,7032,turkey,2324
14,1,50.0,51,26,33.33,144,446,589,84.26,61,62.89,36,21,0,0,0,0,48.0,1,1,3,3,73,20,0,0,0,6,52,1,0,0.16,1.18,13,0,0.0,5.0,0,0,25,20,5,0,0,,25,60.98,0,0,1,110,19,6,0,15,1326,0,,0,0,0,1,0.0,0,0,0,0,116,1,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,10,4,7,4,1,100.0,0,16,8,50.0,6,32,1,2,86,62.32,78,221,480,699,135.0,14,0,874,8,4,0,Husniddin Alikulov,Çaykur Rizespor,1121174,3064,turkey,2324
12,6,18.18,96,20,33.33,173,140,307,73.1,7,50.0,7,20,0,0,0,0,54.0,1,0,1,1,32,18,0,0,4,3,35,0,1,1.38,0.39,14,0,0.0,0.0,0,0,21,19,2,0,0,,42,60.0,0,0,0,113,20,4,0,12,1082,0,,0,0,0,0,0.0,0,0,0,0,192,1,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,1,1,6,4,2,13,61.9,0,21,14,66.67,4,28,21,33,49,58.33,60,268,185,420,121.5,7,0,760,8,1,0,Marc Bola,Samsunspor,862083,3053,turkey,2324
2,1,100.0,2,11,39.29,14,69,82,76.64,7,50.0,7,4,0,0,0,0,10.0,0,0,1,1,11,4,0,0,0,3,14,0,0,0.03,0.27,4,0,0.0,1.0,0,0,5,5,0,0,0,,6,46.15,0,0,0,25,3,1,0,4,360,1,,1,0,0,1,0.0,0,0,0,0,25,0,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,5,1,4,1,2,100.0,0,1,0,0.0,1,8,2,1,13,48.15,28,33,75,107,27.0,6,0,143,3,0,0,Metehan Mert,Konyaspor,962535,3085,turkey,2324
2,0,0.0,6,8,80.0,25,38,63,84.0,0,0.0,3,2,0,0,0,0,,0,0,0,0,2,2,0,0,0,3,7,0,0,0.01,0.0,1,0,0.0,,0,0,3,2,1,0,0,,8,66.67,0,0,0,12,2,1,0,2,127,0,,0,0,0,0,0.0,0,0,0,0,15,0,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,100.0,0,4,2,50.0,1,9,2,1,8,53.33,10,31,45,75,13.5,0,0,114,2,0,0,Şener Özbayraklı,Başakşehir FK,129992,3086,turkey,2324
8,0,0.0,82,14,63.64,230,194,424,89.64,23,63.89,13,21,1,0,0,0,54.0,0,0,1,1,11,19,0,0,6,12,54,0,0,0.39,0.38,14,0,0.0,0.0,0,1,9,6,3,0,0,,32,43.84,0,0,0,49,11,9,0,6,702,0,,0,0,0,0,0.0,0,0,0,0,83,2,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,2,3,7,43.75,0,20,13,65.0,9,16,16,1,55,50.46,22,270,204,473,128.2,6,0,596,5,4,0,Demir Ege Tıknaz,Beşiktaş JK,1142613,3050,turkey,2324
12,1,33.33,72,26,57.78,185,267,451,87.74,14,63.64,8,19,0,0,0,0,55.0,0,0,3,2,24,19,0,0,6,9,40,0,0,0.55,0.25,16,0,0.0,0.0,0,0,10,9,1,0,0,,31,49.21,0,0,0,63,20,5,0,9,920,1,,0,0,0,2,0.0,0,0,0,0,84,2,0,6.75,0,0,0,0,0,0,0,0,0.0,0.0,0,3,4,4,0,1,33.33,0,25,11,44.0,5,25,3,3,45,52.94,45,229,288,514,128.2,7,0,655,5,3,0,Onur Ergün,Başakşehir FK,893009,3086,turkey,2324
