accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
72,2,28.57,200,111,58.42,569,844,1413,88.59,42,59.15,29,26,1,0,0,0,135,1,2,3,10,106,26,0,0,4,15,67,0,2,0.52,1.14,16,0,0.0,18,0,1,22,16,6,0,0,,68,64.15,0,0,2,182,63,4,0,26,2340,0,20.0,0,0,0,0,0.0,0,0,0,0,213,5,0,7.23,0,0,0,0,0,0,0,0,0.0,0,0,9,8,10,4,5,55.56,0,49,31,63.27,4,128,9,7,110,62.15,190,692,903,1595,188.1,17,5,1967,15,2,0,Malang Sarr,RC Lens,826203,1648,france,2526,20260326
9,0,0.0,59,50,66.67,253,571,824,92.69,33,46.48,38,18,1,0,0,0,86,1,3,3,7,67,18,0,0,1,10,62,0,0,0.38,1.62,16,0,12.5,17,2,3,12,9,3,2,0,,39,61.9,2,0,0,65,22,4,0,17,1545,1,21.0,0,1,0,0,0.0,0,0,0,0,74,3,0,7.23,0,0,0,0,0,0,0,0,772.5,0,0,14,2,9,4,7,100.0,0,27,17,62.96,3,19,7,0,72,53.73,75,288,601,889,130.2,16,1,1106,5,2,0,Samson Baidoo,RC Lens,1099117,1648,france,2526,20260326
16,0,0.0,115,38,66.67,303,357,660,95.24,16,55.17,13,11,0,0,0,0,29,0,0,0,4,29,11,0,0,2,1,22,0,1,0.33,0.09,7,0,0.0,0,0,0,4,3,1,0,0,,17,65.38,0,0,0,33,6,2,0,8,779,0,3.0,1,0,0,1,0.0,0,0,0,0,38,0,0,7.22,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,1,100.0,0,15,12,80.0,2,27,1,1,33,60.0,57,323,370,693,79.4,1,1,776,1,0,0,Marquinhos,Paris Saint-Germain,155995,1644,france,2526,20260326
47,1,6.25,439,41,52.56,810,650,1460,88.92,20,50.0,20,25,4,0,0,0,135,7,0,5,8,43,25,0,0,16,20,103,0,3,3.51,0.94,39,0,5.0,0,1,5,31,26,5,0,1,,97,53.89,0,0,1,182,31,38,0,25,2205,0,9.0,0,0,0,0,0.0,0,0,0,0,261,18,0,7.21,0,1,0,0,0,0,0,0,2205.0,0,0,5,15,6,9,15,57.69,0,60,40,66.67,38,95,26,16,117,53.18,78,950,692,1642,180.3,20,3,2008,22,4,0,Valentin Rongier,Stade Rennais,581314,1658,france,2526,20260326
71,18,22.5,260,84,70.0,560,528,1088,88.46,14,43.75,18,23,2,0,0,0,102,3,1,12,9,35,23,0,1,11,9,69,0,2,3.25,1.45,26,0,8.7,1,2,4,24,19,5,1,1,,66,56.41,1,0,2,142,17,27,0,23,2037,0,11.0,0,1,0,1,0.0,0,0,0,0,259,10,0,7.2,1,1,0,0,0,0,0,0,1018.5,0,5,6,17,5,6,10,58.82,0,40,27,67.5,26,115,17,80,80,53.69,120,663,567,1230,165.6,23,1,1580,16,5,0,Tyler Morton,Olympique Lyonnais,979118,1649,france,2526,20260326
0,0,0.0,11,1,50.0,22,11,33,82.5,0,0.0,0,1,0,0,0,0,7,0,0,1,0,0,1,0,0,2,0,4,0,0,0.04,0.22,0,0,0.0,0,0,0,1,1,0,0,0,,5,55.56,0,0,0,7,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,14,1,0,7.2,0,0,0,0,0,0,0,0,0.0,0,0,2,1,1,1,3,60.0,0,1,0,0.0,0,1,5,0,5,55.56,2,29,11,40,7.2,3,0,58,1,0,0,Andy Diouf,RC Lens,1048889,1648,france,2526,20260326
3,0,0.0,11,1,50.0,23,23,46,86.79,1,25.0,3,2,0,0,0,0,10,0,0,0,1,12,2,0,0,0,0,5,0,0,0.02,0.06,1,0,0.0,0,0,0,0,0,0,0,0,,10,83.33,0,0,0,7,5,0,0,1,120,0,0.0,0,0,0,0,0.0,0,0,0,0,9,1,0,7.2,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,2,66.67,0,4,3,75.0,0,5,3,1,11,68.75,2,29,24,53,14.4,1,0,88,4,1,0,Kyllian Antonio,RC Lens,1546405,1648,france,2526,20260326
46,2,66.67,139,62,43.66,489,991,1480,90.08,70,66.67,35,25,2,0,0,0,96,3,0,2,13,138,25,0,0,2,7,71,0,2,1.66,0.3,30,0,0.0,48,0,2,23,19,4,0,0,,55,60.44,0,0,0,163,21,12,0,23,2128,0,18.0,0,0,0,1,0.0,0,0,0,0,185,1,0,7.2,0,0,0,0,0,0,0,0,0.0,0,0,3,1,2,0,4,66.67,0,28,16,57.14,12,94,6,3,125,63.78,142,602,1041,1643,179.9,4,5,1962,23,3,0,Moussa Niakhaté,Olympique Lyonnais,758168,1649,france,2526,20260326
88,27,27.84,286,61,57.55,565,673,1238,86.63,8,44.44,10,24,4,0,0,0,120,13,3,9,5,11,24,0,1,25,11,98,0,3,6.29,2.15,23,0,4.17,0,1,5,27,26,1,1,0,,131,59.82,0,0,0,191,13,38,1,22,1990,1,0.0,0,2,0,1,0.0,0,0,0,0,356,12,0,7.19,1,0,0,0,0,0,0,0,1990.0,0,4,16,8,7,8,21,40.38,0,52,29,55.77,36,162,52,97,139,58.65,106,720,709,1429,172.6,24,2,1894,58,5,0,Valentín Barco,RC Strasbourg,1127057,1659,france,2526,20260326
60,0,0.0,13,123,43.93,51,516,567,77.56,4,100.0,0,27,1,0,0,0,198,0,0,0,10,14,27,0,0,0,1,1,0,0,0.01,,0,0,0.0,121,0,1,24,18,6,0,0,6.98,3,75.0,0,10,0,164,0,2,0,27,2430,0,0.0,0,0,0,0,0.0,5,0,2,0,165,0,5,7.19,0,0,8,43,26,69,0,12,0.0,0,0,0,0,0,0,0,0.0,7,0,0,0.0,2,83,0,0,7,87.5,280,162,569,731,194.0,0,1,947,4,2,0,Robin Risser,RC Lens,1387161,1648,france,2526,20260326
