accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season,download_date
34,0,0.0,54,196,37.12,137,376,513,60.21,16,94.12,1,29,0,0,0,0,304,0,0,0,6,43,29,1,0,0,1,2,2,4,0.07,,1,0,0.0,201,0,0,38,35,3,0,0,5.23,2,66.67,0,67,0,339,0,1,0,29,2610,0,0,0,0,0,1,0.0,5,0,1,0,350,0,19,7.19,0,0,19,73,36,110,2,21,0.0,0.0,0,0,0,0,0,0,0.0,16,0,0,0.0,1,59,0,0,18,90.0,528,432,420,852,208.6,0,3,1260,3,4,0,Arijanet Murić,Sassuolo,888971,2793,italy,2526,20260326
81,19,23.75,304,90,67.16,663,587,1250,90.32,1,33.33,2,27,3,0,0,0,127,10,1,13,2,20,27,0,0,25,20,76,1,1,3.32,2.18,19,0,3.57,0,1,4,37,29,8,1,0,,86,53.75,0,0,0,134,13,57,0,24,2076,0,8,0,0,0,0,0.0,0,0,0,0,270,16,0,7.19,0,1,0,0,0,0,0,0,2076.0,0.0,4,9,19,9,6,17,62.96,0,35,23,65.71,57,149,27,80,87,53.37,134,776,608,1384,194.2,28,3,1752,34,4,0,Nicolò Fagioli,Fiorentina,901850,2693,italy,2526,20260326
42,0,0.0,19,173,45.29,71,578,649,75.29,10,90.91,1,27,0,0,0,0,174,1,0,0,12,23,27,1,0,0,1,2,1,0,0.03,,0,0,0.0,135,0,0,27,24,3,0,0,5.91,2,66.67,0,16,0,213,0,1,0,27,2430,0,0,0,0,0,0,0.0,4,0,1,0,216,0,11,7.18,0,0,9,55,33,90,1,29,0.0,0.0,0,0,0,0,0,1,100.0,9,0,0,0.0,1,77,1,0,12,85.71,382,227,635,862,193.8,0,0,1101,2,1,0,Ivan Provedel,Lazio,308182,2699,italy,2526,20260326
34,9,40.91,363,43,68.25,696,428,1124,92.43,10,52.63,9,27,1,0,0,0,100,6,1,10,3,22,27,0,0,7,9,44,0,1,2.52,2.09,15,0,21.74,0,5,6,16,14,2,1,4,,50,58.82,0,0,1,92,5,25,3,17,1635,0,2,0,0,1,0,100.0,0,1,0,0,139,9,0,7.17,0,2,0,0,0,0,0,0,327.0,0.0,0,6,17,4,9,15,71.43,0,21,11,52.38,25,47,21,22,60,57.69,63,769,447,1216,193.5,23,4,1405,15,1,0,Piotr Zieliński,Inter,138605,2697,italy,2526,20260326
0,0,0.0,4,0,0.0,11,11,22,78.57,5,33.33,10,3,0,0,0,0,3,0,2,0,0,1,3,0,0,3,1,18,0,0,0.03,1.92,3,0,33.33,0,2,2,2,2,0,2,0,,7,46.67,0,0,0,6,3,1,0,3,190,3,0,0,0,1,0,100.0,0,1,0,1,19,0,0,7.17,0,2,0,0,0,0,0,0,95.0,0.0,0,6,0,2,4,1,50.0,0,0,0,0.0,1,0,2,1,12,40.0,0,16,12,28,21.5,6,1,63,7,0,0,Andrea Belotti,Cagliari,220223,2719,italy,2526,20260326
4,6,20.0,60,3,100.0,104,46,150,92.59,1,100.0,0,9,0,0,0,0,15,2,0,2,0,3,9,0,0,4,4,15,0,0,0.92,0.45,1,0,40.0,0,2,2,9,8,1,1,1,,35,70.0,0,0,0,12,1,11,0,5,485,1,0,0,0,0,0,0.0,0,0,0,0,52,2,0,7.17,0,2,0,0,0,0,0,0,242.5,0.0,0,3,2,1,2,18,75.0,0,6,6,100.0,11,5,24,30,36,70.59,3,115,47,162,64.5,5,1,263,11,0,0,Manor Solomon,Fiorentina,862223,2693,italy,2526,20260326
8,4,36.36,61,9,56.25,156,148,304,92.12,3,100.0,0,8,1,0,0,0,22,2,0,0,1,4,8,0,0,2,5,13,0,1,0.98,0.03,3,0,0.0,0,0,1,2,1,1,0,0,,23,63.89,0,0,0,26,6,12,0,4,342,0,1,0,0,0,0,0.0,0,0,0,0,43,0,0,7.16,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,6,66.67,0,9,9,100.0,12,18,9,11,26,66.67,16,175,155,330,57.3,1,1,400,8,2,0,Nicolò Rovella,Lazio,937324,2699,italy,2526,20260326
71,31,36.47,448,60,59.41,776,391,1167,85.81,12,42.86,16,27,7,0,0,0,128,14,3,10,5,7,27,0,0,16,19,96,0,2,5.37,2.63,30,0,3.7,0,1,8,16,14,2,1,0,,82,50.62,0,0,0,193,4,63,0,24,1998,4,3,0,1,0,0,0.0,0,0,0,0,322,19,0,7.15,0,1,0,0,0,0,0,0,1998.0,0.0,1,15,12,14,3,18,48.65,0,45,24,53.33,62,126,37,85,94,49.47,101,940,420,1360,193.1,27,3,1718,19,6,0,Nicolò Barella,Inter,363856,2697,italy,2526,20260326
15,0,0.0,84,29,42.03,421,749,1170,91.98,57,69.51,25,16,1,0,0,0,57,0,0,3,6,54,16,0,0,3,2,48,0,1,0.23,0.68,17,0,12.5,3,1,2,12,11,1,1,0,,36,61.02,1,0,0,102,18,3,0,16,1360,2,9,0,0,0,2,0.0,0,0,0,0,114,0,0,7.15,0,0,0,0,0,0,0,0,1360.0,0.0,0,7,1,4,1,2,50.0,0,20,13,65.0,3,38,4,1,93,65.96,69,484,788,1272,114.4,8,1,1435,14,3,0,Amir Rrahmani,Napoli,332155,2714,italy,2526,20260326
28,16,34.04,153,30,52.63,261,146,407,77.52,11,44.0,14,20,4,0,0,1,64,6,4,2,3,21,20,0,0,16,17,87,0,0,2.79,5.36,27,0,24.14,0,7,11,23,20,3,7,0,,63,46.32,0,0,0,118,19,30,6,19,1585,10,0,0,0,3,0,66.67,0,2,0,1,225,11,0,7.14,0,1,0,0,0,0,0,0,226.43,0.0,1,23,6,12,15,8,36.36,0,26,17,65.38,30,57,22,47,74,45.96,57,352,173,525,142.8,29,3,844,30,2,0,Domenico Berardi,Sassuolo,253367,2793,italy,2526,20260326
38,0,0.0,23,207,34.5,134,481,615,60.71,11,84.62,2,26,0,0,0,0,262,0,0,0,8,25,26,0,0,0,1,3,4,1,0.05,,0,0,0.0,176,0,0,37,33,4,0,0,1.63,2,66.67,0,28,0,398,0,0,0,26,2340,0,0,0,0,0,0,0.0,4,0,1,0,405,0,9,7.14,0,0,5,59,44,104,1,30,0.0,0.0,0,0,0,0,0,1,100.0,5,0,0,0.0,0,109,1,0,13,81.25,600,435,578,1013,185.6,0,1,1333,5,0,0,Emil Audero,Cremonese,318603,2761,italy,2526,20260326
77,12,31.58,257,125,65.1,560,339,899,84.25,16,53.33,14,23,0,0,0,0,64,1,1,4,3,28,23,0,0,7,10,49,0,0,1.62,0.68,14,1,11.76,0,2,2,16,13,3,1,1,,48,57.83,0,0,1,168,10,18,1,16,1455,1,5,0,0,0,0,0.0,0,0,0,0,222,7,0,7.13,0,1,0,0,0,0,0,0,727.5,33.33,3,2,15,11,2,9,64.29,0,26,7,26.92,18,127,14,38,64,56.64,192,685,382,1067,164.0,17,2,1289,14,1,0,Nikola Moro,Bologna,814882,2685,italy,2526,20260326
