accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,data_country,data_season
32,19,25.68,274,36,37.89,518,391,890,80.84,21,48.84,22,32,1,0,0,0,,4,1,2,7,35,32,0,0,13,37,118,0,0,,,36,0,0.0,,0,1,23,23,0,0,0,,114,54.29,0,0,0,211,23,23,0,28,2390,0,,0,0,0,1,0.0,0,0,0,0,367,6,0,6.83,0,0,0,0,0,0,0,0,0.0,0.0,0,5,4,5,2,9,40.91,0,76,43,56.58,23,84,22,74,135,53.36,95,712,463,1101,218.5,9,1,1785,29,3,0,Andoni Gorosabel,Real Sociedad,866810,2824,spain,2021
3,0,0.0,111,6,75.0,166,35,201,59.29,103,50.74,100,28,2,0,0,0,,2,1,5,0,14,27,0,0,35,11,201,0,0,,,40,0,10.53,,4,6,13,11,2,3,1,,62,38.04,0,0,2,138,2,14,0,15,1329,5,,0,0,1,0,100.0,0,1,0,1,261,8,0,6.83,0,4,0,0,0,0,0,0,332.25,0.0,2,31,7,24,9,17,47.22,0,11,3,27.27,14,8,36,4,165,45.08,8,299,44,339,184.3,38,1,651,35,4,0,Enes Ünal,Getafe,336655,2859,spain,2021
40,0,0.0,78,42,64.62,220,269,489,85.34,13,46.43,15,30,0,0,0,0,,1,0,0,2,16,27,0,0,3,21,67,1,0,,,27,0,0.0,,0,0,12,11,1,0,0,,90,63.38,0,0,0,84,19,4,0,9,1049,0,,0,0,0,0,0.0,0,0,0,0,103,1,0,6.83,0,0,0,0,0,0,0,0,0.0,0.0,1,2,7,5,4,21,84.0,0,46,29,63.04,4,62,25,2,103,60.59,65,271,304,573,184.3,9,0,770,23,5,0,Geoffrey Kondogbia,Atlético Madrid,96544,2836,spain,2021
6,28,26.17,56,9,33.33,139,61,172,69.35,18,48.65,19,24,2,0,0,0,,4,1,3,0,2,21,0,0,7,14,56,0,0,,,10,0,5.26,,1,3,15,14,1,0,1,,33,47.14,0,0,1,76,7,19,0,10,957,4,,0,0,0,0,0.0,0,0,0,0,203,6,0,6.82,0,1,0,0,0,0,0,0,957.0,0.0,5,8,11,11,5,14,70.0,0,9,8,88.89,19,21,20,107,51,47.66,27,278,77,248,143.3,19,0,509,10,2,0,Pedro León,Eibar,28221,2839,spain,2021
69,0,0.0,104,146,39.14,286,547,833,68.33,96,60.0,64,31,1,0,0,0,,1,0,2,7,108,31,0,0,3,17,107,0,0,,,27,0,0.0,,0,1,38,34,4,0,0,,54,55.67,0,0,0,386,59,2,0,29,2640,1,,0,0,0,0,0.0,0,0,0,0,401,0,0,6.82,0,0,0,0,0,0,0,0,0.0,0.0,0,13,0,8,3,5,83.33,0,42,21,50.0,2,187,6,2,150,58.37,373,564,657,1219,211.5,13,1,1552,8,4,0,Paulo Oliveira,Eibar,106751,2839,spain,2021
44,14,17.07,140,52,40.94,291,302,579,74.23,30,47.62,33,32,1,0,0,0,,2,0,2,6,62,32,0,0,25,27,104,0,0,,,17,0,0.0,,0,1,44,38,6,0,0,,151,68.02,0,0,0,201,49,13,0,31,2585,0,,0,0,0,3,0.0,0,0,0,0,403,3,0,6.82,0,0,0,0,0,0,0,0,0.0,0.0,6,1,10,6,3,34,85.0,0,68,43,63.24,13,98,40,82,181,63.51,127,486,376,780,218.3,11,1,1547,51,3,0,Iza Carcelén,Cádiz,800403,4488,spain,2021
23,2,33.33,76,63,50.0,329,717,1044,86.93,52,59.77,35,24,1,0,0,0,,1,1,1,7,44,24,0,0,6,6,77,0,0,,,32,0,11.11,,1,2,26,26,0,1,0,,40,48.78,0,0,0,157,12,5,1,21,1958,2,,0,0,0,0,0.0,0,0,0,0,183,1,0,6.82,0,0,0,0,0,0,0,0,1958.0,0.0,0,6,3,5,3,7,77.78,0,23,16,69.57,5,74,9,6,92,54.44,126,420,787,1201,163.7,9,0,1401,11,5,0,Igor Zubeldia,Real Sociedad,838159,2824,spain,2021
46,0,0.0,206,87,56.49,584,582,1166,84.55,23,44.23,29,35,0,0,0,0,,0,0,7,1,36,35,0,0,23,28,126,1,1,,,37,0,4.17,,1,1,37,32,5,1,0,,109,52.91,0,0,0,213,43,12,0,25,2341,0,,0,0,0,0,0.0,0,0,0,0,278,13,0,6.82,0,1,0,0,0,0,0,0,2341.0,0.0,0,8,16,10,7,20,64.52,0,55,26,47.27,12,104,31,1,132,51.16,154,737,643,1379,238.7,24,0,1739,36,5,0,Mickaël Malsa,Levante UD,360866,2849,spain,2021
85,0,0.0,25,201,42.41,103,733,836,74.98,7,100.0,0,36,0,0,0,0,,0,0,0,10,23,36,0,0,0,1,2,1,1,,,1,0,0.0,,0,0,40,36,4,0,0,,2,50.0,0,24,0,279,0,0,0,36,3240,0,,0,0,0,1,0.0,9,0,1,0,287,0,10,6.82,0,0,6,55,25,80,2,22,0.0,0.0,0,0,0,0,0,0,0.0,6,0,0,0.0,0,156,0,0,9,81.82,474,300,815,1115,245.5,0,1,1448,2,2,0,Sergio Asenjo,Villarreal,41011,2819,spain,2021
17,5,9.8,196,34,38.2,382,421,798,81.6,32,46.38,37,26,1,0,0,0,,3,1,3,9,35,26,0,0,9,13,85,0,0,,,25,0,8.33,,1,2,20,19,1,1,0,,55,53.4,0,0,0,180,31,11,1,23,2082,2,,0,0,0,0,0.0,0,0,0,0,284,4,0,6.82,0,0,0,0,0,0,0,0,2082.0,0.0,0,8,4,8,1,8,72.73,0,31,19,61.29,11,49,11,51,87,50.58,89,543,486,978,177.3,12,2,1454,16,1,0,Nacho Monreal,Real Sociedad,17088,2824,spain,2021
