,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Bertrand Traoré,"€ 67,308","€ 3,500,000","€ 3,500,000",F,28,Burkina Faso,Villarreal,spain,2324
Oriol Romeu,"€ 67,308","€ 3,500,000","€ 3,500,000",M,32,Spain,Barcelona,spain,2324
Alfonso Pedraza,"€ 64,231","€ 3,340,000","€ 3,340,000",D,27,Spain,Villarreal,spain,2324
Lamine Yamal,"€ 64,038","€ 3,330,000","€ 3,330,000",F,16,Spain,Barcelona,spain,2324
Daley Blind,"€ 64,038","€ 3,330,000","€ 3,330,000",D,34,Netherlands,Girona,spain,2324
Loïc Badé,"€ 63,462","€ 3,300,000","€ 3,300,000",D,23,France,Sevilla,spain,2324
Erik Lamela,"€ 63,462","€ 3,300,000","€ 3,300,000",F,31,Argentina,Sevilla,spain,2324
Javi Galán,"€ 62,500","€ 3,250,000","€ 3,250,000",D,29,Spain,Real Sociedad,spain,2324
Thomas Lemar,"€ 62,500","€ 3,250,000","€ 3,250,000",F,28,France,Atletico Madrid,spain,2324
Iñaki Peña,"€ 62,500","€ 3,250,000","€ 3,250,000",K,24,Spain,Barcelona,spain,2324
Mikel Merino,"€ 61,538","€ 3,200,000","€ 3,200,000",M,27,Spain,Real Sociedad,spain,2324
Arthur Vermeeren,"€ 60,192","€ 3,130,000","€ 3,130,000",M,18,Belgium,Atletico Madrid,spain,2324
Dani Vivian,"€ 60,192","€ 3,130,000","€ 3,130,000",D,24,Spain,Athletic Club,spain,2324
Denis Suárez,"€ 60,192","€ 3,130,000","€ 3,130,000",F,30,Spain,Villarreal,spain,2324
Eric Bailly,"€ 60,192","€ 3,130,000","€ 3,130,000",D,29,Cote d'Ivoire,Villarreal,spain,2324
Jesús Navas,"€ 60,192","€ 3,130,000","€ 3,130,000",D,38,Spain,Sevilla,spain,2324
Isaac Romero,"€ 60,192","€ 3,130,000","€ 3,130,000",F,24,Spain,Sevilla,spain,2324
