,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Jean-Clair Todibo,"€ 22,692","€ 1,180,000","€ 1,180,000",D,23,France,Nice,france,2223
Jonas Omlin,"€ 22,115","€ 1,150,000","€ 1,150,000",K,28,Switzerland,Montpellier,france,2223
Lucas Chevalier,"€ 21,923","€ 1,140,000","€ 1,140,000",K,21,France,Lille,france,2223
Habib Diarra,"€ 21,923","€ 1,140,000","€ 1,140,000",M,19,France,Strasbourg,france,2223
Myziane Maolida,"€ 21,923","€ 1,140,000","€ 1,140,000",F,23,France,Reims,france,2223
Fabien Centonze,"€ 20,962","€ 1,090,000","€ 1,090,000",D,27,France,Nantes,france,2223
Faouzi Ghoulam,"€ 20,962","€ 1,090,000","€ 1,090,000",D,32,Algeria,Angers,france,2223
Maxime Busi,"€ 20,962","€ 1,090,000","€ 1,090,000",D,23,Belgium,Reims,france,2223
Islam Slimani,"€ 20,962","€ 1,090,000","€ 1,090,000",F,34,Algeria,Brest,france,2223
Ibrahim Salah,"€ 20,769","€ 1,080,000","€ 1,080,000",F,21,Morocco,Rennes,france,2223
Andrei Girotto,"€ 20,769","€ 1,080,000","€ 1,080,000",D,30,Brazil,Nantes,france,2223
Matz Sels,"€ 20,769","€ 1,080,000","€ 1,080,000",K,30,Belgium,Strasbourg,france,2223
Yan Valery,"€ 20,769","€ 1,080,000","€ 1,080,000",D,23,Tunisia,Angers,france,2223
Damien Da Silva,"€ 20,577","€ 1,070,000","€ 1,070,000",D,34,France,Lyon,france,2223
Adam Buksa,"€ 19,615","€ 1,020,000","€ 1,020,000",F,26,Poland,Lens,france,2223
Alban Lafont,"€ 19,615","€ 1,020,000","€ 1,020,000",K,24,France,Nantes,france,2223
Julian Pollersbeck,"€ 19,423","€ 1,010,000","€ 1,010,000",K,28,Germany,Lyon,france,2223
Julian Pollersbeck,"€ 19,423","€ 1,010,000","€ 1,010,000",K,28,Germany,Lorient,france,2223
Eduard Sobol,"€ 19,231","€ 1,000,000","€ 1,000,000",D,27,Ukraine,Strasbourg,france,2223
Leonardo Balerdi,"€ 19,038","€ 990,000","€ 990,000",D,24,Argentina,Marseille,france,2223
Ludovic Blas,"€ 18,462","€ 960,000","€ 960,000",F,25,France,Nantes,france,2223
Dennis Appiah,"€ 18,462","€ 960,000","€ 960,000",D,30,France,Nantes,france,2223
Adrien Hunou,"€ 18,462","€ 960,000","€ 960,000",F,29,France,Angers,france,2223
Florian Tardieu,"€ 18,462","€ 960,000","€ 960,000",M,30,France,Troyes,france,2223
Iké Ugbo,"€ 18,462","€ 960,000","€ 960,000",F,24,Canada,Troyes,france,2223
Youssouf Ndayishimiye,"€ 18,077","€ 940,000","€ 940,000",D,24,Burundi,Nice,france,2223
Jean-Eudes Aholou,"€ 17,885","€ 930,000","€ 930,000",M,28,Cote d'Ivoire,Strasbourg,france,2223
Igor Silva,"€ 17,500","€ 910,000","€ 910,000",D,26,Brazil,Lorient,france,2223
Christopher Jullien,"€ 17,308","€ 900,000","€ 900,000",D,29,France,Montpellier,france,2223
Jonas Martin,"€ 17,308","€ 900,000","€ 900,000",M,32,France,Lille,france,2223
Terem Moffi,"€ 17,308","€ 900,000","€ 900,000",F,23,Nigeria,Lorient,france,2223
Sébastien Corchia,"€ 17,308","€ 900,000","€ 900,000",D,32,France,Nantes,france,2223
Loïc Rémy,"€ 17,308","€ 900,000","€ 900,000",F,36,France,Brest,france,2223
Terem Moffi,"€ 17,308","€ 900,000","€ 900,000",F,23,Nigeria,Nice,france,2223
Khéphren Thuram,"€ 16,731","€ 870,000","€ 870,000",M,21,France,Nice,france,2223
Henrique,"€ 16,346","€ 850,000","€ 850,000",D,28,Brazil,Lyon,france,2223
Branco van den Boomen,"€ 16,154","€ 840,000","€ 840,000",M,27,Netherlands,Toulouse,france,2223
Facundo Medina,"€ 16,154","€ 840,000","€ 840,000",D,23,Argentina,Lens,france,2223
Alexander Djiku,"€ 16,154","€ 840,000","€ 840,000",D,28,Ghana,Strasbourg,france,2223
Jonathan Gradit,"€ 16,154","€ 840,000","€ 840,000",D,30,France,Lens,france,2223
Loïs Openda,"€ 16,154","€ 840,000","€ 840,000",F,22,Belgium,Lens,france,2223
Renaud Ripart,"€ 16,154","€ 840,000","€ 840,000",F,29,France,Troyes,france,2223
Salis Abdul Samed,"€ 16,154","€ 840,000","€ 840,000",M,23,Ghana,Lens,france,2223
M'Baye Niang,"€ 16,154","€ 840,000","€ 840,000",F,28,Senegal,Auxerre,france,2223
Lebo Mothiba,"€ 16,154","€ 840,000","€ 840,000",F,27,South Africa,Strasbourg,france,2223
Sanjin Prcic,"€ 16,154","€ 840,000","€ 840,000",M,29,Bosnia-Herzegovina,Strasbourg,france,2223
Romain Hamouma,"€ 16,154","€ 840,000","€ 840,000",F,35,France,Ajaccio,france,2223
Steve Mounié,"€ 16,154","€ 840,000","€ 840,000",F,28,Benin,Brest,france,2223
Bamba Dieng,"€ 15,769","€ 820,000","€ 820,000",F,22,Senegal,Lorient,france,2223
Abdoulaye Bamba,"€ 15,769","€ 820,000","€ 820,000",D,32,Cote d'Ivoire,Angers,france,2223
Jean Lucas,"€ 15,385","€ 800,000","€ 800,000",M,24,Brazil,Monaco,france,2223
Fábio,"€ 15,000","€ 780,000","€ 780,000",D,32,Brazil,Nantes,france,2223
Ludovic Ajorque,"€ 15,000","€ 780,000","€ 780,000",F,28,France,Strasbourg,france,2223
Ignatius Ganago,"€ 15,000","€ 780,000","€ 780,000",F,23,Cameroon,Nantes,france,2223
Xavier Chavalerin,"€ 15,000","€ 780,000","€ 780,000",M,31,France,Troyes,france,2223
Adil Rami,"€ 15,000","€ 780,000","€ 780,000",D,37,France,Troyes,france,2223
Alexsandro,"€ 15,000","€ 780,000","€ 780,000",D,23,Brazil,Lille,france,2223
Akim Zedadka,"€ 15,000","€ 780,000","€ 780,000",D,27,Algeria,Auxerre,france,2223
Nabil Bentaleb,"€ 15,000","€ 780,000","€ 780,000",M,28,Algeria,Angers,france,2223
Maxime Gonalons,"€ 15,000","€ 780,000","€ 780,000",M,33,France,Clermont,france,2223
Ante Palaversa,"€ 15,000","€ 780,000","€ 780,000",M,22,Croatia,Troyes,france,2223
Mama Baldé,"€ 14,615","€ 760,000","€ 760,000",F,27,Guinea-Bissau,Troyes,france,2223
Jordan Lotomba,"€ 14,615","€ 760,000","€ 760,000",D,24,Switzerland,Nice,france,2223
Youcef Belaïli,"€ 14,615","€ 760,000","€ 760,000",F,30,Algeria,Ajaccio,france,2223
Willem Geubbels,"€ 14,615","€ 760,000","€ 760,000",F,21,France,Monaco,france,2223
Arnaud Nordin,"€ 14,423","€ 750,000","€ 750,000",F,24,France,Montpellier,france,2223
Montassar Talbi,"€ 14,038","€ 730,000","€ 730,000",D,24,Tunisia,Lorient,france,2223
David Costa,"€ 13,846","€ 720,000","€ 720,000",F,22,Portugal,Lens,france,2223
Thomas Foket,"€ 13,846","€ 720,000","€ 720,000",D,28,Belgium,Reims,france,2223
Thibault De Smet,"€ 13,846","€ 720,000","€ 720,000",D,25,Belgium,Reims,france,2223
Rayan Raveloson,"€ 13,846","€ 720,000","€ 720,000",M,26,Madagascar,Auxerre,france,2223
Marshall Munetsi,"€ 13,846","€ 720,000","€ 720,000",M,26,Zimbabwe,Reims,france,2223
Jens Cajuste,"€ 13,846","€ 720,000","€ 720,000",M,23,Sweden,Reims,france,2223
Azor Matusiwa,"€ 13,846","€ 720,000","€ 720,000",M,24,Netherlands,Reims,france,2223
Arbër Zeneli,"€ 13,846","€ 720,000","€ 720,000",F,27,Kosovo,Reims,france,2223
Kenny Lala,"€ 13,846","€ 720,000","€ 720,000",D,31,France,Brest,france,2223
Miha Blazic,"€ 13,846","€ 720,000","€ 720,000",D,29,Slovenia,Angers,france,2223
Jean-Louis Leca,"€ 13,846","€ 720,000","€ 720,000",K,37,France,Lens,france,2223
Jimmy Cabot,"€ 13,846","€ 720,000","€ 720,000",M,28,France,Lens,france,2223
Pedro Chirivella,"€ 13,846","€ 720,000","€ 720,000",M,25,Spain,Nantes,france,2223
Laurent Abergel,"€ 13,846","€ 720,000","€ 720,000",M,30,France,Lorient,france,2223
Johann Lepenant,"€ 13,846","€ 720,000","€ 720,000",M,20,France,Lyon,france,2223
Brecht Dejaegere,"€ 13,846","€ 720,000","€ 720,000",M,31,Belgium,Toulouse,france,2223
Axel Disasi,"€ 13,846","€ 720,000","€ 720,000",D,24,France,Monaco,france,2223
Angel Gomes,"€ 13,654","€ 710,000","€ 710,000",F,22,England,Lille,france,2223
Jubal,"€ 13,462","€ 700,000","€ 700,000",D,29,Brazil,Auxerre,france,2223
Abdu Conté,"€ 13,462","€ 700,000","€ 700,000",D,24,Portugal,Troyes,france,2223
Timothy Weah,"€ 13,462","€ 700,000","€ 700,000",F,22,United States,Lille,france,2223
Romain Salin,"€ 13,269","€ 690,000","€ 690,000",K,38,France,Rennes,france,2223
Souleyman Doumbia,"€ 13,077","€ 680,000","€ 680,000",D,26,Cote d'Ivoire,Angers,france,2223
Jérémie Bela,"€ 12,692","€ 660,000","€ 660,000",F,29,Angola,Clermont,france,2223
Colin Dagba,"€ 12,692","€ 660,000","€ 660,000",D,24,France,Strasbourg,france,2223
Rominigue Kouamé,"€ 12,692","€ 660,000","€ 660,000",M,26,Mali,Troyes,france,2223
Przemyslaw Frankowski,"€ 12,692","€ 660,000","€ 660,000",M,27,Poland,Lens,france,2223
Issa Kabore,"€ 12,692","€ 660,000","€ 660,000",D,21,Burkina Faso,Marseille,france,2223
Lucien Agoume,"€ 12,692","€ 660,000","€ 660,000",M,20,France,Troyes,france,2223
Jackson Porozo,"€ 12,692","€ 660,000","€ 660,000",D,22,Ecuador,Troyes,france,2223
Yoann Salmier,"€ 12,692","€ 660,000","€ 660,000",D,30,French Guiana,Troyes,france,2223
Tristan Dingomé,"€ 12,692","€ 660,000","€ 660,000",M,31,Cameroon,Troyes,france,2223
Christophe Hérelle,"€ 12,692","€ 660,000","€ 660,000",D,30,Martinique,Brest,france,2223
Erik Palmer-Brown,"€ 12,692","€ 660,000","€ 660,000",D,25,United States,Troyes,france,2223
Ismail Jakobs,"€ 12,500","€ 650,000","€ 650,000",D,23,Senegal,Monaco,france,2223
Kiki Kouyaté,"€ 12,308","€ 640,000","€ 640,000",D,25,Mali,Montpellier,france,2223
Youssouf Fofana,"€ 12,115","€ 630,000","€ 630,000",M,24,France,Monaco,france,2223
Cédric Hountondji,"€ 12,115","€ 630,000","€ 630,000",D,29,Benin,Angers,france,2223
Moussa Djitté,"€ 11,731","€ 610,000","€ 610,000",F,23,Senegal,Ajaccio,france,2223
Habib Diallo,"€ 11,731","€ 610,000","€ 610,000",F,27,Senegal,Strasbourg,france,2223
