,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Jérémy Jacquet,,"€ 17,500","€ 910,000","€ 230,000","May 26, 2025","Jun 30, 2029",4,"€ 3,640,000",,Reserve,D,CB,20,France,Rennes,True,,france,2526
Clément Akpa,,"€ 17,500","€ 910,000","€ 230,000","Sep 24, 2025","Jun 30, 2028",3,"€ 2,730,000",,Starter,D,CB,24,Cote d'Ivoire,Auxerre,True,,france,2526
Ibrahim Mbaye,,"€ 17,500","€ 910,000","€ 270,000","Jul 1, 2025","Jun 30, 2028",3,"€ 2,730,000",,Reserve,F,RW,18,Senegal,PSG,True,,france,2526
Timothée Pembélé,,"€ 17,500","€ 910,000","€ 230,000","Jan 6, 2026","Jun 30, 2026",1,"€ 910,000",,Starter,D,RB,23,France,Le Havre,True,,france,2526
Vincent Marchetti,,"€ 17,500","€ 910,000","€ 230,000","Jan 29, 2024","Jun 30, 2026",1,"€ 910,000",,Reserve,M,CM,28,France,Paris FC,True,,france,2526
Thibault De Smet,,"€ 17,500","€ 910,000","€ 230,000","Jul 1, 2025","Jun 30, 2027",2,"€ 1,820,000",,Reserve,D,LB,27,Belgium,Paris FC,True,,france,2526
Reda Khadra,,"€ 17,500","€ 910,000","€ 230,000","Sep 1, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,F,AM,24,Germany,Le Havre,True,,france,2526
Rassoul Ndiaye,,"€ 17,500","€ 910,000","€ 230,000","Jan 16, 2026","Jun 30, 2028",3,"€ 2,730,000",,Starter,M,CM,24,Senegal,Le Havre,True,,france,2526
Mory Diaw,,"€ 17,500","€ 910,000","€ 230,000","Jul 12, 2025","Jun 30, 2027",2,"€ 1,820,000",,Starter,K,GK,32,Senegal,Le Havre,True,,france,2526
Louis Leroux,,"€ 17,500","€ 910,000","€ 230,000","Jan 16, 2026","Jun 30, 2030",5,"€ 4,550,000",,Starter,F,AM,20,France,Nantes,True,,france,2526
Mbwana Samatta,,"€ 17,500","€ 910,000","€ 230,000","Aug 5, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,F,CF,33,Tanzania,Le Havre,True,,france,2526
Adam Karabec,,"€ 17,500","€ 910,000","€ 230,000","Aug 12, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,F,AM,22,Czech Republic,Lyon,True,,france,2526
Rémy Cabella,,"€ 17,500","€ 910,000","€ 230,000","Jan 1, 2026","Jun 30, 2026",1,"€ 910,000",,Reserve,F,AM,35,France,Nantes,True,,france,2526
Éric Ebimbe,,"€ 17,500","€ 910,000","€ 230,000","Sep 1, 2025","Jun 30, 2026",1,"€ 910,000",,Starter,M,RM,25,Cameroon,Brest,True,,france,2526
Youssef El Arabi,,"€ 17,500","€ 910,000","€ 230,000","Jul 18, 2025","Jun 30, 2026",1,"€ 910,000",,Starter,F,CF,39,Morocco,Nantes,True,,france,2526
Loïc Nego,,"€ 17,500","€ 910,000","€ 230,000","Jul 15, 2025","Jun 30, 2026",1,"€ 910,000",,Starter,D,RB,35,Hungary,Le Havre,True,,france,2526
Julien Lopez,,"€ 17,500","€ 910,000","€ 230,000","Jul 14, 2025","Jun 30, 2026",1,"€ 910,000",,Reserve,F,LW,33,Algeria,Paris FC,True,,france,2526
Alimami Gory,,"€ 17,500","€ 910,000","€ 230,000","Jul 13, 2024","Jun 30, 2026",1,"€ 910,000",,Starter,F,LW,29,France,Paris FC,True,,france,2526
Yassine Kechta,,"€ 15,769","€ 820,000","€ 200,000","Aug 4, 2023","Jun 30, 2026",1,"€ 820,000",,Reserve,M,CM,23,Morocco,Le Havre,True,,france,2526
Johann Lepenant,,"€ 15,769","€ 820,000","€ 200,000","Jul 1, 2025","Jun 30, 2029",4,"€ 3,280,000",,Starter,M,DM,23,France,Nantes,True,,france,2526
Panos Katseris,,"€ 15,769","€ 820,000","€ 200,000","Jan 23, 2024","Jun 30, 2028",3,"€ 2,460,000",,Reserve,M,RM,24,Greece,Lorient,True,,france,2526
Tom Louchet,,"€ 15,769","€ 820,000","€ 200,000","Jul 8, 2024","Jun 30, 2027",2,"€ 1,640,000",,Starter,M,RM,22,France,Nice,True,,france,2526
Sambou Soumano,,"€ 15,769","€ 820,000","€ 200,000","Jan 1, 2022","Jun 30, 2026",1,"€ 820,000",,Reserve,F,CF,25,Senegal,Lorient,True,,france,2526
Nhoa Sangui,,"€ 15,769","€ 820,000","€ 200,000","Jul 1, 2025","Jun 30, 2030",5,"€ 4,100,000",,Starter,D,LB,19,France,Paris FC,True,,france,2526
Marvin Senaya,,"€ 15,769","€ 820,000","€ 200,000","Jul 1, 2025","Jun 30, 2029",4,"€ 3,280,000",,Reserve,D,RB,25,France,Auxerre,True,,france,2526
Jonathan Fischer,,"€ 15,769","€ 820,000","€ 200,000","Jul 29, 2025","Jun 30, 2029",4,"€ 3,280,000",,Starter,K,GK,24,Denmark,Metz,True,,france,2526
Oussama El Azzouzi,,"€ 15,769","€ 820,000","€ 200,000","Aug 1, 2025","Jun 30, 2026",1,"€ 820,000",,Reserve,M,DM,24,Morocco,Auxerre,True,,france,2526
Yassir Zabiri,,"€ 15,769","€ 820,000","€ 200,000","Feb 2, 2026","Jun 30, 2029",4,"€ 3,280,000",,Reserve,F,CF,20,Morocco,Rennes,True,,france,2526
Emmanuel Biumla,,"€ 15,769","€ 820,000","€ 200,000","Jun 19, 2025","Jun 30, 2028",3,"€ 2,460,000",,Reserve,D,CB,20,France,Angers,True,,france,2526
Jim Allevinah,,"€ 15,769","€ 820,000","€ 200,000","Jul 1, 2024","Jun 30, 2027",2,"€ 1,640,000",,Reserve,F,RW,30,Gabon,Angers,False,,france,2526
Rudy Matondo,,"€ 15,769","€ 820,000","€ 200,000","Feb 2, 2026","Jun 30, 2026",1,"€ 820,000",,Reserve,M,CM,17,France,Paris FC,True,,france,2526
Uros Radakovic,,"€ 15,769","€ 820,000","€ 200,000","Jul 1, 2025","Jun 30, 2027",2,"€ 1,640,000",,Reserve,D,CB,31,Serbia,Nantes,True,,france,2526
Abdoulaye Bamba,,"€ 15,769","€ 820,000","€ 200,000","Jun 18, 2025","Jun 30, 2026",1,"€ 820,000",,Reserve,D,CB,35,Cote d'Ivoire,Angers,True,,france,2526
Karl-Johan Johnsson,,"€ 15,769","€ 820,000","€ 200,000","Aug 16, 2024","Jun 30, 2026",1,"€ 820,000",,Reserve,K,GK,36,Sweden,Strasbourg,True,,france,2526
Arnaud Nordin,,"€ 15,769","€ 820,000","€ 200,000","Feb 2, 2026","Jun 30, 2026",1,"€ 820,000",,Starter,F,RW,27,France,Rennes,True,,france,2526
Noah Nartey,,"€ 15,769","€ 820,000","€ 200,000","Jan 19, 2026","Jun 30, 2030",5,"€ 4,100,000",,Reserve,F,AM,20,Denmark,Lyon,True,,france,2526
Abu Francis,,"€ 15,769","€ 820,000","€ 200,000","Aug 6, 2025","Jun 30, 2029",4,"€ 3,280,000",,Reserve,M,CM,24,Ghana,Toulouse,True,,france,2526
Yann Gboho,,"€ 15,769","€ 820,000","€ 200,000","Jan 8, 2024","Jun 30, 2027",2,"€ 1,640,000",,Starter,F,LW,25,France,Toulouse,True,,france,2526
Obed Nkambadio,,"€ 15,769","€ 820,000","€ 200,000","Oct 5, 2024","Jun 30, 2027",2,"€ 1,640,000",,Reserve,K,GK,22,France,Paris FC,True,,france,2526
Martín Satriano,,"€ 15,769","€ 820,000","€ 200,000","Jan 16, 2026","Jun 30, 2026",1,"€ 820,000",,Reserve,F,CF,24,Uruguay,Lyon,False,,france,2526
Bilal Nadir,,"€ 15,769","€ 820,000","€ 200,000","Mar 13, 2024","Jun 30, 2026",1,"€ 820,000",,Reserve,M,CM,22,Morocco,Marseille,True,,france,2526
Stanis Idumbo,,"€ 15,385","€ 800,000","€ 200,000","Aug 30, 2025","Jun 30, 2030",5,"€ 4,000,000",,Reserve,F,AM,20,Belgium,Monaco,True,,france,2526
Giorgi Kvilitaia,,"€ 14,038","€ 730,000","€ 180,000","Feb 2, 2026","Jun 30, 2026",1,"€ 730,000",,Reserve,F,CF,32,Georgia,Metz,True,,france,2526
Maxi Oyedele,,"€ 14,038","€ 730,000","€ 180,000","Jul 16, 2025","Jun 30, 2030",5,"€ 3,650,000",,Reserve,M,DM,21,Poland,Strasbourg,True,,france,2526
Noah Edjouma,,"€ 14,038","€ 730,000","€ 180,000","Feb 2, 2026","Jun 30, 2030",5,"€ 3,650,000",,Reserve,F,RW,20,France,Lille,True,,france,2526
Rafael Luís,,"€ 14,038","€ 730,000","€ 180,000","Aug 17, 2025","Jun 30, 2026",1,"€ 730,000",,Reserve,M,DM,20,Portugal,Strasbourg,True,,france,2526
Samuel Amo-Ameyaw,,"€ 14,038","€ 730,000","€ 180,000","Jul 1, 2025","Jun 30, 2029",4,"€ 2,920,000",,Reserve,F,RW,19,England,Strasbourg,True,,france,2526
Abdoulaye Faye,,"€ 14,038","€ 730,000","€ 180,000","Jul 29, 2025","Jun 30, 2026",1,"€ 730,000",,Reserve,D,CB,21,Senegal,Lorient,True,,france,2526
Amine Sbaï,,"€ 14,038","€ 730,000","€ 180,000","Oct 8, 2025","Jun 30, 2027",2,"€ 1,460,000",,Starter,F,LW,25,Morocco,Angers,True,,france,2526
Lamine Gueye,,"€ 14,038","€ 730,000","€ 180,000","Jul 5, 2023","Jun 30, 2026",1,"€ 730,000",,Reserve,F,RW,27,Senegal,Paris FC,True,,france,2526
Juma Bah,,"€ 14,038","€ 730,000","€ 180,000","Jul 1, 2025","Jun 30, 2026",1,"€ 730,000",,Reserve,D,CB,19,Sierra Leone,Nice,True,,france,2526
Sofiane Boufal,,"€ 14,038","€ 730,000","€ 180,000","Jan 14, 2026","Jun 30, 2026",1,"€ 730,000",,Starter,F,AM,32,Morocco,Le Havre,True,,france,2526
Niklas Schmidt,,"€ 14,038","€ 730,000","€ 180,000","Aug 4, 2023","Jun 30, 2027",2,"€ 1,460,000",,Reserve,M,CM,27,Germany,Toulouse,False,,france,2526
Tylel Tati,,"€ 14,038","€ 730,000","€ 180,000","Oct 9, 2025","Jun 30, 2028",3,"€ 2,190,000",,Reserve,D,CB,18,France,Nantes,True,,france,2526
Samir Chergui,,"€ 14,038","€ 730,000","€ 180,000","Jun 21, 2022","Jun 30, 2026",1,"€ 730,000",,Reserve,D,CB,26,Algeria,Paris FC,True,,france,2526
Rémy Riou,,"€ 14,038","€ 730,000","€ 180,000","Jul 4, 2025","Jun 30, 2026",1,"€ 730,000",,Reserve,K,GK,38,France,Paris FC,True,,france,2526
Bingourou Kamara,,"€ 14,038","€ 730,000","€ 180,000","Jul 25, 2025","Jun 30, 2027",2,"€ 1,460,000",,Reserve,K,GK,29,Senegal,Lorient,True,,france,2526
Diego Coppola,,"€ 14,038","€ 730,000","€ 180,000","Jan 29, 2026","Jun 30, 2026",1,"€ 730,000",,Starter,D,CB,22,Italy,Paris FC,True,,france,2526
Pablo Pagis,,"€ 14,038","€ 730,000","€ 180,000","Sep 19, 2024","Jun 30, 2027",2,"€ 1,460,000",,Starter,F,LW,23,France,Lorient,True,,france,2526
Kamory Doumbia,,"€ 14,038","€ 730,000","€ 180,000","Aug 30, 2024","Jun 30, 2029",4,"€ 2,920,000",,Starter,F,AM,22,Mali,Brest,True,,france,2526
Goduine Koyalipou,,"€ 14,038","€ 730,000","€ 180,000","Jan 29, 2026","Jun 30, 2026",1,"€ 730,000",,Starter,F,CF,25,Central African Republic,Angers,True,,france,2526
Robin Risser,,"€ 14,038","€ 730,000","€ 180,000","Jul 4, 2025","Jun 30, 2030",5,"€ 3,650,000",,Starter,K,GK,21,France,Lens,True,,france,2526
Ethan Mbappé,,"€ 14,038","€ 730,000","€ 180,000","Jul 4, 2024","Jun 30, 2027",2,"€ 1,460,000",,Reserve,F,RW,19,France,Lille,True,,france,2526
Louis Mouton,,"€ 14,038","€ 730,000","€ 180,000","Jul 1, 2025","Jun 30, 2028",3,"€ 2,190,000",,Starter,F,AM,23,France,Angers,True,,france,2526
Antoine Mendy,,"€ 14,038","€ 730,000","€ 180,000","Aug 26, 2024","Jun 30, 2028",3,"€ 2,190,000",,Starter,D,CB,21,Senegal,Nice,True,,france,2526
Pierrick Capelle,,"€ 14,038","€ 730,000","€ 180,000","Jun 18, 2025","Jun 30, 2026",1,"€ 730,000",,Reserve,M,CM,38,France,Angers,True,,france,2526
Giorgi Tsitaishvili,,"€ 14,038","€ 730,000","€ 180,000","Jul 11, 2025","Jun 30, 2026",1,"€ 730,000",,Starter,F,RW,25,Georgia,Metz,True,,france,2526
Jhoanner Chávez,,"€ 14,038","€ 730,000","€ 180,000","Jul 1, 2024","Jun 30, 2028",3,"€ 2,190,000",,Reserve,D,LB,23,Ecuador,Lens,True,,france,2526
Ayumu Seko,,"€ 14,038","€ 730,000","€ 180,000","Jul 22, 2025","Jun 30, 2027",2,"€ 1,460,000",,Reserve,M,DM,25,Japan,Le Havre,True,,france,2526
Afonso Moreira,,"€ 12,308","€ 640,000","€ 160,000","Jul 22, 2025","Jun 30, 2029",4,"€ 2,560,000",,Reserve,F,LW,20,Portugal,Lyon,True,,france,2526
Théo Le Bris,,"€ 12,308","€ 640,000","€ 160,000","Mar 10, 2023","Jun 30, 2027",2,"€ 1,280,000",,Starter,M,RM,23,France,Lorient,True,,france,2526
Darline Yongwa,,"€ 12,308","€ 640,000","€ 160,000","Jul 1, 2022","Jun 30, 2026",1,"€ 640,000",,Starter,D,LB,25,Cameroon,Lorient,True,,france,2526
Arsène Kouassi,,"€ 12,308","€ 640,000","€ 160,000","Jul 24, 2025","Jun 30, 2029",4,"€ 2,560,000",,Starter,M,LM,21,Burkina Faso,Lorient,True,,france,2526
Abakar Sylla,,"€ 12,308","€ 640,000","€ 160,000","Feb 2, 2026","Jun 30, 2026",1,"€ 640,000",,Reserve,D,CB,23,Cote d'Ivoire,Nantes,True,,france,2526
Simon Ebonog,,"€ 12,308","€ 640,000","€ 160,000","Jan 15, 2026","Jun 30, 2029",4,"€ 2,560,000",,Starter,M,CM,21,France,Le Havre,True,,france,2526
Frédéric Guilbert,,"€ 12,308","€ 640,000","€ 160,000","Jan 28, 2026","Jun 30, 2026",1,"€ 640,000",,Reserve,D,RB,31,France,Nantes,True,,france,2526
Lucas Gourna-Douath,,"€ 12,308","€ 640,000","€ 160,000","Jan 16, 2026","Jun 30, 2026",1,"€ 640,000",,Starter,M,DM,22,France,Le Havre,True,,france,2526
Patrik Carlgren,,"€ 12,308","€ 640,000","€ 160,000","Aug 30, 2024","Jun 30, 2026",1,"€ 640,000",,Reserve,K,GK,34,Sweden,Nantes,True,,france,2526
Lionel Mpasi-Nzau,,"€ 12,308","€ 640,000","€ 160,000","Jul 13, 2025","Jun 30, 2027",2,"€ 1,280,000",,Reserve,K,GK,31,Democratic Republic of the Congo,Le Havre,True,,france,2526
Kojo Peprah Oppong,,"€ 12,308","€ 640,000","€ 160,000","Jul 25, 2025","Jun 30, 2029",4,"€ 2,560,000",,Starter,D,CB,21,Ghana,Nice,True,,france,2526
Pathé Mboup,,"€ 12,308","€ 640,000","€ 160,000","Aug 31, 2025","Jun 30, 2030",5,"€ 3,200,000",,Reserve,F,LW,22,Senegal,Brest,True,,france,2526
Luck Zogbé,,"€ 12,308","€ 640,000","€ 160,000","Jul 2, 2025","Jun 30, 2029",4,"€ 2,560,000",,Reserve,D,RB,20,Cote d'Ivoire,Brest,True,,france,2526
Bradley Locko,,"€ 12,308","€ 640,000","€ 160,000","Jul 27, 2023","Jun 30, 2027",2,"€ 1,280,000",,Reserve,D,LB,23,France,Brest,True,,france,2526
Ibrahim Osman,,"€ 12,308","€ 640,000","€ 160,000","Jul 8, 2025","Jun 30, 2026",1,"€ 640,000",,Reserve,F,LW,21,Ghana,Auxerre,False,,france,2526
Abdelhamid Ait Boudlal,,"€ 12,308","€ 640,000","€ 160,000","Jul 2, 2024","Jun 30, 2028",3,"€ 1,920,000",,Reserve,D,CB,19,Morocco,Rennes,True,,france,2526
Assane Dioussé,,"€ 12,308","€ 640,000","€ 160,000","Aug 10, 2023","Jun 30, 2026",1,"€ 640,000",,Reserve,M,DM,28,Senegal,Auxerre,True,,france,2526
Yassin Belkhdim,,"€ 12,308","€ 640,000","€ 160,000","Jun 19, 2025","Jun 30, 2028",3,"€ 1,920,000",,Starter,M,CM,23,Morocco,Angers,True,,france,2526
Lilian Raolisoa,,"€ 12,308","€ 640,000","€ 160,000","Jul 30, 2025","Jun 30, 2028",3,"€ 1,920,000",,Starter,D,RB,25,France,Angers,True,,france,2526
Abakar Sylla,,"€ 12,308","€ 640,000","€ 160,000","Jul 15, 2023","Jun 30, 2028",3,"€ 1,920,000",,Reserve,D,CB,23,Cote d'Ivoire,Strasbourg,False,,france,2526
Gessime Yassine,,"€ 12,308","€ 640,000","€ 160,000","Jan 17, 2026","Jun 30, 2030",5,"€ 3,200,000",,Reserve,F,RW,20,Morocco,Strasbourg,True,,france,2526
Emersonn,,"€ 12,308","€ 640,000","€ 160,000","Sep 1, 2025","Jun 30, 2026",1,"€ 640,000",,Starter,F,CF,21,Brazil,Toulouse,True,,france,2526
Santiago Hidalgo,,"€ 12,308","€ 640,000","€ 160,000","Jul 31, 2025","Jun 30, 2029",4,"€ 2,560,000",,Starter,F,CF,20,Argentina,Toulouse,True,,france,2526
Mamadou Coulibaly,,"€ 10,962","€ 570,000","€ 140,000","Oct 10, 2024","Jun 30, 2028",3,"€ 1,710,000",,Starter,M,CM,21,France,Monaco,True,,france,2526
Issa Soumaré,,"€ 10,577","€ 550,000","€ 140,000","Jul 4, 2023","Jun 30, 2026",1,"€ 550,000",,Starter,F,LW,25,Senegal,Le Havre,True,,france,2526
Tuomas Ollila,,"€ 10,577","€ 550,000","€ 140,000","Jan 29, 2024","Jun 30, 2027",2,"€ 1,100,000",,Reserve,D,LB,25,Finland,Paris FC,True,,france,2526
Dayann Methalie,,"€ 10,577","€ 550,000","€ 140,000","Oct 16, 2025","Jun 30, 2030",5,"€ 2,750,000",,Starter,M,LM,19,France,Toulouse,True,,france,2526
Godson Kyeremeh,,"€ 10,577","€ 550,000","€ 140,000","Jul 11, 2025","Jun 30, 2027",2,"€ 1,100,000",,Reserve,F,RW,25,France,Le Havre,True,,france,2526
Dermane Karim,,"€ 10,577","€ 550,000","€ 140,000","Aug 9, 2025","Jun 30, 2026",1,"€ 550,000",,Starter,F,AM,22,Togo,Lorient,True,,france,2526
Warren Kamanzi,,"€ 10,577","€ 550,000","€ 140,000","Jan 2, 2023","Jun 30, 2026",1,"€ 550,000",,Starter,D,RB,25,Norway,Toulouse,True,,france,2526
Benjamin Leroy,,"€ 10,577","€ 550,000","€ 140,000","Jul 5, 2024","Jun 30, 2026",1,"€ 550,000",,Reserve,K,GK,36,France,Lorient,True,,france,2526
Luca Koleosho,,"€ 10,577","€ 550,000","€ 140,000","Jan 9, 2026","Jun 30, 2026",1,"€ 550,000",,Reserve,F,RW,21,Italy,Paris FC,True,,france,2526
Mamadou Mbow,,"€ 10,577","€ 550,000","€ 140,000","Jul 20, 2023","Jun 30, 2028",3,"€ 1,650,000",,Starter,D,CB,25,Senegal,Paris FC,True,,france,2526
Arthur Avom,,"€ 10,577","€ 550,000","€ 140,000","Jul 1, 2024","Jun 30, 2026",1,"€ 550,000",,Reserve,M,CM,21,Cameroon,Lorient,True,,france,2526
Yanis Zouaoui,,"€ 10,577","€ 550,000","€ 140,000","Jul 5, 2024","Jun 30, 2027",2,"€ 1,100,000",,Starter,D,LB,27,France,Le Havre,True,,france,2526
Pape Demba Diop,,"€ 10,577","€ 550,000","€ 140,000","Jan 7, 2026","Jun 30, 2026",1,"€ 550,000",,Starter,M,CM,22,Senegal,Toulouse,True,,france,2526
Rafael Fernandes,,"€ 10,577","€ 550,000","€ 140,000","Jan 31, 2024","Jun 30, 2028",3,"€ 1,650,000",,Reserve,D,CB,23,Portugal,Lille,True,,france,2526
Tochukwu Nnadi,,"€ 10,577","€ 550,000","€ 140,000","Feb 2, 2026","Jun 30, 2030",5,"€ 2,750,000",,Reserve,M,DM,22,Nigeria,Marseille,True,,france,2526
Lasso Coulibaly,,"€ 10,577","€ 550,000","€ 140,000","Jul 1, 2024","Jun 30, 2028",3,"€ 1,650,000",,Reserve,F,RW,23,Cote d'Ivoire,Auxerre,True,,france,2526
Nidal Celik,,"€ 10,577","€ 550,000","€ 140,000","Feb 3, 2025","Jun 30, 2029",4,"€ 2,200,000",,Starter,D,CB,19,Bosnia-Herzegovina,Lens,True,,france,2526
Daouda Guindo,,"€ 10,577","€ 550,000","€ 140,000","Aug 26, 2025","Jun 30, 2026",1,"€ 550,000",,Starter,D,LB,23,Mali,Brest,True,,france,2526
Mario Sauer,,"€ 10,577","€ 550,000","€ 140,000","Jul 1, 2025","Jun 30, 2026",1,"€ 550,000",,Reserve,M,CM,21,Slovakia,Toulouse,True,,france,2526
Jacen Russell-Rowe,,"€ 10,577","€ 550,000","€ 140,000","Feb 2, 2026","Jun 30, 2029",4,"€ 2,200,000",,Reserve,F,CF,23,Canada,Toulouse,True,,france,2526
Junior Diaz,,"€ 10,577","€ 550,000","€ 140,000","Jul 13, 2025","Jun 30, 2026",1,"€ 550,000",,Starter,D,CB,22,Cote d'Ivoire,Brest,True,,france,2526
Sofiane Alakouch,,"€ 10,577","€ 550,000","€ 140,000","Jul 1, 2024","Jun 30, 2026",1,"€ 550,000",,Reserve,D,RB,27,Morocco,Paris FC,True,,france,2526
Herba Guirassy,,"€ 10,577","€ 550,000","€ 140,000","Nov 1, 2024","Jun 30, 2028",3,"€ 1,650,000",,Reserve,F,LW,19,France,Nantes,True,,france,2526
Amady Camara,,"€ 10,577","€ 550,000","€ 140,000","Aug 9, 2025","Jun 30, 2026",1,"€ 550,000",,Reserve,F,CF,20,Mali,Nantes,True,,france,2526
Paris Brunner,,"€ 10,000","€ 520,000","€ 130,000","Aug 16, 2024","Jun 30, 2028",3,"€ 1,560,000",,Reserve,F,CF,19,Germany,Monaco,True,,france,2526
Rémy Labeau Lascary,,"€ 8,654","€ 450,000","€ 110,000","Aug 31, 2025","Jun 30, 2026",1,"€ 450,000",,Reserve,F,CF,22,France,Brest,True,,france,2526
Anthony Bermont,,"€ 8,654","€ 450,000","€ 110,000","Nov 4, 2025","Jun 30, 2029",4,"€ 1,800,000",,Reserve,F,LW,20,France,Lens,True,,france,2526
Rafik Messali,,"€ 8,654","€ 450,000","€ 110,000","Jun 13, 2025","Jun 30, 2028",3,"€ 1,350,000",,Reserve,M,RM,22,Algeria,Toulouse,True,,france,2526
Renato Marin,,"€ 8,654","€ 450,000","€ 130,000","Jul 17, 2025","Jun 30, 2030",5,"€ 2,250,000",,Reserve,K,GK,19,Italy,PSG,True,,france,2526
Rayan Fofana,,"€ 8,654","€ 450,000","€ 110,000","Dec 11, 2025","Jun 30, 2029",4,"€ 1,800,000",,Reserve,F,CF,19,France,Lens,True,,france,2526
Fodé Sylla,,"€ 8,654","€ 450,000","€ 110,000","Aug 13, 2025","Jun 30, 2028",3,"€ 1,350,000",,Reserve,M,DM,19,France,Lens,True,,france,2526
Fodé Doucouré,,"€ 8,654","€ 450,000","€ 110,000","Jul 22, 2025","Jun 30, 2027",2,"€ 900,000",,Starter,D,RB,25,Mali,Le Havre,True,,france,2526
Mohamed Kaba,,"€ 8,654","€ 450,000","€ 110,000","Jan 29, 2026","Jun 30, 2026",1,"€ 450,000",,Starter,M,CM,24,France,Nantes,True,,france,2526
Bryan Okoh,,"€ 8,654","€ 450,000","€ 110,000","Jan 29, 2026","Jun 30, 2029",4,"€ 1,800,000",,Starter,D,CB,22,Switzerland,Auxerre,True,,france,2526
Ismaëlo Ganiou,,"€ 8,654","€ 450,000","€ 110,000","Jul 1, 2025","Jun 30, 2027",2,"€ 900,000",,Starter,D,CB,20,Burkina Faso,Lens,True,,france,2526
Jacques Ekomié,,"€ 8,654","€ 450,000","€ 110,000","Jul 31, 2024","Jun 30, 2027",2,"€ 900,000",,Starter,D,LB,22,Gabon,Angers,True,,france,2526
Felix Mambimbi,,"€ 8,654","€ 450,000","€ 110,000","Jul 11, 2025","Jun 30, 2027",2,"€ 900,000",,Reserve,F,LW,25,Switzerland,Le Havre,True,,france,2526
Mathys De Carvalho,,"€ 8,654","€ 450,000","€ 110,000","Jul 11, 2025","Jun 30, 2028",3,"€ 1,350,000",,Reserve,M,DM,20,Portugal,Lyon,True,,france,2526
Ousmane Camara,,"€ 8,654","€ 450,000","€ 110,000","Oct 3, 2025","Jun 30, 2029",4,"€ 1,800,000",,Starter,D,CB,22,Mali,Angers,True,,france,2526
Adama Camara,,"€ 8,654","€ 450,000","€ 110,000","Jul 1, 2023","Jun 30, 2027",2,"€ 900,000",,Reserve,M,DM,29,France,Paris FC,True,,france,2526
Stefan Bajic,,"€ 8,654","€ 450,000","€ 110,000","Aug 16, 2025","Jun 30, 2026",1,"€ 450,000",,Reserve,K,GK,24,France,Strasbourg,True,,france,2526
Saïdou Sow,,"€ 8,654","€ 450,000","€ 110,000","Aug 9, 2023","Jun 30, 2028",3,"€ 1,350,000",,Reserve,D,CB,23,Guinea,Strasbourg,False,,france,2526
Joel Mvuka,,"€ 8,077","€ 420,000","€ 100,000","Jan 31, 2023","Jun 30, 2027",2,"€ 840,000",,Reserve,F,RW,23,Norway,Lorient,False,,france,2526
Marc-Aurèle Caillard,,"€ 6,923","€ 360,000","€ 90,000","May 22, 2025","Jun 30, 2026",1,"€ 360,000",,Reserve,K,GK,31,France,Lille,True,,france,2526
Mahamadou Nagida,,"€ 6,923","€ 360,000","€ 90,000","Sep 29, 2025","Jun 30, 2029",4,"€ 1,440,000",,Starter,D,LB,20,Cameroon,Rennes,True,,france,2526
Mathys Silistrie,,"€ 6,923","€ 360,000","€ 90,000","Jan 8, 2026","Jun 30, 2029",4,"€ 1,440,000",,Reserve,K,GK,20,France,Rennes,True,,france,2526
Kjetil Haug,,"€ 6,923","€ 360,000","€ 90,000","Jul 1, 2022","Jun 30, 2026",1,"€ 360,000",,Reserve,K,GK,27,Norway,Toulouse,True,,france,2526
Grégoire Coudert,,"€ 6,923","€ 360,000","€ 90,000","Aug 14, 2024","Jun 30, 2027",2,"€ 720,000",,Starter,K,GK,26,France,Brest,True,,france,2526
Ali Youssif,,"€ 6,923","€ 360,000","€ 90,000","Jan 19, 2026","Jun 30, 2028",3,"€ 1,080,000",,Starter,D,CB,24,Libya,Nantes,True,,france,2526
Noham Kamara,,"€ 6,923","€ 360,000","€ 90,000","Feb 2, 2026","Jun 30, 2026",1,"€ 360,000",,Reserve,D,CB,19,France,Lyon,True,,france,2526
Julián Vignolo,,"€ 6,923","€ 360,000","€ 90,000","Aug 20, 2025","Jun 30, 2029",4,"€ 1,440,000",,Reserve,F,CF,19,Argentina,Toulouse,True,,france,2526
Álex Domínguez,,"€ 6,923","€ 360,000","€ 90,000","Jul 26, 2023","Jun 30, 2027",2,"€ 720,000",,Reserve,K,GK,27,Spain,Toulouse,True,,france,2526
Bandiougou Fadiga,,"€ 6,923","€ 360,000","€ 90,000","Aug 14, 2024","Jun 30, 2028",3,"€ 1,080,000",,Reserve,F,AM,25,France,Lorient,True,,france,2526
Andrija Bulatovic,,"€ 6,923","€ 360,000","€ 90,000","Feb 3, 2025","Jun 30, 2028",3,"€ 1,080,000",,Starter,M,CM,19,Montenegro,Lens,True,,france,2526
