,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Ernest Nuamah,,"€ 73,462","€ 3,820,000","€ 950,000","Jul 7, 2024","Jun 30, 2028",3,"€ 11,460,000",,Reserve,F,RW,22,Ghana,Lyon,True,,france,2526
Thilo Kehrer,,"€ 70,769","€ 3,680,000","€ 920,000","Jul 1, 2024","Jun 30, 2028",3,"€ 11,040,000",,Starter,D,CB,29,Germany,Monaco,True,,france,2526
Ainsley Maitland-Niles,,"€ 70,000","€ 3,640,000","€ 910,000","Aug 7, 2023","Jun 30, 2027",2,"€ 7,280,000",,Starter,D,RB,28,England,Lyon,True,,france,2526
Ben Chilwell,,"€ 70,000","€ 3,640,000","€ 910,000","Sep 1, 2025","Jun 30, 2027",2,"€ 7,280,000",,Starter,D,LB,29,England,Strasbourg,True,,france,2526
Glen Kamara,,"€ 70,000","€ 3,640,000","€ 910,000","Jul 16, 2024","Jun 30, 2028",3,"€ 10,920,000",,Reserve,M,CM,30,Finland,Rennes,True,,france,2526
Matvey Safonov,,"€ 70,000","€ 3,640,000","€ 1,450,000","Jul 1, 2024","Jun 30, 2029",4,"€ 14,560,000",,Starter,K,GK,26,Russia,PSG,True,,france,2526
Ciro Immobile,,"€ 70,000","€ 3,640,000","€ 910,000","Feb 1, 2026","Jun 30, 2027",2,"€ 7,280,000",,Starter,F,CF,35,Italy,Paris FC,True,,france,2526
Anthony Lopes,,"€ 70,000","€ 3,640,000","€ 910,000","Jan 1, 2025","Jun 30, 2026",1,"€ 3,640,000",,Starter,K,GK,35,Portugal,Nantes,True,,france,2526
Emerson,,"€ 70,000","€ 3,640,000","€ 910,000","Sep 1, 2025","Jun 30, 2027",2,"€ 7,280,000",,Starter,D,LB,31,Italy,Marseille,True,,france,2526
Eric Dier,,"€ 66,346","€ 3,450,000","€ 860,000","Jul 1, 2025","Jun 30, 2028",3,"€ 10,350,000",,Reserve,D,CB,32,England,Monaco,True,,france,2526
Nicolás Tagliafico,,"€ 62,885","€ 3,270,000","€ 820,000","Aug 1, 2025","Jun 30, 2027",2,"€ 6,540,000",,Reserve,D,LB,33,Argentina,Lyon,True,,france,2526
Francis Coquelin,,"€ 62,885","€ 3,270,000","€ 820,000","May 28, 2025","Jun 30, 2026",1,"€ 3,270,000",,Reserve,M,DM,34,France,Nantes,True,,france,2526
