,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Adrián,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 8, 2024","Jun 30, 2026",1,"€ 1,460,000",,Reserve,K,GK,39,Spain,Real Betis,True,,spain,2526
Ander Guevara,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 9, 2023","Jun 30, 2027",2,"€ 2,920,000",,Reserve,M,CM,28,Spain,Alaves,True,,spain,2526
Arnau Tenas,,"€ 28,077","€ 1,460,000","€ 380,000","Aug 28, 2025","Jun 30, 2029",4,"€ 5,840,000",,Reserve,K,GK,24,Spain,Villarreal,True,,spain,2526
Horațiu Moldovan,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 18, 2025","Jun 30, 2026",1,"€ 1,460,000",,Reserve,K,GK,28,Romania,Real Oviedo,True,,spain,2526
Luis Milla,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 25, 2022","Jun 30, 2027",2,"€ 2,920,000",,Starter,M,CM,31,Spain,Getafe,True,,spain,2526
Urko González de Zárate,,"€ 28,077","€ 1,460,000","€ 380,000","Aug 28, 2025","Jun 30, 2030",5,"€ 7,300,000",,Starter,M,DM,24,Spain,Espanyol,True,,spain,2526
Tyrhys Dolan,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 25, 2025","Jun 30, 2028",3,"€ 4,380,000",,Starter,F,RW,24,England,Espanyol,True,,spain,2526
Pablo Maffeo,,"€ 28,077","€ 1,460,000","€ 380,000","Jun 10, 2022","Jun 30, 2027",2,"€ 2,920,000",,Starter,D,RB,28,Argentina,Mallorca,True,,spain,2526
Takuma Asano,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 6, 2024","Jun 30, 2026",1,"€ 1,460,000",,Reserve,F,RW,31,Japan,Mallorca,True,,spain,2526
Toni Lato,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 1, 2023","Jun 30, 2027",2,"€ 2,920,000",,Starter,D,LB,28,Spain,Mallorca,True,,spain,2526
Charles Pickel,,"€ 28,077","€ 1,460,000","€ 380,000","Aug 27, 2025","Jun 30, 2026",1,"€ 1,460,000",,Reserve,M,DM,28,Democratic Republic of the Congo,Espanyol,True,,spain,2526
Jon Moncayola,,"€ 28,077","€ 1,460,000","€ 380,000","Jun 8, 2021","Jun 30, 2031",6,"€ 8,760,000","€ 22,000,000",Starter,M,CM,27,Spain,Osasuna,True,,spain,2526
Nahuel Tenaglia,,"€ 28,077","€ 1,460,000","€ 630,000","Dec 3, 2025","Jun 30, 2029",4,"€ 5,840,000",,Starter,D,RB,29,Argentina,Alaves,True,,spain,2526
Moi Gómez,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 28, 2022","Jun 30, 2027",2,"€ 2,920,000","€ 20,000,000",Reserve,F,AM,31,Spain,Osasuna,True,,spain,2526
Raúl Moro,,"€ 28,077","€ 1,460,000","€ 380,000","Jan 22, 2026","Jun 30, 2031",6,"€ 8,760,000",,Reserve,F,LW,23,Spain,Osasuna,True,,spain,2526
Beñat Prados,,"€ 28,077","€ 1,460,000","€ 380,000","Jun 27, 2024","Jun 30, 2031",6,"€ 8,760,000",,Reserve,M,CM,24,Spain,Athletic Club,True,,spain,2526
Iñigo Ruiz de Galarreta,,"€ 28,077","€ 1,460,000","€ 380,000","May 24, 2025","Jun 30, 2027",2,"€ 2,920,000",,Starter,M,CM,32,Spain,Athletic Club,True,,spain,2526
Alexandre Alemão,,"€ 28,077","€ 1,460,000","€ 380,000","Sep 1, 2025","Jun 30, 2030",5,"€ 7,300,000",,Reserve,F,CF,27,Brazil,Rayo Vallecano,True,,spain,2526
Marc Pubill,,"€ 28,077","€ 1,460,000","€ 380,000","Jul 23, 2025","Jun 30, 2030",5,"€ 7,300,000",,Starter,D,CB,22,Spain,Atletico Madrid,True,,spain,2526
Grady Diangana,,"€ 28,077","€ 1,460,000","€ 380,000","Aug 30, 2025","Jun 30, 2027",2,"€ 2,920,000",,Reserve,F,RW,27,Democratic Republic of the Congo,Elche,True,,spain,2526
Ilaix Moriba,,"€ 25,962","€ 1,350,000","€ 330,000","Jul 1, 2025","Jun 30, 2029",4,"€ 5,400,000",,Reserve,M,CM,23,Guinea,Celta Vigo,True,,spain,2526
Sergio Carreira,,"€ 25,962","€ 1,350,000","€ 330,000","Jun 23, 2025","Jun 30, 2029",4,"€ 5,400,000",,Reserve,D,RB,25,Spain,Celta Vigo,True,,spain,2526
Orri Óskarsson,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 30, 2024","Jun 30, 2030",5,"€ 6,250,000",,Reserve,F,CF,21,Iceland,Real Sociedad,True,,spain,2526
Thierry Correia,,"€ 24,038","€ 1,250,000","€ 310,000","Oct 4, 2021","Jun 30, 2026",1,"€ 1,250,000",,Reserve,D,RB,26,Portugal,Valencia,True,,spain,2526
Cyril Ngonge,,"€ 24,038","€ 1,250,000","€ 310,000","Jan 31, 2026","Jun 30, 2026",1,"€ 1,250,000",,Reserve,F,RW,25,Belgium,Espanyol,True,,spain,2526
Carles Aleñá,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 24, 2025","Jun 30, 2029",4,"€ 5,000,000",,Starter,M,CM,28,Spain,Alaves,True,,spain,2526
Roberto Fernández,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2025","Jun 30, 2031",6,"€ 7,500,000",,Reserve,F,CF,23,Spain,Espanyol,True,,spain,2526
Jon Guridi,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 11, 2022","Jun 30, 2026",1,"€ 1,250,000",,Reserve,M,CM,30,Spain,Alaves,True,,spain,2526
Oriol Rey,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 2, 2025","Jun 30, 2027",2,"€ 2,500,000",,Starter,M,DM,27,Spain,Levante,True,,spain,2526
Randy Nteka,,"€ 24,038","€ 1,250,000","€ 310,000","Feb 13, 2025","Jun 30, 2028",3,"€ 3,750,000",,Reserve,F,AM,28,Angola,Rayo Vallecano,True,,spain,2526
Enzo Boyomo,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 29, 2024","Jun 30, 2029",4,"€ 5,000,000","€ 25,000,000",Reserve,D,CB,24,Cameroon,Osasuna,True,,spain,2526
Iván Romero,,"€ 24,038","€ 1,250,000","€ 310,000","May 25, 2025","Jun 30, 2028",3,"€ 3,750,000",,Starter,F,CF,24,Spain,Levante,True,,spain,2526
Fernando Calero,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 9, 2019","Jun 30, 2026",1,"€ 1,250,000",,Starter,D,CB,30,Spain,Espanyol,True,,spain,2526
Arnau Martínez,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 13, 2024","Jun 30, 2027",2,"€ 2,500,000",,Starter,D,RB,22,Spain,Girona,True,,spain,2526
Arsen Zakharyan,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 19, 2023","Jun 30, 2029",4,"€ 5,000,000",,Reserve,F,AM,22,Russia,Real Sociedad,True,,spain,2526
Marc Bernal,,"€ 24,038","€ 1,250,000","€ 310,000","Sep 29, 2025","Jun 30, 2029",4,"€ 5,000,000","€ 500,000,000",Reserve,M,DM,18,Spain,Barcelona,True,,spain,2526
Samú Costa,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 10, 2023","Jun 30, 2028",3,"€ 3,750,000",,Starter,M,DM,25,Portugal,Mallorca,True,,spain,2526
Jon Ander Olasagasti,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 16, 2025","Jun 30, 2028",3,"€ 3,750,000",,Starter,M,CM,25,Spain,Levante,True,,spain,2526
Domingos Duarte,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 11, 2022","Jun 30, 2026",1,"€ 1,250,000",,Starter,D,CB,30,Portugal,Getafe,True,,spain,2526
Juan Cruz,,"€ 24,038","€ 1,250,000","€ 310,000","Dec 13, 2022","Jun 30, 2026",1,"€ 1,250,000","€ 15,000,000",Reserve,D,LB,33,Spain,Osasuna,True,,spain,2526
Santiago Colombatto,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 25, 2023","Jun 30, 2026",1,"€ 1,250,000",,Reserve,M,DM,29,Argentina,Real Oviedo,True,,spain,2526
Santiago Mouriño,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 1, 2025","Jun 30, 2030",5,"€ 6,250,000",,Starter,D,RB,23,Uruguay,Villarreal,True,,spain,2526
Marc Casadó,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2024","Jun 30, 2028",3,"€ 3,750,000","€ 100,000,000",Reserve,M,DM,22,Spain,Barcelona,True,,spain,2526
Raúl García,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 10, 2023","Jun 30, 2028",3,"€ 3,750,000",,Reserve,F,CF,25,Spain,Osasuna,True,,spain,2526
Stole Dimitrievski,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2024","Jun 30, 2026",1,"€ 1,250,000",,Starter,K,GK,32,North Macedonia,Valencia,True,,spain,2526
Tete Morente,,"€ 24,038","€ 1,250,000","€ 310,000","Feb 2, 2026","Jun 30, 2028",3,"€ 3,750,000",,Starter,F,LW,29,Spain,Elche,True,,spain,2526
Aleix Febas,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 6, 2023","Jun 30, 2026",1,"€ 1,250,000",,Starter,M,CM,30,Spain,Elche,True,,spain,2526
Franco Cervi,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 5, 2021","Jun 30, 2026",1,"€ 1,250,000",,Reserve,F,LW,31,Argentina,Celta Vigo,True,,spain,2526
Valentín Gómez,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 26, 2025","Jun 30, 2030",5,"€ 6,250,000",,Reserve,D,CB,22,Argentina,Real Betis,True,,spain,2526
Ørjan Nyland,,"€ 24,038","€ 1,250,000","€ 310,000","May 23, 2024","Jun 30, 2026",1,"€ 1,250,000",,Reserve,K,GK,35,Norway,Sevilla,True,,spain,2526
José Luis Morales,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 5, 2024","Jun 30, 2026",1,"€ 1,250,000",,Reserve,F,CF,38,Spain,Levante,True,,spain,2526
Marko Dmitrovic,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2025","Jun 30, 2028",3,"€ 3,750,000",,Starter,K,GK,34,Serbia,Espanyol,True,,spain,2526
Daniel Raba,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2025","Jun 30, 2027",2,"€ 2,500,000",,Reserve,F,SS,30,Spain,Valencia,True,,spain,2526
Pere Milla,,"€ 24,038","€ 1,250,000","€ 310,000","Aug 15, 2023","Jun 30, 2027",2,"€ 2,500,000",,Reserve,F,LW,33,Spain,Espanyol,True,,spain,2526
Leo Román,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 16, 2025","Jun 30, 2030",5,"€ 6,250,000",,Starter,K,GK,25,Spain,Mallorca,True,,spain,2526
Kike García,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2025","Jun 30, 2027",2,"€ 2,500,000",,Starter,F,CF,36,Spain,Espanyol,True,,spain,2526
Manu Morlanes,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2023","Jun 30, 2028",3,"€ 3,750,000",,Reserve,M,CM,27,Spain,Mallorca,True,,spain,2526
Cristhian Stuani,,"€ 24,038","€ 1,250,000","€ 310,000","Jun 30, 2025","Jun 30, 2026",1,"€ 1,250,000",,Reserve,F,CF,39,Uruguay,Girona,True,,spain,2526
Manu Sánchez,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 25, 2025","Jun 30, 2026",1,"€ 1,250,000",,Starter,D,LB,25,Spain,Levante,True,,spain,2526
Kiko Femenía,,"€ 24,038","€ 1,250,000","€ 310,000","Jul 1, 2025","Jun 30, 2027",2,"€ 2,500,000",,Starter,D,RB,35,Spain,Getafe,True,,spain,2526
Óscar Mingueza,,"€ 22,115","€ 1,150,000","€ 290,000","Jul 30, 2022","Jun 30, 2026",1,"€ 1,150,000",,Reserve,D,RB,26,Spain,Celta Vigo,True,,spain,2526
Williot Swedberg,,"€ 22,115","€ 1,150,000","€ 290,000","Aug 7, 2025","Jun 30, 2029",4,"€ 4,600,000",,Reserve,F,LW,22,Sweden,Celta Vigo,True,,spain,2526
Antonio Blanco,,"€ 22,115","€ 1,150,000","€ 290,000","Jul 25, 2023","Jun 30, 2027",2,"€ 2,300,000",,Starter,M,DM,25,Spain,Alaves,True,,spain,2526
Pol Lozano,,"€ 22,115","€ 1,150,000","€ 290,000","Sep 1, 2023","Jun 30, 2027",2,"€ 2,300,000",,Starter,M,CM,26,Spain,Espanyol,True,,spain,2526
Jon Pacheco,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 25, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,CB,25,Spain,Alaves,True,,spain,2526
Marc-André ter Stegen,,"€ 20,000","€ 1,040,000","€ 270,000","Jan 20, 2026","Jun 30, 2026",1,"€ 1,040,000",,Reserve,K,GK,33,Germany,Girona,True,,spain,2526
Eray Cömert,,"€ 20,000","€ 1,040,000","€ 250,000","Jan 25, 2022","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,CB,28,Switzerland,Valencia,True,,spain,2526
Álex Sancris,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 2, 2025","Jun 30, 2028",3,"€ 3,120,000",,Reserve,F,RW,29,Spain,Getafe,True,,spain,2526
Jesús Vázquez,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 18, 2025","Jun 30, 2028",3,"€ 3,120,000",,Reserve,D,LB,23,Spain,Valencia,True,,spain,2526
Alan Matturro,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 9, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,CB,21,Uruguay,Levante,True,,spain,2526
Iker Losada,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 21, 2025","Jun 30, 2026",1,"€ 1,040,000",,Reserve,F,SS,24,Spain,Levante,True,,spain,2526
Karl Etta Eyong,,"€ 20,000","€ 1,040,000","€ 250,000","Sep 1, 2025","Jun 30, 2029",4,"€ 4,160,000","€ 30,000,000",Reserve,F,CF,22,Cameroon,Levante,True,,spain,2526
Kervin Arriaga,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 2, 2025","Jun 30, 2028",3,"€ 3,120,000",,Reserve,M,DM,28,Honduras,Levante,True,,spain,2526
Pablo Martínez,,"€ 20,000","€ 1,040,000","€ 250,000","Feb 8, 2023","Jun 30, 2026",1,"€ 1,040,000",,Reserve,M,CM,27,Spain,Levante,True,,spain,2526
José Copete,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 28, 2025","Jun 30, 2029",4,"€ 4,160,000",,Starter,D,CB,26,Spain,Valencia,True,,spain,2526
Unai Elgezabal,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 5, 2025","Jun 30, 2027",2,"€ 2,080,000",,Reserve,D,CB,32,Spain,Levante,True,,spain,2526
Javi López,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 31, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,LB,23,Spain,Real Oviedo,True,,spain,2526
Omar El Hilali,,"€ 20,000","€ 1,040,000","€ 250,000","Dec 14, 2023","Jun 30, 2027",2,"€ 2,080,000",,Starter,D,RB,22,Morocco,Espanyol,True,,spain,2526
Miguel Rubio,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 1, 2025","Jun 30, 2028",3,"€ 3,120,000",,Reserve,D,CB,27,Spain,Espanyol,True,,spain,2526
Leandro Cabrera,,"€ 20,000","€ 1,040,000","€ 250,000","May 27, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,CB,34,Uruguay,Espanyol,True,,spain,2526
Jofre Carreras,,"€ 20,000","€ 1,040,000","€ 250,000","Nov 14, 2024","Jun 30, 2029",4,"€ 4,160,000",,Starter,F,RW,24,Spain,Espanyol,True,,spain,2526
Pablo Torre,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 14, 2025","Jun 30, 2029",4,"€ 4,160,000",,Reserve,F,AM,22,Spain,Mallorca,True,,spain,2526
Abel Bretones,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 5, 2024","Jun 30, 2029",4,"€ 4,160,000",,Reserve,D,LB,25,Spain,Osasuna,True,,spain,2526
Largie Ramazani,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 28, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,F,LW,24,Belgium,Valencia,True,,spain,2526
Léo Pétrot,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 11, 2025","Jun 30, 2026",1,"€ 1,040,000",,Starter,D,LB,28,France,Elche,True,,spain,2526
Luka Ilic,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 18, 2025","Jun 30, 2028",3,"€ 3,120,000",,Reserve,F,AM,26,Serbia,Real Oviedo,True,,spain,2526
Héctor Fort,,"€ 20,000","€ 1,040,000","€ 250,000","Sep 1, 2025","Jun 30, 2026",1,"€ 1,040,000",,Reserve,D,RB,19,Spain,Elche,True,,spain,2526
Federico Redondo,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 14, 2025","Jun 30, 2030",5,"€ 5,200,000",,Reserve,M,DM,23,Argentina,Elche,True,,spain,2526
Nacho Vidal,,"€ 20,000","€ 1,040,000","€ 250,000","Jan 22, 2025","Jun 30, 2027",2,"€ 2,080,000",,Starter,D,RB,31,Spain,Real Oviedo,True,,spain,2526
Pablo Marín,,"€ 20,000","€ 1,040,000","€ 250,000","Jan 30, 2026","Jun 30, 2029",4,"€ 4,160,000",,Starter,F,AM,22,Spain,Real Sociedad,True,,spain,2526
Óscar Trejo,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 8, 2025","Jun 30, 2026",1,"€ 1,040,000",,Reserve,F,AM,37,Argentina,Rayo Vallecano,True,,spain,2526
Mihailo Ristic,,"€ 20,000","€ 1,040,000","€ 270,000","Sep 1, 2023","Jun 30, 2026",1,"€ 1,040,000",,Reserve,D,LB,30,Serbia,Celta Vigo,True,,spain,2526
Iván Villar,,"€ 20,000","€ 1,040,000","€ 250,000","Jan 11, 2024","Jun 30, 2027",2,"€ 2,080,000",,Reserve,K,GK,28,Spain,Celta Vigo,True,,spain,2526
Roony Bardghji,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 14, 2025","Jun 30, 2029",4,"€ 4,160,000",,Reserve,F,RW,20,Sweden,Barcelona,True,,spain,2526
Robert Navarro,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 1, 2025","Jun 30, 2030",5,"€ 5,200,000",,Reserve,F,RW,23,Spain,Athletic Club,True,,spain,2526
Pablo Ibáñez,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 1, 2025","Jun 30, 2030",5,"€ 5,200,000",,Reserve,M,CM,27,Spain,Alaves,True,,spain,2526
Aarón Escandell,,"€ 20,000","€ 1,040,000","€ 250,000","Oct 1, 2025","Jun 30, 2027",2,"€ 2,080,000",,Starter,K,GK,30,Spain,Real Oviedo,True,,spain,2526
Alberto Reina,,"€ 20,000","€ 1,040,000","€ 250,000","Jul 6, 2025","Jun 30, 2027",2,"€ 2,080,000",,Starter,M,CM,28,Spain,Real Oviedo,True,,spain,2526
Dani Calvo,,"€ 20,000","€ 1,040,000","€ 250,000","Feb 24, 2023","Jun 30, 2026",1,"€ 1,040,000",,Reserve,D,CB,31,Spain,Real Oviedo,True,,spain,2526
David Costas,,"€ 20,000","€ 1,040,000","€ 250,000","Jan 15, 2026","Jun 30, 2028",3,"€ 3,120,000",,Reserve,D,CB,30,Spain,Real Oviedo,True,,spain,2526
Federico Viñas,,"€ 20,000","€ 1,040,000","€ 250,000","Aug 28, 2024","Jun 30, 2026",1,"€ 1,040,000",,Starter,F,CF,27,Uruguay,Real Oviedo,True,,spain,2526
Iñigo Lekue,,"€ 19,231","€ 1,000,000","€ 250,000","May 24, 2025","Jun 30, 2026",1,"€ 1,000,000","€ 45,000,000",Starter,D,RB,32,Spain,Athletic Club,True,,spain,2526
David Affengruber,,"€ 18,077","€ 940,000","€ 230,000","Aug 28, 2024","Jun 30, 2027",2,"€ 1,880,000",,Reserve,D,CB,24,Austria,Elche,True,,spain,2526
Facundo Garcés,,"€ 18,077","€ 940,000","€ 230,000","Jan 1, 2025","Jun 30, 2028",3,"€ 2,820,000",,Starter,D,CB,26,Malaysia,Alaves,True,,spain,2526
Carlos Romero,,"€ 18,077","€ 940,000","€ 230,000","Jun 27, 2025","Jun 30, 2026",1,"€ 940,000",,Starter,D,LB,24,Spain,Espanyol,True,,spain,2526
Martim Neto,,"€ 18,077","€ 940,000","€ 230,000","Jul 30, 2025","Jun 30, 2028",3,"€ 2,820,000",,Reserve,M,CM,23,Portugal,Elche,True,,spain,2526
Hugo Álvarez,,"€ 18,077","€ 940,000","€ 230,000","Nov 26, 2024","Jun 30, 2028",3,"€ 2,820,000",,Starter,F,LW,22,Spain,Celta Vigo,True,,spain,2526
Iván Balliu,,"€ 18,077","€ 940,000","€ 230,000","Feb 27, 2025","Jun 30, 2027",2,"€ 1,880,000",,Reserve,D,RB,34,Albania,Rayo Vallecano,True,,spain,2526
Gonzalo Villar,,"€ 18,077","€ 940,000","€ 230,000","Jan 31, 2026","Jun 30, 2026",1,"€ 940,000",,Reserve,M,CM,27,Spain,Elche,True,,spain,2526
Ilyas Chaira,,"€ 18,077","€ 940,000","€ 230,000","Jul 11, 2025","Jun 30, 2028",3,"€ 2,820,000",,Starter,F,LW,25,Morocco,Real Oviedo,True,,spain,2526
Carlos Domínguez,,"€ 18,077","€ 940,000","€ 230,000","Aug 10, 2025","Jun 30, 2028",3,"€ 2,820,000",,Reserve,D,CB,24,Spain,Celta Vigo,True,,spain,2526
Alfonso Espino,,"€ 18,077","€ 940,000","€ 230,000","Jul 17, 2023","Jun 30, 2026",1,"€ 940,000",,Starter,D,LB,34,Uruguay,Rayo Vallecano,True,,spain,2526
Martín Satriano,,"€ 18,077","€ 940,000","€ 230,000","Jan 17, 2026","Jun 30, 2026",1,"€ 940,000",,Starter,F,CF,24,Uruguay,Getafe,True,,spain,2526
Pedro Bigas,,"€ 18,077","€ 940,000","€ 230,000","May 25, 2023","Jun 30, 2026",1,"€ 940,000",,Starter,D,CB,35,Spain,Elche,True,,spain,2526
Mateo Joseph,,"€ 17,308","€ 900,000","€ 230,000","Aug 9, 2025","Jun 30, 2026",1,"€ 900,000",,Reserve,F,CF,22,Spain,Mallorca,True,,spain,2526
Unai Núñez,,"€ 16,346","€ 850,000","€ 210,000","Jan 24, 2026","Jun 30, 2026",1,"€ 850,000",,Starter,D,CB,29,Spain,Valencia,True,,spain,2526
Kwasi Sibo,,"€ 15,962","€ 830,000","€ 210,000","Jul 4, 2024","Jun 30, 2026",1,"€ 830,000",,Starter,M,CM,27,Ghana,Real Oviedo,True,,spain,2526
Kike Barja,,"€ 15,962","€ 830,000","€ 210,000","Dec 13, 2021","Jun 30, 2026",1,"€ 830,000",,Reserve,F,RW,28,Spain,Osasuna,True,,spain,2526
Jorge Herrando,,"€ 15,962","€ 830,000","€ 210,000","Jan 14, 2026","Jun 30, 2030",5,"€ 4,150,000",,Starter,D,CB,24,Spain,Osasuna,True,,spain,2526
Clemens Riedel,,"€ 15,962","€ 830,000","€ 210,000","Aug 25, 2025","Jun 30, 2029",4,"€ 3,320,000",,Starter,D,CB,22,Germany,Espanyol,True,,spain,2526
Víctor García,,"€ 15,962","€ 830,000","€ 210,000","Jul 3, 2025","Jun 30, 2027",2,"€ 1,660,000",,Starter,D,RB,28,Spain,Levante,True,,spain,2526
Aitor Fernández,,"€ 15,962","€ 830,000","€ 210,000","Nov 25, 2024","Jun 30, 2027",2,"€ 1,660,000","€ 14,000,000",Reserve,K,GK,34,Spain,Osasuna,True,,spain,2526
Lucas Ahijado,,"€ 15,962","€ 830,000","€ 210,000","Jul 10, 2025","Jun 30, 2026",1,"€ 830,000",,Reserve,D,RB,31,Spain,Real Oviedo,True,,spain,2526
Juan Iglesias,,"€ 15,962","€ 830,000","€ 210,000","Aug 19, 2021","Jun 30, 2026",1,"€ 830,000",,Starter,D,RB,27,Spain,Getafe,True,,spain,2526
Omar Mascarell,,"€ 15,962","€ 830,000","€ 210,000","Jul 1, 2023","Jun 30, 2026",1,"€ 830,000",,Starter,M,DM,33,Equatorial Guinea,Mallorca,True,,spain,2526
Pablo Campos,,"€ 15,962","€ 830,000","€ 210,000","Aug 22, 2025","Jun 30, 2027",2,"€ 1,660,000",,Reserve,K,GK,23,Spain,Levante,True,,spain,2526
Ovie Ejaria,,"€ 15,962","€ 830,000","€ 210,000","Aug 13, 2025","Jun 30, 2026",1,"€ 830,000",,Reserve,F,LW,28,England,Real Oviedo,True,,spain,2526
Matías Moreno,,"€ 15,962","€ 830,000","€ 210,000","Jul 11, 2025","Jun 30, 2026",1,"€ 830,000",,Reserve,D,CB,22,Argentina,Levante,True,,spain,2526
Haissem Hassan,,"€ 15,962","€ 830,000","€ 210,000","Aug 11, 2024","Jun 30, 2027",2,"€ 1,660,000",,Starter,F,RW,23,France,Real Oviedo,True,,spain,2526
Mateu Morey Bauzà,,"€ 15,962","€ 830,000","€ 210,000","Jun 5, 2025","Jun 30, 2027",2,"€ 1,660,000",,Reserve,D,RB,25,Spain,Mallorca,True,,spain,2526
Alfon González,,"€ 15,962","€ 830,000","€ 210,000","Jan 27, 2026","Jun 30, 2026",1,"€ 830,000",,Reserve,F,LW,26,Spain,Villarreal,True,,spain,2526
Javi Rueda,,"€ 15,962","€ 830,000","€ 210,000","Nov 24, 2025","Jun 30, 2029",4,"€ 3,320,000",,Starter,D,RB,23,Spain,Celta Vigo,True,,spain,2526
Javi Rodríguez,,"€ 15,962","€ 830,000","€ 210,000","Oct 22, 2024","Jun 30, 2028",3,"€ 2,490,000",,Starter,D,CB,22,Spain,Celta Vigo,True,,spain,2526
Pablo García,,"€ 15,962","€ 830,000","€ 210,000","Jan 22, 2025","Jun 30, 2029",4,"€ 3,320,000",,Reserve,F,RW,19,Spain,Real Betis,True,,spain,2526
Jon Martín,,"€ 15,962","€ 830,000","€ 210,000","Oct 10, 2025","Jun 30, 2031",6,"€ 4,980,000",,Starter,D,CB,19,Spain,Real Sociedad,True,,spain,2526
Álvaro Rodríguez,,"€ 15,962","€ 830,000","€ 210,000","Jul 22, 2025","Jun 30, 2029",4,"€ 3,320,000",,Starter,F,CF,21,Uruguay,Elche,True,,spain,2526
Sergio Camello,,"€ 15,962","€ 830,000","€ 210,000","Aug 17, 2023","Jun 30, 2027",2,"€ 1,660,000",,Reserve,F,CF,24,Spain,Rayo Vallecano,True,,spain,2526
Thiago Borbas,,"€ 15,962","€ 830,000","€ 210,000","Jan 2, 2026","Jun 30, 2026",1,"€ 830,000",,Reserve,F,CF,23,Uruguay,Real Oviedo,True,,spain,2526
José Salinas,,"€ 15,962","€ 830,000","€ 210,000","Jul 1, 2025","Jun 30, 2028",3,"€ 2,490,000",,Reserve,D,LB,25,Spain,Espanyol,True,,spain,2526
Ilias Akhomach,,"€ 15,962","€ 830,000","€ 210,000","Jan 21, 2026","Jun 30, 2026",1,"€ 830,000",,Starter,F,RW,21,Morocco,Rayo Vallecano,True,,spain,2526
