,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Léo Duarte,"€ 24,038","€ 1,250,000","€ 1,250,000",D,28,Brazil,Basaksehir,turkey,2425
Halil Dervişoğlu,"€ 23,077","€ 1,200,000","€ 1,200,000",F,25,Turkey,Gaziantep BB,turkey,2425
Ali Sowe,"€ 22,308","€ 1,160,000","€ 1,160,000",F,30,The Gambia,Caykur Rizespor,turkey,2425
Alexandru Maxim,"€ 22,308","€ 1,160,000","€ 1,160,000",F,34,Romania,Gaziantep BB,turkey,2425
Guilherme,"€ 22,115","€ 1,150,000","€ 1,150,000",D,34,Brazil,Konyaspor,turkey,2425
Dimitrios Pelkas,"€ 21,731","€ 1,130,000","€ 1,130,000",F,30,Greece,Basaksehir,turkey,2425
Olivier Ntcham,"€ 21,731","€ 1,130,000","€ 1,130,000",F,29,Cameroon,Samsunspor,turkey,2425
Ousseynou Ba,"€ 21,731","€ 1,130,000","€ 1,130,000",D,29,Senegal,Basaksehir,turkey,2425
Queensy Menig,"€ 21,731","€ 1,130,000","€ 1,130,000",F,29,Netherlands,Sivasspor,turkey,2425
Elias Jelert,"€ 21,731","€ 1,130,000","€ 1,130,000",D,21,Denmark,Galatasaray,turkey,2425
Ivo Grbic,"€ 21,731","€ 1,130,000","€ 1,130,000",K,29,Croatia,Caykur Rizespor,turkey,2425
Rey Manaj,"€ 21,731","€ 1,130,000","€ 1,130,000",F,27,Albania,Sivasspor,turkey,2425
Stefano Denswil,"€ 21,154","€ 1,100,000","€ 1,100,000",D,31,Suriname,Trabzonspor,turkey,2425
Przemyslaw Frankowski,"€ 20,385","€ 1,060,000","€ 1,060,000",D,29,Poland,Galatasaray,turkey,2425
Yusuf Demir,"€ 20,385","€ 1,060,000","€ 1,060,000",F,21,Austria,Galatasaray,turkey,2425
Arbnor Muja,"€ 20,192","€ 1,050,000","€ 1,050,000",F,26,Albania,Samsunspor,turkey,2425
Pedro Malheiro,"€ 20,000","€ 1,040,000","€ 1,040,000",D,24,Portugal,Trabzonspor,turkey,2425
Salih Uçan,"€ 19,808","€ 1,030,000","€ 1,030,000",M,31,Turkey,Besiktas,turkey,2425
Oğuz Aydın,"€ 19,231","€ 1,000,000","€ 1,000,000",F,24,Turkey,Fenerbahce,turkey,2425
Badou Ndiaye,"€ 19,231","€ 1,000,000","€ 1,000,000",M,34,Senegal,Gaziantep BB,turkey,2425
Flavien Tait,"€ 19,231","€ 1,000,000","€ 1,000,000",M,32,France,Samsunspor,turkey,2425
Kingsley Schindler,"€ 19,231","€ 1,000,000","€ 1,000,000",F,31,Ghana,Samsunspor,turkey,2425
Jayden Oosterwolde,"€ 19,231","€ 1,000,000","€ 1,000,000",D,23,Netherlands,Fenerbahce,turkey,2425
Serdar Aziz,"€ 18,462","€ 960,000","€ 960,000",D,34,Turkey,Fenerbahce,turkey,2425
Borna Barisic,"€ 18,077","€ 940,000","€ 940,000",D,32,Croatia,Trabzonspor,turkey,2425
Samet Akaydin,"€ 18,077","€ 940,000","€ 940,000",D,30,Turkey,Fenerbahce,turkey,2425
Abdülkerim Bardakcı,"€ 18,077","€ 940,000","€ 940,000",D,30,Turkey,Galatasaray,turkey,2425
Jean Onana,"€ 18,077","€ 940,000","€ 940,000",M,25,Cameroon,Besiktas,turkey,2425
Oleksandr Zubkov,"€ 17,500","€ 910,000","€ 910,000",F,28,Ukraine,Trabzonspor,turkey,2425
Florent Hadergjonaj,"€ 17,308","€ 900,000","€ 900,000",D,30,Kosovo,Alanyaspor,turkey,2425
Berkay Özcan,"€ 16,923","€ 880,000","€ 880,000",M,26,Turkey,Basaksehir,turkey,2425
Ercan Kara,"€ 16,923","€ 880,000","€ 880,000",F,28,Austria,Samsunspor,turkey,2425
Umut Bozok,"€ 16,923","€ 880,000","€ 880,000",F,28,Turkey,Eyupspor,turkey,2425
Andros Townsend,"€ 16,923","€ 880,000","€ 880,000",F,33,England,Antalyaspor,turkey,2425
Serdar Gürler,"€ 16,923","€ 880,000","€ 880,000",F,33,Turkey,Basaksehir,turkey,2425
Umut Nayir,"€ 16,923","€ 880,000","€ 880,000",F,31,Turkey,Konyaspor,turkey,2425
Berkay Özcan,"€ 16,923","€ 880,000","€ 880,000",M,26,Turkey,Caykur Rizespor,turkey,2425
Keita Baldé,"€ 16,923","€ 880,000","€ 880,000",F,29,Senegal,Sivasspor,turkey,2425
Ersin Destanoğlu,"€ 16,923","€ 880,000","€ 880,000",K,24,Turkey,Besiktas,turkey,2425
João Figueiredo,"€ 15,962","€ 830,000","€ 830,000",F,28,Brazil,Basaksehir,turkey,2425
Kenneth Omeruo,"€ 15,962","€ 830,000","€ 830,000",D,30,Nigeria,Kasimpasa,turkey,2425
Richard,"€ 15,962","€ 830,000","€ 830,000",M,30,Brazil,Alanyaspor,turkey,2425
Ertuğrul Taşkıran,"€ 15,962","€ 830,000","€ 830,000",K,35,Turkey,Alanyaspor,turkey,2425
Giannis Papanikolaou,"€ 15,577","€ 810,000","€ 810,000",M,26,Greece,Caykur Rizespor,turkey,2425
Yusuf Sarı,"€ 15,577","€ 810,000","€ 810,000",F,26,Turkey,Basaksehir,turkey,2425
Carlos Cuesta,"€ 15,577","€ 810,000","€ 810,000",D,25,Colombia,Galatasaray,turkey,2425
Günay Güvenç,"€ 15,385","€ 800,000","€ 800,000",K,33,Turkey,Galatasaray,turkey,2425
Carlos Strandberg,"€ 14,615","€ 760,000","€ 760,000",F,28,Sweden,Hatayspor,turkey,2425
Emirhan Topçu,"€ 14,423","€ 750,000","€ 750,000",D,24,Turkey,Besiktas,turkey,2425
Christopher Operi,"€ 14,423","€ 750,000","€ 750,000",D,27,Cote d'Ivoire,Basaksehir,turkey,2425
Burak Kapacak,"€ 14,423","€ 750,000","€ 750,000",F,25,Turkey,Fenerbahce,turkey,2425
