,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Julian Weigl,"€ 65,385","€ 3,400,000","€ 3,400,000",M,27,Germany,Monchengladbach,germany,2223
Josuha Guilavogui,"€ 63,462","€ 3,300,000","€ 3,300,000",M,32,France,Wolfsburg,germany,2223
Marius Wolf,"€ 63,462","€ 3,300,000","€ 3,300,000",D,27,Germany,Borussia Dortmund,germany,2223
Jude Bellingham,"€ 62,308","€ 3,240,000","€ 3,240,000",M,19,England,Borussia Dortmund,germany,2223
Kerem Demirbay,"€ 61,538","€ 3,200,000","€ 3,200,000",M,29,Germany,Bayer Leverkusen,germany,2223
Marcus Thuram,"€ 61,538","€ 3,200,000","€ 3,200,000",F,25,France,Monchengladbach,germany,2223
Sardar Azmoun,"€ 61,538","€ 3,200,000","€ 3,200,000",F,28,Iran,Bayer Leverkusen,germany,2223
Suat Serdar,"€ 60,192","€ 3,130,000","€ 3,130,000",M,25,Germany,Hertha Berlin,germany,2223
Jonas Omlin,"€ 58,077","€ 3,020,000","€ 3,020,000",K,29,Switzerland,Monchengladbach,germany,2223
Konrad Laimer,"€ 57,692","€ 3,000,000","€ 3,000,000",M,25,Austria,Leipzig,germany,2223
Marcel Halstenberg,"€ 57,692","€ 3,000,000","€ 3,000,000",D,31,Germany,Leipzig,germany,2223
Kasper Dolberg,"€ 57,692","€ 3,000,000","€ 3,000,000",F,25,Denmark,Hoffenheim,germany,2223
Jérôme Roussillon,"€ 57,692","€ 3,000,000","€ 3,000,000",D,29,France,Wolfsburg,germany,2223
Oliver Baumann,"€ 57,692","€ 3,000,000","€ 3,000,000",K,32,Germany,Hoffenheim,germany,2223
Youssoufa Moukoko,"€ 57,692","€ 3,000,000","€ 3,000,000",F,18,Germany,Borussia Dortmund,germany,2223
Jonathan Tah,"€ 54,423","€ 2,830,000","€ 2,830,000",D,26,Germany,Bayer Leverkusen,germany,2223
Ozan Kabak,"€ 54,423","€ 2,830,000","€ 2,830,000",D,22,Turkey,Hoffenheim,germany,2223
Mattias Svanberg,"€ 54,423","€ 2,830,000","€ 2,830,000",M,24,Sweden,Wolfsburg,germany,2223
Mergim Berisha,"€ 54,423","€ 2,830,000","€ 2,830,000",F,24,Germany,Augsburg,germany,2223
Nadiem Amiri,"€ 54,423","€ 2,830,000","€ 2,830,000",M,26,Germany,Bayer Leverkusen,germany,2223
Sebastiaan Bornauw,"€ 54,231","€ 2,820,000","€ 2,820,000",D,23,Belgium,Wolfsburg,germany,2223
Lars Stindl,"€ 53,846","€ 2,800,000","€ 2,800,000",F,34,Germany,Monchengladbach,germany,2223
Ralf Fährmann,"€ 53,846","€ 2,800,000","€ 2,800,000",K,34,Germany,Schalke 04,germany,2223
Danny Latza,"€ 52,885","€ 2,750,000","€ 2,750,000",M,33,Germany,Schalke 04,germany,2223
Leonardo Bittencourt,"€ 50,769","€ 2,640,000","€ 2,640,000",F,29,Germany,Werder Bremen,germany,2223
Lukas Hradecky,"€ 50,000","€ 2,600,000","€ 2,600,000",K,33,Finland,Bayer Leverkusen,germany,2223
Lucas Tousart,"€ 50,000","€ 2,600,000","€ 2,600,000",M,25,France,Hertha Berlin,germany,2223
Lucas Alario,"€ 48,077","€ 2,500,000","€ 2,500,000",F,30,Argentina,Eintracht Frankfurt,germany,2223
