,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Julian Ryerson,,"€ 96,154","€ 5,000,000","€ 1,250,000","Oct 3, 2024","Jun 30, 2028",3,"€ 15,000,000",,Starter,D,RB,28,Norway,Borussia Dortmund,True,,germany,2526
Maximilian Mittelstädt,,"€ 94,423","€ 4,910,000","€ 1,230,000","Aug 31, 2024","Jun 30, 2028",3,"€ 14,730,000",,Starter,D,LB,28,Germany,Stuttgart,True,,germany,2526
Jonathan Burkardt,,"€ 94,423","€ 4,910,000","€ 1,230,000","Jul 4, 2025","Jun 30, 2030",5,"€ 24,550,000",,Reserve,F,CF,25,Germany,Eintracht Frankfurt,True,,germany,2526
Jobe Bellingham,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jun 10, 2025","Jun 30, 2030",5,"€ 23,600,000",,Starter,M,CM,20,England,Borussia Dortmund,True,,germany,2526
Nico Schlotterbeck,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 1, 2022","Jun 30, 2027",2,"€ 9,440,000",,Starter,D,CB,26,Germany,Borussia Dortmund,True,,germany,2526
Yan Couto,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 1, 2025","Jun 30, 2030",5,"€ 23,600,000",,Reserve,M,RM,23,Brazil,Borussia Dortmund,True,,germany,2526
Franck Honorat,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 22, 2025","Jun 30, 2029",4,"€ 18,880,000",,Starter,F,RW,29,France,Monchengladbach,True,,germany,2526
Loïc Badé,,"€ 90,769","€ 4,720,000","€ 1,180,000","Aug 21, 2025","Jun 30, 2030",5,"€ 23,600,000",,Starter,D,CB,25,France,Bayer Leverkusen,True,,germany,2526
Malik Tillman,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 12, 2025","Jun 30, 2030",5,"€ 23,600,000",,Starter,F,AM,23,United States,Bayer Leverkusen,True,,germany,2526
Mark Flekken,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 1, 2025","Jun 30, 2028",3,"€ 14,160,000",,Reserve,K,GK,32,Netherlands,Bayer Leverkusen,True,,germany,2526
Martin Terrier,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 18, 2024","Jun 30, 2029",4,"€ 18,880,000",,Reserve,F,LW,28,France,Bayer Leverkusen,True,,germany,2526
Maximilian Arnold,,"€ 90,769","€ 4,720,000","€ 1,180,000","Nov 6, 2025","Jun 30, 2028",3,"€ 14,160,000",,Reserve,M,CM,31,Germany,Wolfsburg,True,,germany,2526
Maximilian Eggestein,,"€ 90,769","€ 4,720,000","€ 1,180,000","Mar 25, 2024","Jun 30, 2026",1,"€ 4,720,000",,Starter,M,CM,29,Germany,Freiburg,True,,germany,2526
Mohamed Amoura,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 1, 2025","Jun 30, 2029",4,"€ 18,880,000",,Starter,F,CF,25,Algeria,Wolfsburg,True,,germany,2526
Vinicius Souza,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 5, 2025","Jun 30, 2030",5,"€ 23,600,000",,Reserve,M,DM,26,Brazil,Wolfsburg,True,,germany,2526
Ermedin Demirovic,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 16, 2024","Jun 30, 2028",3,"€ 14,160,000",,Starter,F,CF,27,Bosnia-Herzegovina,Stuttgart,True,,germany,2526
Rasmus Kristensen,,"€ 90,769","€ 4,720,000","€ 1,180,000","Jul 1, 2025","Jun 30, 2029",4,"€ 18,880,000",,Reserve,D,RB,28,Denmark,Eintracht Frankfurt,True,,germany,2526
Deniz Undav,,"€ 87,115","€ 4,530,000","€ 1,130,000","Aug 9, 2024","Jun 30, 2027",2,"€ 9,060,000",,Reserve,F,CF,29,Germany,Stuttgart,True,,germany,2526
Vincenzo Grifo,,"€ 87,115","€ 4,530,000","€ 1,130,000","Jun 25, 2025","Jun 30, 2027",2,"€ 9,060,000",,Starter,F,LW,32,Italy,Freiburg,True,,germany,2526
Angelo Stiller,,"€ 87,115","€ 4,530,000","€ 1,130,000","Jan 28, 2025","Jun 30, 2028",3,"€ 13,590,000","€ 36,500,000",Starter,M,DM,24,Germany,Stuttgart,True,,germany,2526
Ramy Bensebaini,,"€ 86,731","€ 4,510,000","€ 1,130,000","Jul 1, 2023","Jun 30, 2027",2,"€ 9,020,000",,Starter,D,CB,30,Algeria,Borussia Dortmund,True,,germany,2526
Jonas Hofmann,,"€ 83,462","€ 4,340,000","€ 1,080,000","Jul 5, 2023","Jun 30, 2027",2,"€ 8,680,000",,Reserve,F,AM,33,Germany,Bayer Leverkusen,True,,germany,2526
Christoph Baumgartner,,"€ 83,462","€ 4,340,000","€ 1,080,000","Jul 1, 2023","Jun 30, 2028",3,"€ 13,020,000",,Starter,F,AM,26,Austria,Leipzig,True,,germany,2526
Jesper Lindstrøm,,"€ 83,462","€ 4,340,000","€ 1,080,000","Jul 23, 2025","Jun 30, 2026",1,"€ 4,340,000",,Reserve,F,RW,25,Denmark,Wolfsburg,True,,germany,2526
Maximilian Beier,,"€ 79,808","€ 4,150,000","€ 1,040,000","Aug 12, 2024","Jun 30, 2029",4,"€ 16,600,000",,Starter,F,CF,23,Germany,Borussia Dortmund,True,,germany,2526
Alexander Nübel,,"€ 79,808","€ 4,150,000","€ 1,040,000","Apr 12, 2024","Jun 30, 2026",1,"€ 4,150,000",,Starter,K,GK,29,Germany,Stuttgart,True,,germany,2526
Joakim Maehle,,"€ 79,808","€ 4,150,000","€ 1,040,000","Aug 12, 2023","Jun 30, 2027",2,"€ 8,300,000",,Reserve,D,LB,28,Denmark,Wolfsburg,True,,germany,2526
Mario Götze,,"€ 79,808","€ 4,150,000","€ 1,510,000","Jun 2, 2023","Jun 30, 2026",1,"€ 4,150,000",,Reserve,F,AM,33,Germany,Eintracht Frankfurt,True,,germany,2526
Arthur Theate,,"€ 79,808","€ 4,150,000","€ 1,040,000","Feb 2, 2025","Jun 30, 2029",4,"€ 16,600,000",,Reserve,D,CB,25,Belgium,Eintracht Frankfurt,True,,germany,2526
Fábio Silva,,"€ 79,808","€ 4,150,000","€ 1,040,000","Aug 29, 2025","Jun 30, 2030",5,"€ 20,750,000",,Reserve,F,CF,23,Portugal,Borussia Dortmund,True,,germany,2526
Xaver Schlager,,"€ 76,923","€ 4,000,000","€ 1,000,000","Jul 1, 2022","Jun 30, 2026",1,"€ 4,000,000",,Starter,M,CM,28,Austria,Leipzig,True,,germany,2526
Andrej Kramaric,,"€ 76,154","€ 3,960,000","€ 990,000","Dec 12, 2024","Jun 30, 2026",1,"€ 3,960,000",,Starter,F,AM,34,Croatia,Hoffenheim,True,,germany,2526
Florian Neuhaus,,"€ 76,154","€ 3,960,000","€ 990,000","Jul 28, 2023","Jun 30, 2027",2,"€ 7,920,000",,Reserve,M,CM,28,Germany,Monchengladbach,True,,germany,2526
Ridle Baku,,"€ 72,500","€ 3,770,000","€ 940,000","Jan 10, 2025","Jun 30, 2027",2,"€ 7,540,000",,Starter,D,RB,27,Germany,Leipzig,True,,germany,2526
Tim Kleindienst,,"€ 72,500","€ 3,770,000","€ 940,000","Nov 6, 2025","Jun 30, 2029",4,"€ 15,080,000",,Reserve,F,CF,30,Germany,Monchengladbach,True,,germany,2526
Cameron Puertas,,"€ 72,500","€ 3,770,000","€ 940,000","Sep 1, 2025","Jun 30, 2026",1,"€ 3,770,000",,Starter,F,AM,27,Spain,Werder Bremen,True,,germany,2526
Hiroki Ito,,"€ 72,500","€ 3,770,000","€ 940,000","Jul 1, 2024","Jun 30, 2028",3,"€ 11,310,000",,Reserve,D,CB,26,Japan,Bayern Munich,True,,germany,2526
Jarell Quansah,,"€ 72,500","€ 3,770,000","€ 940,000","Jul 2, 2025","Jun 30, 2030",5,"€ 18,850,000",,Reserve,D,CB,23,England,Bayer Leverkusen,True,,germany,2526
Salih Özcan,,"€ 72,500","€ 3,770,000","€ 940,000","Jul 1, 2022","Jun 30, 2026",1,"€ 3,770,000",,Reserve,M,DM,28,Turkey,Borussia Dortmund,True,,germany,2526
Michael Zetterer,,"€ 72,500","€ 3,770,000","€ 940,000","Aug 20, 2025","Jun 30, 2029",4,"€ 15,080,000",,Reserve,K,GK,30,Germany,Eintracht Frankfurt,True,,germany,2526
Robert Andrich,,"€ 72,500","€ 3,770,000","€ 940,000","Aug 16, 2024","Jun 30, 2028",3,"€ 11,310,000",,Starter,M,DM,31,Germany,Bayer Leverkusen,True,,germany,2526
