player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Clinton Mata,152813,Olympique Lyonnais,1649,france,2526,2566,29,29,7.0,0,0,0,0.11,0.74,40,3,33.33,127,56,41.79,451,1066,1517,90.62,37,55.22,30,0,0,0,100,0,0,0,11,139,29,0,0,2,20260428,10,82,0,1,33,0,0.0,24,32,25,7,0,0,,78,60.0,0,0,0,157,23,2,0,0,27.0,1,0,0,1,0.0,0,0,0,0,195,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,3,0,8,53.33,0,38,17,44.74,2,94,15,9,115,58.38,134,552,1122,1674,203.1,3,4,2067,36,5,0,41923.0,2180000.0,D,33.0,Angola
Eric Dier,146101,AS Monaco,1653,france,2526,687,9,7,7.0,1,0,1,0.49,0.34,18,0,0.0,83,29,67.44,277,278,555,93.75,14,50.0,14,0,0,0,19,0,0,1,0,29,9,0,0,0,20260428,5,28,1,0,9,0,33.33,2,15,14,1,1,0,,9,39.13,1,0,0,37,10,2,0,0,10.0,0,0,0,0,0.0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,687.0,0.0,0,3,0,0,2,0,0.0,0,7,4,57.14,2,30,0,2,23,45.1,43,300,292,592,63.0,3,2,673,4,0,0,66346.0,3450000.0,D,32.0,England
Brad-Hamilton Mantsounga,2168291,Nice,1661,france,2526,90,1,1,7.0,0,0,0,,0.01,0,0,0.0,4,1,50.0,27,58,85,98.84,0,0.0,1,0,0,0,1,0,0,0,0,5,1,0,0,0,20260428,0,1,0,0,0,0,0.0,0,5,4,1,0,0,,8,100.0,0,0,0,1,0,0,0,0,3.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,6,3,50.0,0,0,0,0,8,88.89,2,28,58,86,7.0,0,0,103,2,0,0,,,,,
Rassoul Ndiaye,992026,Le Havre,1662,france,2526,2393,31,28,7.0,4,4,8,3.04,2.37,22,19,20.88,225,30,63.83,395,273,668,83.71,16,39.02,25,0,0,0,131,5,3,11,3,17,31,0,0,15,20260428,37,112,0,0,20,0,12.12,0,31,30,1,4,0,,117,57.35,1,0,2,130,14,26,0,6,2.0,0,0,0,0,0.0,0,0,0,0,267,12,0,0,3,0,0,0,0,0,0,598.25,0.0,0,16,17,13,9,21,56.76,0,61,27,44.26,26,43,37,91,133,54.29,47,485,313,798,216.9,33,1,1228,36,2,0,17500.0,910000.0,M,24.0,Senegal
Jordan Teze,825846,AS Monaco,1653,france,2526,2257,30,25,7.0,1,2,3,0.59,4.92,44,14,23.33,266,56,46.28,553,480,1033,83.51,27,56.25,21,0,0,0,125,6,0,3,4,55,30,0,0,15,20260428,24,96,0,0,29,0,7.69,0,39,36,3,1,0,,85,53.13,1,0,0,204,27,33,0,3,10.0,0,0,0,0,0.0,0,0,0,0,320,10,0,0,0,0,0,0,0,0,0,2257.0,0.0,0,4,9,6,4,3,30.0,0,59,43,72.88,33,90,10,60,112,53.85,121,701,536,1237,209.9,13,1,1700,24,8,0,41923.0,2180000.0,D,26.0,Netherlands
Gautier Lloris,287887,Le Havre,1662,france,2526,2130,26,25,7.0,1,1,2,0.92,0.42,32,0,0.0,78,58,47.54,335,954,1289,91.68,65,72.22,25,0,0,0,68,1,3,2,4,131,26,0,1,4,20260428,7,59,0,0,26,0,9.09,4,29,29,0,1,0,,54,61.36,1,0,0,117,39,4,0,1,17.0,1,0,0,1,0.0,0,0,0,1,134,1,0,1,0,0,0,0,0,0,0,2130.0,0.0,0,11,0,5,4,1,33.33,0,36,20,55.56,4,76,3,1,119,66.85,122,417,989,1406,181.9,11,3,1723,17,2,0,27885.0,1450000.0,D,30.0,France
Saud Abdulhamid,966849,RC Lens,1648,france,2526,1230,23,12,7.0,2,4,6,0.83,3.14,21,13,30.23,210,9,39.13,314,184,498,88.93,7,36.84,12,0,0,0,64,4,1,2,3,16,23,0,0,6,20260428,14,62,0,1,22,0,25.0,0,17,13,4,2,0,,49,49.49,1,0,0,62,11,22,0,1,2.0,0,1,0,1,0.0,0,0,0,1,138,6,0,0,1,0,0,0,0,0,0,615.0,0.0,0,6,2,3,3,4,26.67,0,32,22,68.75,21,32,15,43,56,47.46,23,358,202,560,160.9,8,2,874,13,3,0,35000.0,1820000.0,D,26.0,Saudi Arabia
Willian Pacho,979480,Paris Saint-Germain,1644,france,2526,1825,22,20,7.0,0,0,0,1.0,0.44,13,0,0.0,68,31,52.54,410,1140,1550,95.09,35,56.45,27,0,0,0,109,0,1,2,8,62,22,0,0,5,20260428,7,46,0,1,6,0,0.0,26,20,15,5,0,0,,46,70.77,0,0,0,80,24,2,0,2,10.0,0,0,0,0,0.0,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,1,5,1,1,50.0,0,40,26,65.0,2,30,2,0,81,63.78,59,453,1177,1630,153.9,8,2,1853,6,0,0,111923.0,5820000.0,D,24.0,Ecuador
Esteban Lepaul,966621,Stade Rennais,1658,france,2526,2438,31,30,6.99,18,4,22,13.94,1.15,11,3,20.0,103,13,56.52,193,167,360,77.92,37,43.02,49,0,0,1,50,3,8,18,3,15,31,0,0,14,20260428,7,106,0,0,24,0,23.68,0,31,27,4,18,0,,28,32.94,1,0,3,102,2,20,2,7,0.0,0,0,4,0,75.0,0,3,0,0,195,16,0,0,15,0,0,0,0,0,0,135.44,0.0,1,63,13,25,33,8,32.0,0,6,4,66.67,20,17,25,15,65,38.01,23,267,195,462,216.7,76,2,723,16,2,0,52500.0,2730000.0,F,25.0,France
Jérémy Jacquet,1445625,Stade Rennais,1658,france,2526,1673,19,19,6.99,0,0,0,1.04,0.48,32,0,0.0,106,57,55.88,359,614,973,90.43,37,75.51,12,0,0,0,77,0,0,3,5,91,19,0,0,1,20260428,2,39,1,2,20,0,0.0,29,29,27,2,0,0,,44,61.97,0,0,0,103,19,9,0,1,16.0,0,0,0,1,0.0,0,0,0,0,119,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,9,2,5,3,4,50.0,0,27,16,59.26,9,61,8,0,81,67.5,102,429,647,1076,132.8,11,1,1321,17,4,1,17500.0,910000.0,D,20.0,France
