player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Baptiste Santamaria,344751,Nice,1661,france,2425,1421,23,16,6.9,0,1,1,1.07,0.62,45,1,14.29,135,41,61.19,291,351,641,83.36,38,58.46,27,0,0,0,83,1,1,5,2,23,23,0,0,12,14,80,0,1,21,0,0.0,0,18,16,2,0,0,,66,55.46,0,0,0,128,30,13,0,0,,1,0,0,1,0.0,0,0,0,1,185,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8,12,11,4,9,50.0,0,31,14,45.16,13,74,18,7,104,56.52,67,386,390,769,158.6,20,1,1023,27,2,0,38462.0,2000000.0,M,29.0,France
Lilian Brassier,988907,Stade Rennais,1658,france,2425,2024,26,23,6.89,1,1,2,1.75,0.53,35,1,7.14,192,60,44.12,488,839,1326,86.89,48,73.85,17,0,0,0,97,1,4,5,5,86,26,0,0,5,3,44,2,1,16,0,5.26,14,34,29,5,1,0,,40,59.7,1,0,1,200,31,7,0,0,,0,0,0,1,0.0,0,0,0,0,251,4,0,0,0,0,0,0,0,0,0,2024.0,0.0,0,16,3,11,3,3,33.33,0,23,18,78.26,7,86,9,14,88,66.67,136,640,900,1526,179.2,19,1,1823,15,4,0,35000.0,1820000.0,D,25.0,France
Gautier Lloris,287887,Le Havre,1662,france,2425,2769,31,31,6.89,2,1,3,1.17,0.5,49,1,33.33,111,76,41.08,425,889,1313,87.59,65,65.0,35,0,0,0,100,2,2,4,3,189,31,0,0,3,15,85,0,0,31,0,18.18,3,64,59,5,2,0,,78,60.94,1,0,1,186,34,5,1,2,,0,0,0,2,0.0,0,0,0,0,213,1,0,0,0,0,0,0,0,0,0,1384.5,0.0,0,9,2,5,2,4,57.14,0,68,43,63.24,5,98,7,3,143,62.72,185,541,961,1499,213.6,11,2,1921,7,5,0,27885.0,1450000.0,D,29.0,France
Nemanja Matić,44241,Olympique Lyonnais,1649,france,2425,2031,29,25,6.89,0,1,1,0.07,2.01,64,3,33.33,315,65,60.19,661,566,1224,87.55,15,51.72,14,0,0,0,125,2,0,1,1,30,29,0,0,21,18,70,0,1,13,0,0.0,0,31,30,1,0,0,,57,50.44,0,0,0,174,18,17,0,0,,0,0,0,0,0.0,0,0,0,0,224,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,1,8,61.54,0,42,29,69.05,17,103,13,9,72,50.7,108,798,609,1398,199.8,2,0,1621,7,1,0,92692.0,4820000.0,M,36.0,Serbia
Jhoanner Chávez,1002458,RC Lens,1648,france,2425,598,10,7,6.89,1,0,1,0.3,1.29,6,9,30.0,50,9,52.94,100,85,176,77.19,7,58.33,5,0,0,0,25,2,0,2,0,12,9,0,0,8,5,31,0,0,10,0,20.0,0,5,5,0,1,0,,20,43.48,0,0,0,52,6,9,1,2,,0,0,0,1,0.0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,598.0,0.0,0,4,1,0,3,3,50.0,0,9,5,55.56,9,12,6,30,27,46.55,17,157,101,228,62.0,5,0,395,8,1,0,12308.0,640000.0,D,22.0,Ecuador
Seko Fofana,191188,Stade Rennais,1658,france,2425,844,16,9,6.89,1,1,2,1.7,0.97,20,2,40.0,144,17,80.95,294,203,495,91.16,7,70.0,3,0,0,0,42,1,4,7,0,7,16,0,0,6,5,34,0,0,9,0,4.17,0,16,13,3,0,1,,30,49.18,0,0,0,48,7,13,0,2,,0,0,0,0,0.0,0,0,0,0,80,7,0,0,1,0,0,0,0,0,0,844.0,0.0,0,11,13,11,6,12,52.17,0,11,7,63.64,13,27,23,5,37,52.11,21,333,215,543,110.2,24,0,677,7,3,0,104808.0,5450000.0,M,29.0,Cote d'Ivoire
Sinaly Diomandé,996951,Auxerre,1646,france,2425,1945,23,22,6.89,3,2,5,1.34,0.28,37,0,0.0,84,51,45.54,256,555,811,85.37,28,54.9,23,0,0,0,86,1,0,3,5,96,23,0,0,6,12,66,1,1,24,0,33.33,0,40,38,2,2,1,,66,60.55,1,0,0,139,30,4,0,0,,1,0,0,1,0.0,0,0,0,0,170,0,0,0,1,0,0,0,0,0,0,648.33,0.0,0,6,3,2,4,8,66.67,0,39,19,48.72,4,65,12,1,94,58.75,112,339,612,950,158.4,9,2,1267,19,6,0,19231.0,1000000.0,D,23.0,Cote d'Ivoire
Saïd Benrahma,354808,Olympique Lyonnais,1649,france,2425,737,13,9,6.88,1,3,4,1.97,2.73,6,11,25.58,112,7,58.33,182,74,245,79.29,0,0.0,0,0,0,0,32,5,3,4,0,2,13,0,0,11,7,43,0,0,6,0,5.88,0,10,9,1,0,1,,23,34.85,0,0,0,64,3,15,0,6,,0,0,0,0,0.0,0,0,0,0,150,8,0,0,1,0,0,0,0,0,0,737.0,0.0,1,9,8,9,4,8,28.57,0,9,5,55.56,15,17,28,43,23,34.85,12,266,86,309,89.5,17,0,473,6,0,0,97885.0,5090000.0,F,29.0,Algeria
Clement Akpa,1387156,Auxerre,1646,france,2425,2495,31,29,6.88,0,1,1,0.22,0.9,62,5,20.0,118,90,49.72,308,657,960,84.14,39,55.71,31,0,0,0,116,1,1,2,8,138,31,0,0,4,15,75,0,2,15,0,0.0,3,40,37,3,0,0,,97,68.79,0,0,0,181,42,8,0,0,,0,0,0,1,0.0,0,0,0,0,236,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,2,3,1,8,42.11,0,55,34,61.82,8,107,19,25,136,64.45,181,443,723,1141,213.4,6,1,1604,35,7,0,12308.0,640000.0,D,23.0,Cote d'Ivoire
Senny Mayulu,1473491,Paris Saint-Germain,1644,france,2425,813,20,8,6.88,2,2,4,2.85,2.03,19,1,11.11,146,12,85.71,265,129,393,90.14,2,16.67,10,0,0,0,32,3,6,9,0,10,18,0,0,21,6,73,0,0,20,0,8.0,0,9,7,2,2,0,,57,47.5,0,0,1,43,5,12,2,0,,0,0,0,0,0.0,0,0,0,0,116,5,0,0,0,0,0,0,0,0,0,406.5,0.0,0,17,8,8,8,15,46.88,0,25,16,64.0,12,21,32,9,59,44.7,14,308,137,436,123.9,25,0,653,18,2,0,13846.0,720000.0,M,18.0,France
