player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Oihan Sancet,966801,Athletic Club,2825,spain,2526,1693,26,21,6.52,3,0,3,6.18,1.38,21,4,19.05,186,19,63.33,299,157,456,81.43,17,36.17,30,0,0,0,60,0,7,9,0,9,26,0,1,30,20260428,6,106,0,1,27,0,6.82,0,24,22,2,3,0,,61,44.53,0,0,0,104,3,25,1,0,2.0,0,0,2,0,100.0,0,2,0,1,219,14,0,1,2,0,0,0,0,0,0,564.33,0.0,0,36,8,21,14,15,53.57,0,20,11,55.0,25,35,28,21,78,42.39,30,375,185,560,169.4,44,1,845,26,4,0,80192.0,4170000.0,F,25.0,Spain
Yoel Lago,1145100,Celta Vigo,2821,spain,2526,497,7,6,6.51,0,0,0,,0.06,1,0,0.0,12,10,52.63,83,191,274,93.52,3,42.86,4,0,0,0,14,0,0,0,0,28,7,0,0,0,20260428,3,21,0,2,14,0,0.0,0,10,10,0,0,0,,17,50.0,0,0,0,19,4,1,0,1,7.0,0,0,0,2,0.0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,100.0,0,11,6,54.55,1,6,1,0,20,48.78,19,99,194,293,45.6,0,0,357,5,3,0,5962.0,310000.0,D,21.0,Spain
Isaac Romero,1018190,Sevilla,2833,spain,2526,1332,25,15,6.5,4,0,4,5.08,0.48,3,1,12.5,65,15,75.0,118,94,212,72.11,22,43.14,29,0,0,1,50,2,8,7,0,16,25,0,1,29,20260428,8,119,0,0,22,0,11.11,0,20,19,1,3,1,,45,33.33,0,0,3,82,6,13,2,5,0.0,0,0,1,0,0.0,0,0,0,2,221,12,0,1,2,0,0,0,0,0,0,333.0,0.0,0,30,6,16,13,9,22.5,0,14,8,57.14,13,5,40,8,67,36.02,20,184,110,294,162.6,36,0,600,23,4,0,60192.0,3130000.0,F,25.0,Spain
Toni Lato,828239,Mallorca,2826,spain,2526,486,10,6,6.5,0,1,1,,0.48,6,6,35.29,27,9,52.94,65,70,135,81.33,3,23.08,10,0,0,0,20,1,0,0,0,10,9,0,0,7,20260428,6,30,0,0,5,0,0.0,0,10,9,1,0,0,,15,42.86,0,0,0,31,5,4,0,0,3.0,0,0,0,0,0.0,0,0,0,0,62,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,6,75.0,0,8,7,87.5,4,10,8,17,18,37.5,17,86,80,166,58.5,0,0,277,1,3,0,28077.0,1460000.0,D,28.0,Spain
Julio Díaz,1402990,Atlético Madrid,2836,spain,2526,221,3,3,6.5,0,1,1,0.03,0.36,2,2,40.0,18,2,50.0,49,47,96,89.72,1,25.0,3,0,0,0,9,1,0,1,1,1,3,0,0,0,20260428,4,14,0,0,4,0,0.0,0,4,4,0,0,0,,14,56.0,0,0,0,11,0,5,0,1,0.0,0,0,0,0,0.0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,5,62.5,0,6,3,50.0,5,3,8,5,15,51.72,4,55,52,107,19.5,1,0,165,3,2,0,,,,,
Tomás Marqués,1939137,FC Barcelona,2817,spain,2526,9,1,0,6.5,0,0,0,,0.0,0,0,0.0,1,0,0.0,2,4,6,100.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20260428,0,2,0,0,0,0,0.0,0,0,0,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0.0,0,2,4,6,6.5,0,0,8,0,0,0,,,,,
Diego Aguado,1614687,Real Madrid,2829,spain,2526,29,1,0,6.5,0,0,0,,0.0,0,0,0.0,1,1,25.0,5,9,14,82.35,0,0.0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,20260428,1,3,0,0,0,0,0.0,0,1,1,0,0,0,,2,40.0,0,0,0,3,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,0,1,0,0,2,40.0,4,7,10,17,6.5,0,0,25,0,0,0,,,,,
Abdul Mumin,846147,Rayo Vallecano,2818,spain,2526,9,1,0,6.5,0,0,0,,0.0,0,0,0.0,0,0,0.0,0,3,3,75.0,0,0.0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,20260428,0,1,0,0,1,0,0.0,0,0,0,0,0,0,,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,4,4,6.5,0,0,6,0,0,0,10000.0,520000.0,D,27.0,Ghana
Gorka Carrera Zarranz,1985103,Real Sociedad,2824,spain,2526,13,1,0,6.5,0,0,0,,0.0,0,0,0.0,0,0,0.0,0,2,2,100.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20260428,1,2,0,0,0,0,0.0,0,1,1,0,0,0,,1,50.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,1,33.33,0,0,2,2,6.5,0,0,6,1,0,0,,,,,
Hugo González,996931,Celta Vigo,2821,spain,2526,12,1,0,6.5,0,0,0,,0.0,0,0,0.0,0,0,0.0,0,1,1,50.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20260428,0,1,0,0,0,0,0.0,0,0,0,0,0,0,,1,50.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,0,1,1,1,50.0,0,1,1,2,6.5,0,0,5,0,0,0,,,,,
