player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Ruslan Malinovskyi,195850,Atalanta,2686,italy,2122,1599,30,19,7.22,6,4,10,,,33,34,33.33,291,38,53.52,504,158,628,76.96,18,48.65,19,0,0,0,,13,2,16,0,1,30,0,0,48,14,138,0,0,40,0,10.53,,23,22,1,1,5,,106,47.11,0,0,1,188,5,46,6,3,,0,1,0,0,0.0,0,0,0,0,399,19,0,0,0,0,0,0,0,0,0,266.5,0.0,7,19,38,23,18,47,72.31,0,18,10,55.56,45,63,65,102,124,47.33,71,726,192,816,216.7,57,3,1296,41,10,0,24615.0,1280000.0,F,28.0,Ukraine
Kalidou Koulibaly,126071,Napoli,2714,italy,2122,2406,27,27,7.22,3,3,6,,,76,0,0.0,118,91,53.53,494,932,1426,86.9,48,55.17,39,0,0,0,,2,1,1,11,84,27,0,1,3,13,81,0,1,28,0,30.0,,19,16,3,3,0,,71,62.83,1,0,0,215,29,11,0,0,,0,0,0,1,0.0,0,0,0,0,244,2,0,1,2,0,0,0,0,0,0,802.0,0.0,0,8,2,2,7,20,90.91,0,39,23,58.97,11,155,22,2,119,59.5,170,608,1035,1641,195.0,10,5,1966,12,5,0,213654.0,11110000.0,D,30.0,Senegal
Fabián Ruiz,784655,Napoli,2714,italy,2122,2396,32,29,7.22,7,4,11,,,128,2,11.76,516,134,78.36,1126,842,1966,90.47,8,40.0,12,0,0,0,,4,0,17,6,31,32,0,0,11,38,88,0,0,21,0,17.5,,17,15,2,1,6,,85,52.8,0,0,2,207,22,33,7,1,,0,1,0,0,0.0,0,0,0,0,278,20,0,0,0,0,0,0,0,0,0,342.29,0.0,0,12,28,10,13,12,54.55,0,55,33,60.0,32,169,22,17,93,51.38,171,1293,897,2173,231.1,40,4,2515,18,2,0,53462.0,2780000.0,M,25.0,Spain
Sandro Tonali,892673,Milan,2692,italy,2122,2606,36,31,7.2,5,2,7,,,68,33,30.56,297,102,59.3,625,578,1170,85.53,10,41.67,14,0,0,0,,8,1,16,10,17,36,0,0,23,20,116,0,0,45,1,13.51,,18,17,1,4,1,,134,56.78,0,0,0,198,34,44,1,3,,0,0,0,0,0.0,0,0,0,0,347,23,0,0,4,0,0,0,0,0,0,521.2,25.0,4,13,24,10,11,30,66.67,0,54,37,68.52,44,142,45,108,144,55.38,172,859,617,1368,259.2,37,3,1874,50,9,0,46346.0,2410000.0,M,21.0,Italy
Riccardo Stivanello,1107477,Bologna,2685,italy,2122,45,1,0,7.2,0,0,0,,,0,0,0.0,0,2,50.0,1,8,9,75.0,1,50.0,1,0,0,0,,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0.0,,0,0,0,0,0,,2,100.0,0,0,0,3,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,0,0,0,3,75.0,4,2,10,12,7.2,0,0,24,1,0,0,,,,,
Etrit Berisha,35656,Torino,2696,italy,2122,900,10,10,7.2,0,0,0,,,20,0,0.0,12,59,29.5,48,91,139,49.47,0,0.0,0,0,0,0,,0,0,0,4,8,10,0,0,0,0,1,0,0,1,0,0.0,,8,7,1,0,0,2.2,3,75.0,0,5,0,142,0,0,0,0,,0,0,0,1,0.0,3,0,1,0,143,0,4,0,0,4,24,9,33,1,7,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,69,0,0,3,75.0,200,172,109,281,72.0,0,1,374,3,1,0,35577.0,1850000.0,K,32.0,Albania
Rafael Leão,851284,Milan,2692,italy,2122,2618,34,31,7.19,11,8,19,,,19,15,23.81,270,33,75.0,415,126,526,74.82,28,43.08,37,0,0,0,,6,4,24,7,7,34,0,0,50,10,184,0,0,25,0,11.34,,20,18,2,9,2,,160,52.12,0,0,1,177,12,45,2,8,,0,0,0,0,0.0,0,0,0,2,440,28,0,0,9,0,0,0,0,0,0,238.0,0.0,0,62,35,35,38,98,60.12,0,17,7,41.18,45,33,163,63,188,50.54,44,628,138,703,244.3,97,3,1353,45,4,0,34423.0,1790000.0,F,22.0,Portugal
Mattia Zaccagni,293581,Lazio,2699,italy,2122,2059,31,23,7.18,6,5,11,,,18,11,21.57,245,18,56.25,442,196,627,84.5,16,42.11,22,0,0,0,,7,4,7,2,4,30,0,0,20,9,124,0,0,30,0,16.22,,30,24,6,6,0,,169,62.36,0,0,3,115,24,32,1,2,,0,0,1,0,100.0,0,1,0,2,278,15,0,0,5,0,0,0,0,0,0,343.17,0.0,0,28,9,17,13,52,53.06,0,36,17,47.22,32,28,98,51,185,59.87,32,570,223,742,215.4,37,3,1239,81,6,0,67692.0,3520000.0,F,26.0,Italy
Gerard Deulofeu,96372,Udinese,2695,italy,2122,2626,34,31,7.18,13,5,18,,,26,36,21.69,440,19,52.78,607,141,712,78.67,2,10.53,17,0,0,0,,9,7,20,1,4,34,0,0,44,22,174,0,0,25,1,16.67,,46,44,2,9,4,,92,36.95,0,0,2,193,9,83,2,33,,0,0,1,0,100.0,0,1,0,2,553,23,0,0,11,0,0,0,0,0,0,202.0,7.69,13,51,27,24,34,50,42.74,0,11,6,54.55,83,43,117,166,94,35.07,36,899,172,905,244.0,78,2,1574,31,9,0,24615.0,1280000.0,F,27.0,Spain
Luca Lezzerini,139272,Venezia,2688,italy,2122,495,6,6,7.17,0,0,0,,,11,0,0.0,3,32,42.67,17,99,116,72.5,0,0.0,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.0,,9,9,0,0,0,-0.5,0,0.0,0,2,0,44,0,0,0,0,,0,0,0,0,0.0,0,0,0,0,44,0,0,0,0,1,20,10,30,0,3,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,31,0,0,0,0.0,75,50,110,160,43.0,0,1,235,0,2,0,10769.0,560000.0,K,26.0,Italy
