player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Alejandro Baena,910031,Villarreal,2819,spain,2324,2599,34,33,7.25,2,14,16,8.07,9.54,66,59,33.71,327,62,59.62,586,297,824,78.48,8,40.0,12,0,0,1,116.0,17,8,22,2,16,34,0,1,33,27,145,0,1,52,0,2.74,0.0,45,42,3,2,0,,117,46.8,0,0,2,226,13,86,0,8,,0,2,1,1,0.0,0,0,0,1,486,12,0,1,2,0,0,0,0,0,0,1299.5,0.0,5,41,32,25,26,26,52.0,0,34,21,61.76,84,113,50,175,125,46.3,104,881,344,1050,246.5,73,4,1669,57,11,0,38462.0,2000000.0,F,22.0,Spain
Paulo Gazzaniga,164343,Girona FC,24264,spain,2324,3420,38,38,7.24,0,0,0,0.0,0.05,116,0,0.0,35,198,41.25,111,806,917,75.91,9,100.0,0,0,0,0,307.0,2,0,0,12,17,38,0,0,1,2,3,0,1,0,0,0.0,246.0,46,44,2,0,0,6.58,15,83.33,0,35,1,291,0,3,0,0,,0,0,0,0,0.0,7,0,1,0,300,0,5,0,0,11,84,38,125,0,23,0.0,0.0,0,0,0,0,0,6,100.0,9,2,2,100.0,3,198,6,0,24,88.89,480,346,862,1208,275.2,0,2,1596,8,2,0,30000.0,1560000.0,K,32.0,Argentina
Rodrigo de Paul,249399,Atlético Madrid,2836,spain,2324,2084,34,25,7.24,3,5,8,1.81,6.23,110,13,28.26,367,99,68.28,736,543,1266,85.66,6,54.55,5,0,0,0,145.0,11,2,6,2,12,34,0,0,13,23,84,1,1,27,0,10.0,0.0,26,21,5,1,2,,117,59.69,0,0,2,212,11,39,0,1,,0,0,0,0,0.0,0,0,0,0,334,17,0,0,3,0,0,0,0,0,0,694.67,0.0,1,16,14,12,12,28,58.33,0,31,21,67.74,39,179,48,46,123,59.42,145,944,580,1478,246.2,30,2,1870,59,7,0,128269.0,6670000.0,M,29.0,Argentina
Pepelu,826948,Valencia,2828,spain,2324,3305,37,37,7.24,7,1,8,7.28,4.52,154,46,31.29,430,134,54.92,904,764,1622,82.38,58,58.0,42,0,1,0,244.0,2,1,7,12,69,37,0,0,21,34,157,0,0,51,0,20.0,0.0,43,39,4,7,0,,129,52.87,0,0,3,347,49,56,0,1,,0,1,8,1,87.5,0,7,0,0,508,12,0,0,7,0,0,0,0,0,0,472.14,0.0,12,8,27,16,12,12,54.55,0,78,53,67.95,55,242,22,147,187,54.36,244,1241,875,1969,267.9,35,2,2558,40,4,0,31923.0,1660000.0,M,25.0,Spain
Lucas Vázquez,255239,Real Madrid,2829,spain,2324,1442,29,14,7.24,3,6,9,1.17,3.55,20,10,21.28,240,12,30.0,477,345,812,88.55,4,40.0,6,0,0,0,78.0,9,2,1,6,29,28,0,0,15,7,69,0,0,22,0,25.0,0.0,15,14,1,3,0,,86,57.72,1,0,0,105,12,30,1,5,,0,0,0,0,0.0,0,0,0,1,209,5,0,0,1,0,0,0,0,0,0,480.67,0.0,0,9,3,4,7,24,55.81,0,37,25,67.57,30,48,43,47,90,56.6,40,581,383,917,202.6,12,7,1352,25,0,0,180385.0,9380000.0,D,32.0,Spain
Robert Lewandowski,41789,Barcelona,2817,spain,2324,2758,35,32,7.23,19,8,27,18.1,3.59,19,6,33.33,174,15,53.57,310,105,409,72.26,51,50.0,51,0,0,0,56.0,10,18,25,9,18,35,0,0,28,8,138,0,0,23,1,20.21,0.0,35,30,5,17,2,,86,49.71,4,0,1,157,9,27,1,24,,0,0,4,0,100.0,0,4,0,1,328,17,0,0,14,0,0,0,0,0,0,145.16,33.33,3,78,16,26,43,23,43.4,0,8,5,62.5,27,32,53,18,137,49.82,28,454,130,566,253.1,94,4,1007,55,5,0,520769.0,27080000.0,F,35.0,Poland
Daniel Carvajal,138572,Real Madrid,2829,spain,2324,2183,28,25,7.23,4,3,7,1.74,3.12,40,9,18.37,281,36,54.55,593,527,1111,87.34,22,53.66,19,0,0,0,120.0,4,3,2,8,44,27,0,0,18,19,89,1,3,23,0,22.22,0.0,13,12,1,3,1,,74,51.39,1,0,1,161,22,22,1,2,,0,1,0,0,0.0,0,0,0,0,263,4,0,1,2,0,0,0,0,0,0,545.75,0.0,0,13,5,6,10,9,45.0,0,47,32,68.09,21,66,20,49,96,51.89,66,734,587,1272,195.2,18,3,1771,19,3,1,200385.0,10420000.0,D,32.0,Spain
Viktor Tsygankov,319735,Girona FC,24264,spain,2324,2067,30,26,7.22,8,7,15,6.19,6.5,23,19,30.65,298,18,58.06,482,236,699,83.12,14,50.0,14,0,0,0,88.0,12,5,12,1,20,30,0,0,35,12,98,0,0,14,0,18.18,0.0,26,24,2,7,1,,91,52.0,0,0,4,142,12,34,4,4,,0,0,0,1,0.0,0,0,0,0,300,8,0,0,4,0,0,0,0,0,0,258.38,0.0,3,27,17,16,16,22,47.83,0,29,20,68.97,34,34,46,62,105,51.72,31,636,267,841,216.7,44,2,1259,41,0,0,51923.0,2700000.0,F,26.0,Ukraine
Pedri,992587,Barcelona,2817,spain,2324,1487,24,16,7.22,4,2,6,3.12,4.07,49,4,44.44,324,37,74.0,673,355,1024,87.82,3,37.5,5,0,0,0,82.0,8,4,4,1,7,24,0,0,15,19,70,0,0,11,0,26.67,0.0,20,17,3,4,0,,71,52.21,0,0,1,142,14,37,4,1,,0,0,0,0,0.0,0,0,0,0,222,15,0,0,0,0,0,0,0,0,0,371.75,0.0,0,12,3,4,7,16,44.44,0,33,24,72.73,37,78,36,9,74,51.39,50,783,392,1166,173.3,15,1,1419,22,3,0,180385.0,9380000.0,M,21.0,Spain
Mikel Merino,592010,Real Sociedad,2824,spain,2324,2485,32,27,7.22,5,3,8,3.3,2.76,52,4,21.05,354,56,65.88,639,434,1069,77.46,168,60.43,110,0,0,0,197.0,4,4,5,9,55,32,0,0,42,26,255,0,3,70,0,16.67,0.0,23,20,3,5,0,,158,52.15,2,0,0,311,16,20,2,6,,0,0,0,1,0.0,0,0,0,0,453,21,0,0,1,0,0,0,0,0,0,497.0,0.0,0,22,8,14,11,24,64.86,0,77,43,55.84,20,90,37,19,326,56.11,85,907,492,1380,231.0,30,4,1902,61,10,0,61538.0,3200000.0,M,27.0,Spain
