player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Danny Ings,130181,West Ham United,37,england,2324,452,20,3,6.67,1,0,1,1.29,0.27,0,0,0.0,31,1,14.29,49,27,76,72.38,3,25.0,9,0,0,0,12,0,1,5,0,6,19,0,0,4,9,32,0,0,4,0,8.33,0,10,10,0,1,0,,18,43.9,0,0,1,29,3,5,0,1,1,0,0,0,0,0.0,0,0,0,1,51,4,0,0,1,0,0,0,0,0,0,452.0,0.0,0,11,1,3,4,6,50.0,0,6,2,33.33,5,5,12,1,21,39.62,7,75,31,105,126.7,12,0,183,6,1,0,144809.0,7530064.0,F,31.0,England
Lewis Dobbin,998832,Everton,48,england,2324,263,12,1,6.67,1,0,1,0.29,0.13,0,1,14.29,18,1,25.0,29,13,41,75.93,2,66.67,1,0,0,0,20,1,1,0,0,0,9,0,0,6,4,29,0,0,3,0,20.0,0,3,3,0,1,0,,21,42.86,0,0,0,13,1,4,1,0,1,0,0,0,0,0.0,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,263.0,0.0,0,3,2,3,2,6,28.57,0,9,7,77.78,4,1,21,7,23,44.23,4,42,19,54,60.0,5,0,142,6,1,0,9268.0,481924.0,F,21.0,England
Oliver Skipp,859901,Tottenham Hotspur,33,england,2324,736,21,5,6.67,0,0,0,0.69,0.53,12,1,100.0,92,14,73.68,201,142,342,91.69,4,28.57,10,0,0,0,36,0,1,3,0,6,21,0,0,6,7,32,0,0,8,0,0.0,0,17,17,0,0,0,,31,58.49,0,0,0,31,3,8,0,0,1,0,1,0,0,0.0,0,0,0,0,49,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,1,0,1,2,66.67,0,18,12,66.67,7,16,3,1,35,52.24,19,224,150,373,140.0,4,0,474,12,3,0,46339.0,2409620.0,M,23.0,England
Angelo Ogbonna,21164,West Ham United,37,england,2324,633,11,7,6.67,0,0,0,0.04,0.06,5,0,0.0,10,9,24.32,34,137,171,79.91,12,63.16,7,0,0,0,10,0,0,0,2,29,9,0,0,0,1,9,0,0,1,0,0.0,8,14,13,1,0,0,,15,88.24,0,0,0,43,3,0,0,0,10,0,0,0,0,0.0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,1,100.0,0,11,5,45.45,0,16,1,0,27,75.0,37,66,148,214,60.0,1,0,281,3,1,0,81093.0,4216836.0,D,35.0,Italy
Luke Berry,97465,Luton Town,72,england,2324,380,17,2,6.66,2,1,3,1.01,0.15,3,1,12.5,15,3,30.0,34,29,62,69.66,7,46.67,8,0,0,0,8,0,0,2,0,1,17,0,0,4,1,18,0,0,6,0,25.0,0,8,8,0,2,0,,16,61.54,0,0,0,27,0,2,1,0,1,0,0,0,0,0.0,0,0,0,0,44,2,0,0,1,0,0,0,0,0,0,190.0,0.0,0,8,0,2,4,2,100.0,0,7,2,28.57,2,5,2,8,23,56.1,10,61,36,89,113.3,8,0,155,7,1,0,11585.0,602405.0,M,31.0,England
Reiss Nelson,826139,Arsenal,42,england,2324,276,15,1,6.66,0,0,0,0.21,0.44,1,3,21.43,45,2,66.67,82,42,121,95.28,0,0.0,5,0,0,0,22,1,0,2,0,5,14,0,0,4,2,22,0,0,5,0,0.0,0,1,1,0,0,0,,16,48.48,0,0,0,6,1,5,0,0,1,0,0,0,0,0.0,0,0,0,0,40,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,3,1,1,1,14.29,0,9,6,66.67,5,2,7,14,16,42.11,3,98,43,127,93.3,4,0,203,6,1,0,115847.0,6024051.0,F,24.0,England
Jordan Clark,150477,Luton Town,72,england,2324,1315,23,14,6.66,1,1,2,1.0,1.17,20,7,30.43,94,25,51.02,198,167,358,74.12,18,54.55,15,0,0,0,59,3,0,8,0,14,22,0,0,21,28,100,0,1,14,0,5.88,0,41,36,5,1,0,,68,44.44,0,0,0,125,11,12,0,5,3,0,0,0,0,0.0,0,0,0,0,216,5,0,0,1,0,0,0,0,0,0,1315.0,0.0,0,13,4,5,4,12,33.33,0,30,17,56.67,12,40,36,23,86,46.24,49,304,202,483,146.6,17,0,753,26,4,0,5792.0,301203.0,M,30.0,England
Nathan Patterson,1020141,Everton,48,england,2324,1012,20,9,6.66,0,2,2,0.33,1.04,19,7,21.88,87,27,42.86,171,134,298,73.04,7,41.18,10,0,0,0,60,3,1,2,2,28,19,0,0,6,23,66,0,0,18,0,0.0,0,21,19,2,0,0,,46,45.1,0,0,1,110,9,8,0,1,3,0,0,0,0,0.0,0,0,0,0,193,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,2,0,7,41.18,0,34,24,70.59,8,52,17,32,53,44.54,63,284,156,408,126.6,4,0,707,5,4,0,32437.0,1686734.0,D,22.0,Scotland
Kieffer Moore,298366,Bournemouth,60,england,2324,131,8,0,6.66,1,0,1,1.48,0.33,0,0,0.0,13,0,0.0,20,8,28,70.0,6,50.0,6,0,0,0,4,1,2,1,0,0,8,0,0,1,0,13,0,0,5,0,16.67,0,2,2,0,1,0,,3,30.0,1,0,0,12,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,131.0,0.0,0,5,1,3,2,1,50.0,0,0,0,0.0,2,0,2,2,9,40.91,0,32,10,40,53.3,6,0,56,2,0,0,17377.0,903608.0,F,31.0,Wales
Andrew Omobamidele,983066,Nottingham Forest,14,england,2324,782,11,8,6.66,0,0,0,0.14,0.03,3,0,0.0,16,13,50.0,71,199,270,87.38,8,44.44,10,0,0,0,21,0,0,1,0,42,10,0,0,0,3,19,1,0,6,0,0.0,0,15,14,1,0,0,,12,57.14,0,0,0,39,13,2,0,0,8,1,0,0,0,0.0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0,10,3,30.0,2,9,0,0,20,51.28,26,88,221,309,66.6,1,0,402,3,2,0,40547.0,2108418.0,D,21.0,Ireland
